,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-06-30,528352.0,384238.0,11329.0,58419.0,165452.0,78041.0,,38074.0,,32923.0,-7294.0,0.0,,,2952.0,,,0.0,,,3476.0,126173.0,0.0,,528352.0,221437.0,0.0,39765.0,0.0,103755.0,,,317437.0,,,0.0,103294.0,,0.0,,,210915.0,,,-7294.0,203621.0,130000.0,0.0,,72918.0,,0.0,,0.0,
2000-09-30,565322.0,413097.0,23961.0,44290.0,164104.0,89475.0,,46017.0,,45250.0,-8562.0,0.0,,,9196.0,,,0.0,,,3652.0,128617.0,0.0,,565322.0,269547.0,0.0,51661.0,0.0,127686.0,,,352655.0,,,0.0,91670.0,,0.0,,,212667.0,,,-8562.0,204105.0,130000.0,0.0,,72918.0,,0.0,,0.0,
2000-12-31,592014.0,438531.0,20386.0,68416.0,226946.0,84816.0,,21915.0,,16052.0,-10329.0,0.0,,,5111.0,,,2463.0,,,3692.0,131214.0,0.0,,592014.0,294563.0,33519.0,88456.0,0.0,118640.0,,,379403.0,,,0.0,79880.0,,15289.0,,,212611.0,,,-10329.0,202282.0,130000.0,0.0,,82611.0,,0.0,,0.0,
2001-03-31,723504.0,555842.0,27240.0,143374.0,234197.0,90970.0,,28144.0,,31917.0,5011.0,0.0,,,4107.0,,,0.0,,,25361.0,128819.0,0.0,,723504.0,362380.0,0.0,71113.0,0.0,201552.0,,,499101.0,,,0.0,131710.0,,0.0,,,224403.0,,,5011.0,229414.0,130000.0,0.0,,82612.0,,0.0,,0.0,
2001-06-30,787200.0,613210.0,16317.0,134200.0,280797.0,113438.0,,40859.0,,27599.0,5815.0,0.0,,,7179.0,,,0.0,,,1225.0,126241.0,0.0,,787200.0,431444.0,0.0,82879.0,0.0,242527.0,,,550571.0,,,0.0,94443.0,,18869.0,,,236629.0,,,5815.0,242444.0,130000.0,0.0,,82611.0,,0.0,,0.0,
2001-09-30,870954.0,683920.0,22708.0,98235.0,344433.0,132363.0,,59616.0,,26565.0,6223.0,0.0,,,14365.0,,,0.0,,,1418.0,132736.0,0.0,,870954.0,457570.0,0.0,85660.0,0.0,239600.0,,,615993.0,,,0.0,131777.0,,20423.0,,,254961.0,,,6223.0,261184.0,130000.0,0.0,,82611.0,,0.0,,0.0,
2001-12-31,842476.0,610901.0,24970.0,98387.0,337692.0,87987.0,,39071.0,,22794.0,5312.0,0.0,,,49912.0,,,22700.0,,,1321.0,124131.0,0.0,,842476.0,454634.0,46758.0,108490.0,0.0,230110.0,,,630205.0,,,0.0,139761.0,,10503.0,,,212271.0,,,5312.0,217583.0,130000.0,0.0,,82271.0,,0.0,,0.0,
2002-03-31,725032.0,490878.0,12919.0,84832.0,215194.0,99926.0,,43995.0,,34012.0,5165.0,0.0,,,26033.0,,,0.0,,,1108.0,130838.0,0.0,,725032.0,328792.0,0.0,72208.0,0.0,121698.0,,,529077.0,,,0.0,175093.0,,0.0,,,195955.0,,,5165.0,201120.0,130000.0,0.0,,82272.0,,0.0,,0.0,
2002-06-30,799544.0,554144.0,20090.0,118061.0,247428.0,109885.0,,41996.0,,16684.0,6119.0,0.0,,,25821.0,,,0.0,,,1215.0,140038.0,0.0,,799544.0,360573.0,0.0,78612.0,0.0,159762.0,,,588803.0,,,0.0,188048.0,,14067.0,,,210741.0,,,6119.0,216860.0,130000.0,0.0,,82271.0,,0.0,,0.0,
2002-09-30,1039646.0,749663.0,16900.0,240642.0,306313.0,122350.0,,48777.0,,14681.0,8467.0,0.0,,,27973.0,,,0.0,,,1106.0,161210.0,0.0,,1039646.0,519558.0,0.0,105591.0,0.0,259394.0,,,808828.0,,,0.0,246008.0,,14799.0,,,230818.0,,,8467.0,239285.0,130000.0,0.0,,82271.0,,0.0,,0.0,
2002-12-31,1056998.0,773944.0,41833.0,350301.0,227220.0,116983.0,,28436.0,,9171.0,8038.0,0.0,,,71790.0,,,25196.0,,,1406.0,157098.0,0.0,,1056998.0,461404.0,66053.0,80119.0,0.0,239076.0,,,716815.0,,,0.0,213726.0,,13271.0,,,340183.0,,,8038.0,348221.0,225455.0,0.0,,114728.0,,0.0,,0.0,
2003-03-31,1099361.0,816921.0,88325.0,337880.0,216530.0,121384.0,,36498.0,,16304.0,8233.0,0.0,,,26531.0,,,0.0,,,1099.0,158629.0,0.0,,1099361.0,520887.0,0.0,62332.0,0.0,320481.0,,,738745.0,,,0.0,189137.0,,0.0,,,360616.0,,,8233.0,368849.0,225455.0,0.0,,114728.0,,0.0,,0.0,
2003-06-30,1016362.0,769869.0,38470.0,288167.0,231005.0,131971.0,,64011.0,,16245.0,7028.0,0.0,,,28325.0,,,0.0,,,2813.0,153984.0,0.0,,1016362.0,491159.0,0.0,57925.0,0.0,271617.0,,,647477.0,,,0.0,128802.0,,0.0,,,368885.0,,,7028.0,375913.0,226000.0,0.0,,114183.0,,0.0,,0.0,
2003-09-30,1008617.0,765209.0,41610.0,253619.0,234213.0,147941.0,,64443.0,,23383.0,6774.0,0.0,,,33027.0,,,0.0,,,4138.0,156751.0,0.0,,1008617.0,457637.0,0.0,52691.0,0.0,238696.0,,,620706.0,,,17757.0,116352.0,,1698.0,,,387911.0,,,6774.0,394685.0,226000.0,0.0,,114183.0,,0.0,,0.0,
