,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2005-12-31,272524.0,233114.0,5248.0,,144871.0,1108.0,,0.0,,4494.0,11461.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,6113.0,0.0,,272524.0,125415.0,5276.0,72314.0,44083.0,0.0,0.0,,0.0,11453.0,,8278.0,8278.0,0.0,0.0,,,4837.0,,,0.0,125083.0,125083.0,81000.0,,0.0,7946.0,81000.0,,,,,,0.0,59225.0,0.0,147441.0,0.0,,8.0,0.0,0.0,0.0,0.0,19458.0,,,,17419.0,0.0,0.0,,,0.0,11453.0
2006-03-31,297007.0,268424.0,3443.0,,169834.0,67241.0,,0.0,,0.0,1415.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,8088.0,0.0,,297007.0,129889.0,5214.0,62899.0,71693.0,0.0,0.0,,0.0,13980.0,,0.0,0.0,0.0,0.0,,,4875.0,,,0.0,155662.0,155662.0,83968.0,,0.0,11184.0,83968.0,,,,,,0.0,0.0,0.0,141345.0,0.0,,8.0,0.0,0.0,0.0,0.0,25057.0,,,,21307.0,0.0,0.0,,,0.0,13980.0
2006-06-30,352206.0,320234.0,8240.0,,190508.0,83830.0,,0.0,,0.0,283.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,6492.0,0.0,,352206.0,158411.0,8754.0,90107.0,99564.0,0.0,0.0,,0.0,-1935.0,,0.0,0.0,0.0,0.0,,,4320.0,,,0.0,186501.0,186501.0,86937.0,,0.0,20089.0,86937.0,,,,,,0.0,0.0,0.0,165705.0,0.0,,8.0,0.0,0.0,0.0,0.0,33818.0,,,,-3086.0,0.0,0.0,,,0.0,-1935.0
2006-09-30,345416.0,309860.0,8058.0,,173799.0,78512.0,,0.0,,0.0,284.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,8605.0,0.0,,345416.0,135901.0,2334.0,72551.0,115397.0,0.0,0.0,,0.0,3278.0,,0.0,0.0,0.0,0.0,,,4207.0,,,0.0,202334.0,202334.0,85000.0,,0.0,18752.0,85000.0,,,,,,0.0,0.0,0.0,143082.0,0.0,,8.0,0.0,2763.0,0.0,0.0,42004.0,,,,1928.0,0.0,0.0,,,0.0,3278.0
2006-12-31,583715.0,543045.0,62231.0,,257497.0,152042.0,,0.0,,0.0,284.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,10838.0,0.0,,583715.0,251171.0,16438.0,176208.0,166744.0,0.0,0.0,,0.0,5620.0,,0.0,0.0,0.0,0.0,,,5151.0,,,0.0,319481.0,319481.0,87800.0,,0.0,11312.0,87800.0,,,,,,0.0,24975.0,0.0,264234.0,0.0,,5.0,0.0,0.0,0.0,0.0,43677.0,,,,6901.0,0.0,0.0,,,0.0,5620.0
2007-03-31,592770.0,551267.0,45108.0,,225018.0,207624.0,,0.0,,3560.0,284.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,11795.0,0.0,,592770.0,215991.0,3361.0,139184.0,213177.0,0.0,0.0,,0.0,5935.0,,0.0,0.0,0.0,0.0,,,5526.0,,,0.0,365914.0,365914.0,87800.0,,0.0,10381.0,87800.0,,,,,,0.0,2219.0,338.0,226856.0,0.0,,5.0,0.0,0.0,0.0,0.0,70652.0,,,,8946.0,0.0,0.0,,,0.0,5935.0
2007-06-30,729810.0,684242.0,22234.0,,373650.0,209063.0,,0.0,,2766.0,284.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,13254.0,0.0,,729810.0,275494.0,2762.0,177458.0,288786.0,0.0,0.0,,0.0,23395.0,,0.0,0.0,0.0,0.0,,,7134.0,,,0.0,441523.0,441523.0,87800.0,,0.0,14986.0,87800.0,,,,,,0.0,2486.0,2422.0,288287.0,0.0,,5.0,0.0,0.0,0.0,0.0,74145.0,,,,35194.0,0.0,0.0,,,0.0,23395.0
2007-09-30,815725.0,767237.0,19455.0,,350042.0,306520.0,,0.0,,1320.0,284.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,14854.0,0.0,,815725.0,342241.0,9378.0,249648.0,308288.0,0.0,0.0,,0.0,16730.0,,0.0,0.0,0.0,0.0,,,6492.0,,,0.0,461025.0,461025.0,87606.0,,0.0,16511.0,87606.0,,,,,,0.0,2703.0,2599.0,354700.0,0.0,,5.0,0.0,0.0,0.0,0.0,79173.0,,,,18814.0,0.0,0.0,,,0.0,16730.0
2007-12-31,931236.0,882178.0,38089.0,,447299.0,285024.0,,0.0,,0.0,284.0,,,0.0,29746.0,,0.0,0.0,,0.0,0.0,14812.0,0.0,,931236.0,395606.0,0.0,274841.0,369635.0,0.0,0.0,,0.0,20310.0,,0.0,0.0,0.0,0.0,,,6806.0,,,0.0,522372.0,522372.0,87506.0,,0.0,19494.0,87506.0,,,,,,0.0,0.0,-513.0,408864.0,0.0,,5.0,0.0,0.0,0.0,0.0,74079.0,,,,28010.0,0.0,0.0,,,0.0,20310.0
2008-03-31,874785.0,807709.0,102896.0,,340963.0,289843.0,,0.0,,3398.0,284.0,,,0.0,10247.0,,0.0,0.0,,129065.0,0.0,15358.0,0.0,,874785.0,285993.0,9951.0,199056.0,140991.0,0.0,0.0,,0.0,44473.0,,0.0,0.0,0.0,0.0,,,7863.0,,,0.0,529991.0,529991.0,87244.0,,0.0,17922.0,87244.0,,,,,,0.0,0.0,4799.0,344794.0,0.0,,0.0,0.0,0.0,0.0,19004.0,53813.0,,,,47972.0,23.0,0.0,,,0.0,44473.0
