,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2004-06-30,3353539.0,0.0,7728.0,45659.0,0.0,0.0,,0.0,,205162.0,0.0,2261164.0,182784.0,356769.0,0.0,,,25235.0,,,0.0,219783.0,731763.0,,3353539.0,67854.0,,,632154.0,,,4300.0,684486.0,,,0.0,,,0.0,0.0,,90917.0,,,218.0,731981.0,0.0,0.0,,0.0,218.0,,,0.0,,,,-2142.0,,0.0,,0.0,,247680.0,22.0,,0.0,0.0,2621776.0,,,,50190.0,0.0,-4605.0,,,0.0,33051.0
2004-09-30,3553436.0,0.0,6213.0,41090.0,0.0,0.0,,0.0,,207710.0,0.0,2394626.0,182784.0,395199.0,0.0,,,25578.0,,,0.0,216238.0,770193.0,,3553436.0,90032.0,,,678006.0,,,0.0,739820.0,,,0.0,,,0.0,0.0,,93838.0,,,192.0,770385.0,0.0,0.0,,0.0,192.0,,,0.0,,,,241.0,,0.0,,0.0,,249463.0,25.0,,0.0,0.0,2783243.0,,,,62055.0,0.0,1131.0,,,0.0,40815.0
2004-12-31,3993410.0,0.0,9725.0,141987.0,0.0,0.0,,0.0,,65962.0,0.0,2738808.0,230642.81,375438.0,0.0,,,32203.0,,,0.0,220309.0,939622.0,,3993410.0,54985.0,,,763191.0,,,53124.0,831055.0,,,0.0,,,0.0,0.0,,143023.0,,,277.0,939899.0,0.0,0.0,,0.0,277.0,,,0.0,,,,-336.0,,53124.0,,0.0,,385917.0,-40.0,,0.0,0.0,3053788.0,,,,67528.0,0.0,-2375.0,,,0.0,44173.0
2005-03-31,4168366.0,0.0,9758.0,147621.0,0.0,0.0,,0.0,,65962.0,0.0,2911844.0,230643.0,416316.0,0.0,,,32317.0,,,0.0,220845.0,980500.0,,4168366.0,45800.0,,,745347.0,,,53124.0,806543.0,,,0.0,,,0.0,0.0,,142427.0,,,429.0,980929.0,0.0,0.0,,0.0,429.0,,,0.0,,,,401.0,,0.0,,0.0,,292457.0,10.0,,0.0,6999.0,3187866.0,,,,61597.0,0.0,5236.0,,,0.0,42049.0
2005-06-30,4264352.0,0.0,8096.0,153469.0,0.0,0.0,,0.0,,65962.0,0.0,2943202.0,230642.81,466418.0,0.0,,,37566.0,,,0.0,221985.0,1030602.0,,4264352.0,46492.0,,,777777.0,,,6.0,854093.0,,,0.0,,,0.0,0.0,,142078.0,,,306.0,1030908.0,0.0,0.0,,0.0,306.0,,,0.0,,,,3864.0,,0.0,,0.0,,300028.0,17.0,,0.0,7107.0,3233750.0,,,,80180.0,0.0,2043.0,,,0.0,51392.0
2005-09-30,4435091.0,0.0,8056.0,43118.0,0.0,0.0,,0.0,,211664.0,0.0,3090094.0,230642.81,538993.0,0.0,,,39475.0,,,0.0,218051.0,1103177.0,,4435091.0,45302.0,,,722288.0,,,5.0,832952.0,,,0.0,,,0.0,0.0,,106427.0,,,325.0,1103502.0,0.0,0.0,,0.0,325.0,,,0.0,,,,392.0,,0.0,,0.0,,308374.0,-77.0,,0.0,7060.0,3331914.0,,,,111056.0,0.0,-17265.0,,,0.0,74499.0
2005-12-31,4464637.0,0.0,7964.0,0.0,0.0,0.0,,0.0,,0.0,0.0,3214039.0,230643.0,531540.0,0.0,,,69908.0,,,0.0,217553.0,1095724.0,,4464637.0,66281.0,,,707244.0,,,75720.0,839668.0,,,0.0,,,0.0,0.0,,0.0,,,346.0,1096070.0,0.0,0.0,,0.0,346.0,,,0.0,,,,151.0,,0.0,,0.0,,431132.0,-43.0,,0.0,7160.0,3368913.0,,,,132575.0,0.0,-75620.0,,,0.0,80717.0
2006-03-31,4979097.0,0.0,17148.0,0.0,0.0,0.0,,0.0,,0.0,0.0,3497179.0,230643.0,635241.0,0.0,,,41051.0,,,0.0,218746.0,1199425.0,,4979097.0,102986.0,,,831483.0,,,75720.0,984732.0,,,0.0,,,0.0,0.0,,0.0,,,371.0,1199796.0,0.0,0.0,,0.0,371.0,,,0.0,,,,328.0,,0.0,,0.0,,309445.0,-21.0,,0.0,7079.0,3779672.0,,,,153577.0,0.0,-4456.0,,,0.0,96436.0
2006-06-30,5183193.0,0.0,11000.0,0.0,0.0,0.0,,0.0,,0.0,0.0,3595230.0,230643.0,714320.0,0.0,,,40890.0,,,0.0,218312.0,1278504.0,,5183193.0,141231.0,,,810318.0,,,9.0,948007.0,,,0.0,,,0.0,0.0,,0.0,,,360.0,1278864.0,0.0,0.0,,0.0,360.0,,,0.0,,,,399.0,,0.0,,0.0,,317403.0,-24.0,,0.0,7061.0,3904689.0,,,,138088.0,0.0,3182.0,,,0.0,85440.0
2006-09-30,5487812.0,0.0,11863.0,0.0,0.0,56884.0,,0.0,,0.0,0.0,3799154.0,230643.0,814143.0,0.0,,,43694.0,,,0.0,221986.0,1378327.0,,5487812.0,193632.0,,,831549.0,,,5.0,983251.0,,,0.0,,,0.0,0.0,,0.0,,,0.0,1378327.0,0.0,0.0,,0.0,0.0,,,0.0,,,,389.0,,0.0,,56884.0,,966724.0,-23.0,,-5197.0,7110.0,4109485.0,,,,152091.0,-5197.0,-20546.0,,,0.0,98957.0
