,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2002-06-30,162376.0,82578.0,0.0,,27290.0,34618.0,,26985.0,98.0,54660.0,0.0,,,,,,,0.0,,,0.0,78421.0,0.0,,162376.0,50999.0,0.0,18451.0,0.0,5452.0,,0.0,3263.0,,,91923.0,5709.0,0.0,13745.0,-6.0,,0.0,,,0.0,91923.0,0.0,0.0,0.0,477.0,0.0,0.0,,0.0,,,,39332.0,1709.0,-4197.0,16832.0,0.0,,-4191.0,112.0,,70453.0,0.0,-6.0,,,,-4197.0,45362.0,0.0,,,0.0,-4191.0
2002-09-30,155957.0,76958.0,0.0,,25748.0,30911.0,,31069.0,77.0,41072.0,0.0,,,,,,,0.0,,,0.0,77598.0,0.0,,155957.0,54737.0,0.0,17539.0,0.0,5058.0,,0.0,3465.0,,,78335.0,7261.0,0.0,15624.0,-574.0,,0.0,,,0.0,78335.0,0.0,0.0,0.0,607.0,0.0,0.0,,0.0,,,,32257.0,1877.0,-14164.0,16150.0,0.0,,-13590.0,120.0,,77622.0,0.0,-574.0,,,,-14164.0,38313.0,0.0,,,0.0,-13590.0
2002-12-31,155828.0,77727.0,0.0,,16061.0,37956.0,,35776.0,54.0,39515.0,0.0,,,,,,,0.0,,,0.0,76678.0,0.0,,155829.0,57913.0,0.0,18723.0,0.0,4173.0,,0.0,2521.0,,,76778.0,5948.0,0.0,15189.0,0.0,,0.0,,,0.0,76778.0,0.0,0.0,0.0,855.0,0.0,0.0,,0.0,,,,27500.0,234.0,-1556.0,20280.0,0.0,,-1556.0,134.0,,79050.0,0.0,0.0,,,,-1556.0,32776.0,0.0,,,0.0,-1556.0
2003-03-31,166221.0,88035.0,0.0,,31489.0,38448.0,,35234.0,32.0,42912.0,0.0,,,,,,,2808.0,,,0.0,73998.0,0.0,,166219.0,65855.0,0.0,24777.0,0.0,4956.0,,0.0,1898.0,,,80175.0,5302.0,0.0,14889.0,-2604.0,,0.0,,,0.0,80175.0,0.0,0.0,0.0,655.0,0.0,0.0,,0.0,,,,43474.0,1805.0,793.0,15513.0,0.0,,3397.0,125.0,,86046.0,0.0,-2604.0,,,,793.0,51106.0,0.0,,,0.0,3397.0
2003-06-30,162715.0,87221.0,0.0,,23834.0,39988.0,,41127.0,126.0,43656.0,0.0,,,,,,,2100.0,,,0.0,71986.0,0.0,,162715.0,64627.0,0.0,18110.0,0.0,4579.0,,0.0,1913.0,,,80919.0,4001.0,0.0,13168.0,-186.0,,0.0,,,0.0,80919.0,0.0,0.0,0.0,541.0,0.0,0.0,,0.0,,,,35354.0,1030.0,560.0,20048.0,0.0,,746.0,131.0,,81796.0,0.0,-186.0,,,,560.0,42822.0,0.0,,,0.0,746.0
2003-09-30,154578.0,80613.0,0.0,,28548.0,36252.0,,35689.0,169.0,41372.0,0.0,,,,,,,1946.0,,,0.0,70585.0,0.0,,154578.0,59463.0,0.0,17148.0,0.0,4119.0,,0.0,1672.0,,,78635.0,3403.0,0.0,13077.0,-116.0,,0.0,,,0.0,78635.0,0.0,0.0,0.0,605.0,0.0,0.0,,0.0,,,,37206.0,1671.0,-2401.0,13367.0,0.0,,-2285.0,152.0,,75943.0,0.0,-116.0,,,,-2401.0,45064.0,0.0,,,0.0,-2285.0
2003-12-31,149665.0,78210.0,0.0,,21477.0,43596.0,,32899.0,155.0,38700.0,0.0,,,,,,,1792.0,,,0.0,68285.0,0.0,,149666.0,59548.0,0.0,21359.0,0.0,4954.0,,0.0,1958.0,,,75963.0,2273.0,0.0,11881.0,6.0,,0.0,,,0.0,75963.0,0.0,0.0,0.0,1164.0,0.0,0.0,,0.0,,,,34694.0,328.0,-2667.0,9860.0,0.0,,-2673.0,156.0,,73702.0,0.0,6.0,,,,-2667.0,42020.0,0.0,,,0.0,-2673.0
2004-03-31,158363.0,86618.0,0.0,,37785.0,34595.0,,41163.0,106.0,39056.0,0.0,,,,,,,2372.0,,,0.0,67993.0,0.0,,158362.0,68675.0,0.0,19675.0,0.0,5524.0,,0.0,1471.0,,,76319.0,1727.0,0.0,11642.0,386.0,,0.0,,,0.0,76319.0,0.0,0.0,0.0,1927.0,0.0,0.0,,0.0,,,,48190.0,2185.0,741.0,10734.0,0.0,,355.0,156.0,,82044.0,0.0,386.0,,,,741.0,59795.0,0.0,,,0.0,355.0
2004-06-30,152762.0,83143.0,0.0,,36214.0,29546.0,,30091.0,199.0,36670.0,0.0,,,,,,,1942.0,,,0.0,66349.0,0.0,,152764.0,66293.0,0.0,21846.0,0.0,6394.0,,0.0,1649.0,,,73933.0,810.0,0.0,11726.0,1152.0,,0.0,,,0.0,73933.0,0.0,0.0,0.0,1340.0,0.0,9.375e-05,,0.0,,,,52673.0,3211.0,3254.0,13701.0,0.0,,2102.0,161.0,,78829.0,0.0,1152.0,,,,3254.0,66342.0,0.0,,,0.0,2102.0
2004-09-30,147454.0,78708.0,0.0,,29624.0,35224.0,,25738.0,151.0,36660.0,0.0,,,,,,,1886.0,,,0.0,65442.0,0.0,,147455.0,61023.0,0.0,22020.0,0.0,4817.0,,0.0,1343.0,,,73923.0,352.0,0.0,12156.0,50.0,,0.0,,,0.0,73923.0,0.0,0.0,0.0,1031.0,0.0,0.0,,0.0,,,,38067.0,2386.0,39.0,10805.0,0.0,,-11.0,164.0,,73531.0,0.0,50.0,,,,39.0,48586.0,0.0,,,0.0,-11.0
