,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2000-03-31,459874.0,221895.0,13174.0,0.0,127708.0,70554.0,,19978.0,0.0,-9519.0,2183.0,148565.0,,0.0,8887.0,,0.0,6864.0,,9180.0,8266.0,0.0,0.0,,459871.0,194259.0,657.0,39292.0,14800.0,56495.0,,,6388.0,0.0,,68862.0,68862.0,,0.0,0.0,,8926.0,,-448.0,56495.0,122149.0,178644.0,0.0,,12724.0,25012.0,,,0.0,,,,141965.0,57412.0,1.534e-05,17252.0,0.0,,0.0,1604.0,,3137.0,0.0,0.0,,,,13022.0,0.0,0.0,,,-4624.0,4428.0
2000-06-30,477147.0,238008.0,15019.0,0.0,135883.0,74725.0,,22516.0,0.0,-10135.0,2465.0,146168.0,,0.0,9395.0,,0.0,9747.0,,9305.0,8416.0,0.0,0.0,,477149.0,211072.0,942.0,40662.0,10250.0,59815.0,,,5895.0,0.0,,65839.0,65839.0,,0.0,0.0,,7397.0,,-470.0,59815.0,123721.0,183536.0,0.0,,14011.0,26762.0,,,0.0,,,,151775.0,61518.0,4.4600000000000005e-06,19861.0,0.0,,0.0,499.0,,3427.0,0.0,0.0,,,,9334.0,0.0,0.0,,,-3015.0,1288.0
2000-09-30,503368.0,266762.0,39723.0,0.0,131505.0,77365.0,,24029.0,0.0,-5860.0,2066.0,144364.0,,0.0,10675.0,,0.0,9395.0,,9424.0,9203.0,0.0,0.0,,503369.0,204811.0,918.0,40259.0,11591.0,57827.0,,,6970.0,0.0,,99545.0,99545.0,,0.0,0.0,,7412.0,,-761.0,57827.0,124350.0,182177.0,0.0,,14664.0,26741.0,,,0.0,,,,164197.0,60988.0,2.2600000000000004e-06,18418.0,0.0,,0.0,1083.0,,3018.0,0.0,0.0,,,,8072.0,0.0,0.0,,,-2729.0,651.0
2000-12-31,487929.0,260562.0,44808.0,0.0,119746.0,76050.0,,17270.0,0.0,2688.0,8167.0,143065.0,,0.0,9219.0,,0.0,14532.0,,11222.0,9022.0,0.0,0.0,,487932.0,205087.0,271.0,42790.0,20628.0,56728.0,,,8182.0,23352.0,,95267.0,95267.0,,0.0,0.0,,6495.0,,-818.0,56728.0,113133.0,169861.0,0.0,,4094.0,25881.0,,,0.0,,,,154857.0,55052.0,-2.9810000000000008e-05,17738.0,0.0,,1964.0,-391.0,,-5304.0,0.0,0.0,,,,-11112.0,0.0,0.0,,,-1082.0,-8604.0
2001-03-31,483020.0,256254.0,38800.0,0.0,137203.0,74432.0,,13930.0,0.0,-8111.0,6436.0,140400.0,,0.0,12275.0,,0.0,11796.0,,9126.0,8988.0,0.0,0.0,,483019.0,191518.0,658.0,42423.0,13024.0,66117.0,,,13947.0,0.0,,89762.0,89762.0,,0.0,1137.0,,8087.0,,-1008.0,66117.0,117272.0,183389.0,0.0,,7846.0,25670.0,,,0.0,,,,165804.0,59156.0,1.3e-05,11881.0,0.0,,0.0,2603.0,,5223.0,0.0,0.0,,,,13179.0,0.0,0.0,,,-3044.0,3752.0
2001-06-30,485774.0,265999.0,27025.0,0.0,140802.0,78709.0,,20843.0,0.0,-1380.0,3252.0,140179.0,,0.0,10071.0,,0.0,11075.0,,9600.0,9025.0,0.0,0.0,,485775.0,179570.0,728.0,39766.0,17925.0,69310.0,,,8447.0,0.0,,97767.0,97767.0,,0.0,883.0,,4585.0,,-684.0,69310.0,124060.0,193370.0,0.0,,14564.0,26346.0,,,0.0,,,,174169.0,52516.0,2.3279999999999997e-05,13872.0,0.0,,0.0,1517.0,,5207.0,0.0,0.0,,,,17893.0,0.0,0.0,,,-4139.0,6719.0
2001-09-30,512869.0,296317.0,26793.0,0.0,150953.0,85403.0,,30046.0,0.0,3122.0,4206.0,141397.0,,0.0,10107.0,,0.0,15075.0,,9722.0,9153.0,0.0,0.0,,512869.0,197641.0,-102.0,42431.0,19170.0,67365.0,,,8781.0,0.0,,110064.0,110064.0,,0.0,614.0,,4768.0,,-905.0,67365.0,122695.0,190060.0,0.0,,14029.0,28873.0,,,0.0,,,,185892.0,48156.0,7.559999999999998e-06,12992.0,0.0,,0.0,1020.0,,5391.0,0.0,0.0,,,,12467.0,0.0,0.0,,,-2717.0,2181.0
2001-12-31,474305.0,264977.0,30420.0,0.0,127319.0,75548.0,,37276.0,0.0,-5586.0,11393.0,136439.0,,0.0,8546.0,,0.0,1862.0,,2874.0,19583.0,0.0,0.0,,474305.0,181218.0,-680.0,37202.0,26348.0,66483.0,,,15086.0,0.0,,97123.0,97123.0,,0.0,0.0,,14334.0,,7220.0,66483.0,112273.0,178756.0,0.0,,4185.0,27879.0,,,0.0,,,,157528.0,20429.0,-2.699e-05,11823.0,0.0,,2717.0,-5654.0,,6002.0,0.0,0.0,,,,6783.0,7827.0,0.0,,,-6548.0,-7789.0
2002-03-31,481129.0,274052.0,19871.0,0.0,141804.0,80361.0,,25127.0,0.0,6889.0,3999.0,136061.0,,0.0,10468.0,,0.0,17655.0,,12503.0,9925.0,0.0,0.0,,481127.0,182013.0,6.0,48542.0,21946.0,69997.0,,,16414.0,0.0,,99303.0,99303.0,,0.0,0.0,,4911.0,,-805.0,69997.0,112400.0,182397.0,0.0,,3626.0,27227.0,,,0.0,,,,179701.0,44341.0,-1.94e-06,11922.0,0.0,,0.0,-512.0,,9494.0,0.0,0.0,,,,14150.0,0.0,0.0,,,-3699.0,-559.0
2002-06-30,518626.0,316701.0,24102.0,0.0,147845.0,82745.0,,35140.0,0.0,26869.0,6603.0,139000.0,,0.0,9512.0,,0.0,20670.0,,17010.0,9192.0,0.0,0.0,,518628.0,184126.0,35.0,46312.0,23718.0,72279.0,,,7713.0,0.0,,124996.0,124996.0,,0.0,0.0,,5838.0,,-2227.0,72279.0,114379.0,186658.0,0.0,,5576.0,28564.0,,,0.0,,,,207344.0,37792.0,6.7600000000000005e-06,10886.0,0.0,,0.0,107.0,,5097.0,0.0,0.0,,,,13313.0,0.0,0.0,,,-4503.0,1951.0
