,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-12-31,181353000.0,124803000.0,4975000.0,,46466000.0,35672000.0,,,688000.0,23892000.0,141000.0,,,0.0,54268000.0,0.0,,,,517000.0,0.0,2137000.0,146000.0,,181354000.0,58509000.0,2286000.0,2811000.0,0.0,24668000.0,146000.0,,0.0,0.0,,7853000.0,46519000.0,,117111000.0,4094000.0,,136000.0,,,0.0,64242000.0,64242000.0,25575200.0,,472000.0,304000.0,,,,
2007-03-31,661969000.0,602812000.0,4312000.0,,55376000.0,36626000.0,,,716000.0,75086000.0,353000.0,,,0.0,42709000.0,0.0,,,,0.0,13946000.0,2503000.0,0.0,,661970000.0,75688000.0,0.0,3072000.0,906000.0,15280000.0,0.0,,0.0,0.0,,24702000.0,53593000.0,,157902000.0,3784000.0,,135000.0,,,0.0,504067000.0,504067000.0,48575200.0,,641000.0,-8371000.0,,,,
2007-06-30,663108000.0,571205000.0,2780000.0,,61351000.0,68865000.0,,,0.0,34200000.0,212000.0,,,0.0,75297000.0,0.0,,,,0.0,13802000.0,2804000.0,0.0,,663108000.0,74776000.0,0.0,3753000.0,1501000.0,11957000.0,0.0,,0.0,0.0,,18037000.0,49280000.0,,146645000.0,4414000.0,,138000.0,,,0.0,516463000.0,516463000.0,48575200.0,,786000.0,4025000.0,,,,
2007-09-30,707745000.0,610882000.0,5379000.0,,64059000.0,130660000.0,,,0.0,50500000.0,592000.0,,,0.0,74307000.0,0.0,,,,0.0,8929000.0,13627000.0,0.0,,707745000.0,102025000.0,0.0,4377000.0,2748000.0,16458000.0,0.0,,0.0,0.0,,21167000.0,46229000.0,,175334000.0,5775000.0,,138000.0,,,0.0,532411000.0,532411000.0,48575200.0,,2656000.0,19973000.0,,,,
2007-12-31,756817000.0,652803000.0,6848000.0,,93053000.0,196669000.0,,,356000.0,47878000.0,614000.0,,,0.0,71380000.0,12870000.0,,,,1435000.0,11032000.0,0.0,0.0,,756817000.0,148269000.0,7145000.0,7999000.0,0.0,20612000.0,1888000.0,,69217000.0,14000.0,,29146000.0,39303000.0,,221590000.0,4722000.0,,136000.0,,,14000.0,535227000.0,535241000.0,48575200.0,,576000.0,22789000.0,,,,
2008-03-31,794708000.0,678618000.0,8349000.0,,135009000.0,238504000.0,,,237000.0,81107000.0,2018000.0,,,11646000.0,65021000.0,24466000.0,,,,1261000.0,8179000.0,0.0,0.0,,794708000.0,166689000.0,0.0,12062000.0,3203000.0,45752000.0,2285000.0,,77248000.0,24000.0,,23988000.0,37001000.0,,233569000.0,5729000.0,,138000.0,,,24000.0,561139000.0,561163000.0,48575200.0,,3670000.0,48701000.0,,,,
2008-06-30,877766000.0,704558000.0,18477000.0,,203247000.0,212140000.0,,,196000.0,103258000.0,2420000.0,,,12388000.0,76018000.0,66515000.0,,,,194000.0,7819000.0,0.0,0.0,,877766000.0,195916000.0,0.0,16257000.0,5166000.0,63915000.0,2927000.0,,74977000.0,41000.0,,24119000.0,60262000.0,,286773000.0,6297000.0,,138000.0,,,41000.0,590993000.0,591034000.0,48575200.0,,4583000.0,78555000.0,,,,
2008-09-30,981689000.0,803504000.0,20058000.0,,280914000.0,269064000.0,,,184000.0,119667000.0,3351000.0,,,13084000.0,82026000.0,62116000.0,,,,206000.0,8217000.0,0.0,0.0,,981689000.0,245301000.0,0.0,19549000.0,4572000.0,93062000.0,4397000.0,,83008000.0,62000.0,,25070000.0,80700000.0,,358131000.0,6860000.0,,138000.0,,,62000.0,623558000.0,623620000.0,48575200.0,,4264000.0,111120000.0,,,,
2008-12-31,1035461000.0,781221000.0,12924000.0,,342994000.0,263012000.0,,,181000.0,115579000.0,2213000.0,,,0.0,98722000.0,121520000.0,,,,19878000.0,13755000.0,0.0,0.0,,1035461000.0,288233000.0,9066000.0,20900000.0,0.0,92656000.0,5797000.0,,65066000.0,77000.0,,41827000.0,96727000.0,,434744000.0,7744000.0,,136000.0,,,77000.0,600717000.0,600794000.0,48575200.0,,2831000.0,88279000.0,,,,
2009-03-31,1119701000.0,871371000.0,23684000.0,,423662000.0,294453000.0,,,84000.0,116557000.0,2530000.0,,,0.0,88688000.0,104921000.0,,,,18954000.0,14422000.0,0.0,0.0,,1119701000.0,362106000.0,9326000.0,24560000.0,0.0,139952000.0,7041000.0,,69148000.0,84000.0,,40606000.0,99156000.0,,508214000.0,6101000.0,,161000.0,,,84000.0,611487000.0,611571000.0,48575200.0,,3608000.0,99049000.0,,,,
