,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-12-31,466450.0,342534.0,10751.0,41309.0,14904.0,197699.0,,3101.0,,0.0,0.0,,,,6526.0,,,0.0,,,0.0,97210.0,0.0,,466450.0,124072.0,0.0,27637.0,6181.0,52015.0,,3111.0,0.0,,,6526.0,2564.0,,13580.0,0.0,,0.0,,,1215.0,315534.0,0.00034874,,,225772.0,,0.0,0.0,,
2005-06-30,463197.0,329793.0,8592.0,56557.0,10715.0,191936.0,,4157.0,,0.0,0.0,,,,8246.0,,,0.0,,,4.0,109343.0,0.0,,463197.0,101961.0,0.0,20615.0,4135.0,34892.0,,1002.0,0.0,,,8246.0,3153.0,,13464.0,0.0,,0.0,,,1241.0,336836.0,0.00035039,,,116836.0,,0.0,0.0,,
2005-09-30,478650.0,340099.0,4808.0,84017.0,10516.0,176480.0,,7235.0,,0.0,0.0,,,,11291.0,,,0.0,,,4.0,117527.0,0.0,,478650.0,95943.0,0.0,23575.0,5646.0,22916.0,,1001.0,0.0,,,11291.0,3240.0,,12503.0,0.0,,0.0,,,1259.0,355443.0,0.00028429,,,135443.0,,0.0,0.0,,
2005-12-31,678282.0,440684.0,6550.0,71648.0,13507.0,164659.0,,4089.0,,0.0,0.0,,,,101684.0,,,0.0,,,0.0,117250.0,0.0,,678282.0,193006.0,0.0,21120.0,5678.0,122336.0,,3612.0,0.0,,,101684.0,2801.0,,11946.0,0.0,,0.0,,,1288.0,364598.0,0.00038915,,,144598.0,,0.0,0.0,,
2006-03-31,473056.0,314707.0,5298.0,52164.0,14161.0,176070.0,,4255.0,,0.0,0.0,,,,10958.0,,,0.0,,,0.0,120219.0,0.0,,473056.0,67470.0,0.0,23376.0,6352.0,5517.0,,3773.0,0.0,,,10958.0,2019.0,,10332.0,0.0,,0.0,,,1303.0,374965.0,0.0001584,,,114965.0,,0.0,0.0,,
2006-06-30,490971.0,323156.0,4698.0,51895.0,13239.0,190533.0,,2467.0,,0.0,0.0,,,,10093.0,,,0.0,,,0.0,124612.0,0.0,,490971.0,80172.0,0.0,21341.0,6328.0,4703.0,,12455.0,0.0,,,10093.0,2506.0,,8811.0,0.0,,0.0,,,1361.0,381907.0,0.00022345,,,121907.0,,0.0,0.0,,
2006-09-30,512290.0,337906.0,9092.0,64932.0,11017.0,186185.0,,10679.0,,0.0,0.0,,,,14424.0,,,0.0,,,0.0,137029.0,0.0,,512290.0,74822.0,0.0,20239.0,6007.0,4433.0,,974.0,0.0,,,14424.0,2585.0,,6719.0,0.0,,0.0,,,1431.0,406407.0,0.00037433,,,146407.0,,0.0,0.0,,
2006-12-31,914996.0,483997.0,7461.0,79461.0,11818.0,169790.0,,6523.0,,0.0,0.0,,,,255979.0,,,12174.0,,,9.0,156015.0,0.0,,914996.0,300237.0,0.0,18151.0,7032.0,155028.0,,85329.0,0.0,,,255979.0,2337.0,,4628.0,0.0,,0.0,,,1462.0,341301.0,0.00051076,,,81301.0,,0.0,0.0,,
2007-03-31,937200.0,484850.0,13999.0,59984.0,9499.0,174289.0,,7986.0,,0.0,0.0,,,,294405.0,,,12912.0,,,9.0,158516.0,0.0,,937200.0,268100.0,0.0,22181.0,6901.0,174382.0,,32857.0,0.0,,,294405.0,3496.0,,7396.0,0.0,,0.0,,,1541.0,359456.0,0.00029738000000000003,,,99456.0,,0.0,0.0,,
2007-06-30,1216973.0,722747.0,6494.0,277938.0,9225.0,182562.0,,2631.0,,0.0,0.0,,,,317471.0,,,12996.0,,,9.0,161115.0,0.0,,1216973.0,272905.0,0.0,23055.0,8724.0,192100.0,,13504.0,0.0,,,317471.0,4075.0,,8925.0,0.0,,0.0,,,1682.0,611491.0,0.00028082000000000004,,,108555.0,,0.0,0.0,,
2007-09-30,1283264.0,747216.0,6900.0,278334.0,9941.0,191596.0,,6817.0,,0.0,0.0,,,,337583.0,,,12892.0,,,0.0,162276.0,0.0,,1283264.0,296140.0,0.0,21674.0,9227.0,205779.0,,14664.0,0.0,,,337583.0,3848.0,,7124.0,0.0,,0.0,,,1842.0,633559.0,0.00046604000000000003,,,130623.0,,0.0,0.0,,
2007-12-31,1351166.0,786047.0,189010.0,111512.0,1404.0,183044.0,,7908.0,,-1619.0,412032.0,,,,399003.0,,,13407.0,,,0.0,129665.0,0.0,,1351167.0,313879.0,0.0,25193.0,234758.0,223738.0,,2375.0,0.0,,,399003.0,8924.0,,9702.0,-968.0,,8746.0,,,1871.0,624368.0,0.00060042,,,135363.0,,0.0,0.0,,
2008-03-31,1417312.0,835310.0,14459.0,300740.0,0.0,197917.0,,5874.0,,0.0,0.0,,,,441326.0,,,11962.0,,,7558.0,134267.0,0.0,,1417312.0,328017.0,0.0,25424.0,12190.0,235176.0,,12001.0,0.0,,,441326.0,8929.0,,10410.0,0.0,,1457.0,,,2071.0,637882.0,0.00032761,,,134946.0,,0.0,0.0,,
2008-06-30,1468440.0,836002.0,6539.0,275802.0,0.0,211242.0,,8638.0,,-2495.0,453600.0,,,,440986.0,,,13759.0,,,984.0,153580.0,0.0,,1468440.0,354003.0,0.0,39948.0,274544.0,237863.0,,13660.0,0.0,,,440986.0,5447.0,,15246.0,0.0,,1722.0,,,2270.0,660465.0,0.00041427,,,157529.0,,0.0,0.0,,
2008-09-30,1625814.0,905182.0,10821.0,245219.0,0.0,256782.0,,11018.0,,-5883.0,487108.0,,,,472147.0,,,17320.0,,,1199.0,202247.0,1653.0,,1625814.0,425097.0,0.0,43932.0,300021.0,268033.0,,15117.0,0.0,,,472147.0,19780.0,,18382.0,0.0,,2097.0,,,2502.0,687378.0,0.00047224,,,184442.0,,0.0,1653.0,,
2008-12-31,1680924.0,885761.0,135224.0,53721.0,7947.0,285344.0,,9622.0,,-2652.0,483071.0,,,,524280.0,,,30976.0,,,0.0,254105.0,6574.0,,1680924.0,416272.0,0.0,31136.0,324634.0,298531.0,,11777.0,0.0,,,524280.0,19544.0,,14082.0,5649.0,,15876.0,,,2536.0,700809.0,0.0004232800000000001,,,205187.0,,0.0,6574.0,,
