,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2009-12-31,3470307.0719999997,1608957.0559999999,836822.016,0.0,772134.9759999999,0.0,0.0,0.0,0.0,0.0,1700582.0159999998,0.0,0.0,1700582.0159999998,0.0,0.0,0.0,0.0,0.0,0.0,156763.008,3523.0,33.0,449.0,3470307.0719999997,1782050.0480000002,0.0,32.0,11971.0,21825.0,0.0,10616.0,1736732.032,874.0,0.0,1099665.024,1099665.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33579.0,555012.9920000001,190924.0,5675.0,0.0,358414.016,0.0,0.0,0.0,0.0,0.0,11407.0,16.0,11423.0,0.0,11423.0,0.0,-64694.0,0.0,419956.992,-313717.984,-21444.0,4471.0,1332.0,3139.0,0.0,0.0,0.0,35995.0,-14503.0,0.0,-2731.0,-3068.0,0.0,13104.0
2010-03-31,3188077.0560000003,1897460.9919999999,2450.0,0.0,1843675.0080000001,0.0,0.0,0.0,0.0,51336.0,1146695.936,0.0,0.0,1073260.0320000001,0.0,0.0,0.0,0.0,0.0,73436.0,140308.992,3175.0,436.0,0.0,3188077.0560000003,1503078.0159999998,0.0,5.0,9275.0,125002.0,0.0,5570.0,1363225.9840000002,0.0,0.0,1090310.0159999998,189740.0,0.0,900569.984,0.0,0.0,0.0,0.0,0.0,0.0,594689.024,190924.0,5810.0,0.0,336094.016,40342.0,21519.0,0.0,0.0,0.0,3797.0,-541.0,3256.0,0.0,3256.0,0.0,-15478.0,0.0,95704.0,-59623.0,10959.0,200.0,280.0,-80.0,0.0,0.0,0.0,35018.0,-9459.0,0.0,-984.0,0.0,0.0,24575.0
2010-06-30,3188069.12,2093782.0159999998,2499.0,0.0,2011064.96,0.0,0.0,0.0,0.0,80218.0,946209.0240000001,0.0,0.0,869307.0079999999,0.0,0.0,0.0,0.0,0.0,76902.0,145066.0,2621.0,391.0,0.0,3188069.12,1491175.936,0.0,13.0,13636.0,145526.008,0.0,9694.0,1322306.9440000001,0.0,0.0,1102358.0159999998,177655.008,0.0,924702.9759999999,0.0,0.0,0.0,0.0,0.0,0.0,594534.976,206127.008,5810.0,0.0,320804.0,39728.0,22066.0,0.0,0.0,0.0,3083.0,-439.0,2644.0,0.0,2644.0,0.0,-14814.0,0.0,92079.0,-81002.0,-34.0,222.0,292.0,-70.0,0.0,0.0,0.0,-905.0,3486.0,0.0,-1153.0,0.0,0.0,1428.0
2010-09-30,2912958.9760000003,1824577.024,2756.0,0.0,1751602.0480000002,0.0,0.0,0.0,0.0,70219.0,938556.9920000001,0.0,0.0,861444.9920000001,0.0,0.0,0.0,0.0,0.0,77112.0,147140.992,2329.0,355.0,0.0,2912958.9760000003,1270758.0159999998,0.0,0.0,7140.0,142654.0,0.0,5019.0,1115944.96,0.0,0.0,1038464.0,205444.0,0.0,833020.032,0.0,0.0,0.0,0.0,0.0,0.0,603737.024,206127.008,5906.0,0.0,317448.0,54334.0,19922.0,0.0,0.0,0.0,3286.0,-461.0,2825.0,0.0,2825.0,0.0,-15506.0,0.0,91469.0,-70491.0,7556.0,160.0,248.0,-88.0,0.0,0.0,0.0,16013.0,-3854.0,0.0,-909.0,0.0,0.0,11250.0
2010-12-31,2971937.0239999997,1700249.9840000002,1838.0,1675794.9440000001,0.0,0.0,0.0,0.0,0.0,22617.0,1101394.048,1058131.9679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43262.0,168528.0,1657.0,108.0,0.0,2971937.0239999997,1227975.04,0.0,0.0,0.0,0.0,0.0,0.0,1227975.04,0.0,0.0,1138999.04,0.0,0.0,1138999.04,0.0,0.0,0.0,0.0,0.0,0.0,604963.0079999999,206127.008,5906.0,0.0,374627.008,0.0,18303.0,0.0,0.0,0.0,0.0,0.0,529.0,-5300.0,-4771.0,-8917.0,-37452.0,0.0,-254036.992,211315.008,1353.0,96873.0,324836.0,-227962.992,0.0,0.0,0.0,4364.0,9827.0,0.0,0.0,0.0,0.0,5991.0
2011-03-31,2763374.08,1609181.9519999998,528.0,1582855.936,8966.0,0.0,0.0,511.0,0.0,16321.0,981027.0079999999,925134.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55893.0,171455.008,1615.0,95.0,0.0,2763374.08,1277318.0159999998,1004.0,83.0,13348.0,0.0,0.0,0.0,1262882.9440000001,0.0,0.0,872462.9759999999,0.0,0.0,872462.9759999999,0.0,0.0,0.0,0.0,0.0,0.0,613593.024,206127.008,6006.0,0.0,373088.0,9759.0,18613.0,0.0,0.0,0.0,0.0,0.0,2527.0,-1466.0,1061.0,0.0,-15956.0,0.0,5146.0,-3060.0,2617.0,22899.0,72610.0,-49711.0,0.0,0.0,0.0,12707.0,-4458.0,0.0,0.0,0.0,0.0,8249.0
2011-06-30,3021806.08,1455995.0080000001,1008.0,1423544.064,8304.0,0.0,0.0,0.0,0.0,23139.0,1389248.0,1333970.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55278.0,174871.008,1593.0,99.0,0.0,3021806.08,1487176.96,1004.0,167.0,30825.0,0.0,0.0,0.0,1455181.0559999999,0.0,0.0,912739.0079999999,0.0,0.0,912739.0079999999,0.0,0.0,0.0,0.0,0.0,0.0,621889.9839999999,227640.992,6006.0,0.0,351572.992,19485.0,17185.0,0.0,0.0,0.0,0.0,0.0,3051.0,-2260.0,791.0,0.0,-15213.0,0.0,825.0,-2635.0,2440.0,29800.0,85040.0,-55240.0,0.0,0.0,0.0,16008.0,-4334.0,0.0,0.0,0.0,0.0,11674.0
2011-09-30,3291697.92,1919972.9919999999,4035.0,1896264.96,7102.0,0.0,0.0,0.0,0.0,12571.0,1184627.9679999999,1121842.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62786.0,185210.0,1576.0,311.0,0.0,3291697.92,1637059.968,1127.0,121.0,10363.0,0.0,0.0,0.0,1625448.96,0.0,0.0,1011176.0,0.0,0.0,1011176.0,0.0,0.0,0.0,0.0,0.0,0.0,643462.0160000001,227640.992,6125.0,0.0,349716.0,37138.0,22842.0,0.0,0.0,0.0,0.0,0.0,2866.0,-1950.0,916.0,0.0,-17294.0,0.0,1.0,-2151.0,7774.0,30420.0,112731.0,-82311.0,0.0,0.0,0.0,19666.0,-3870.0,0.0,0.0,0.0,0.0,15796.0
2011-12-31,3225612.0319999997,1454882.0480000002,2417.0,1433358.976,0.0,0.0,0.0,0.0,0.0,19106.0,1577901.0559999999,1518375.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59526.0,190796.0,1544.0,489.0,0.0,3225612.0319999997,1534903.04,0.0,0.0,0.0,0.0,0.0,0.0,1534903.04,0.0,0.0,1038281.0240000001,0.0,0.0,1038281.0240000001,0.0,0.0,0.0,0.0,0.0,0.0,652428.032,227640.992,6125.0,0.0,395982.016,0.0,22680.0,0.0,0.0,0.0,0.0,0.0,2746.0,-1868.0,878.0,-16456.0,-27472.0,0.0,20123.0,7846.0,4590.0,25999.0,101626.016,-75626.976,0.0,0.0,0.0,15508.0,12662.0,0.0,0.0,0.0,0.0,12116.0
2012-03-31,3240893.952,1429049.9840000002,1779.0,1406439.936,0.0,0.0,0.0,0.0,0.0,20831.0,1616231.936,1563003.0080000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53229.0,193567.008,1550.0,495.0,0.0,3240893.952,1417458.0480000002,973.0,79.0,0.0,0.0,0.0,0.0,1416406.0159999998,0.0,0.0,1158553.9840000002,0.0,0.0,1158553.9840000002,0.0,0.0,0.0,0.0,0.0,0.0,664881.9839999999,227640.992,6276.0,0.0,393615.008,16087.0,21263.0,0.0,0.0,0.0,0.0,0.0,3862.0,-1935.0,1927.0,0.0,-17068.0,0.0,1765.0,-2570.0,4957.0,32324.0,94401.0,-62077.0,0.0,0.0,0.0,21335.0,-7615.0,0.0,0.0,0.0,0.0,13720.0
