,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,311212.0,225911.0,6435.0,,18102.0,66973.0,,0.0,,2520.0,333.0,,,,,,,,,,,64412.0,0.0,,311212.0,122549.0,64412.0,23066.0,30317.0,150.0,,,0.0,,,329.0,,,0.0,,,179585.0,,,230.0,179355.0,84106.0,0.0,,0.0,158873.0,0.0,,,,,,0.0,2926.0,21200.0,,131857.0,,44.0,0.0,44.0,193709.0,0.0,1270.0,,,,12646.0,,,,,0.0,18646.0
2002-03-31,266752.0,177848.0,11386.0,,20263.0,73580.0,,0.0,,5112.0,302.0,,,,,,,,,,,66366.0,0.0,,266752.0,74908.0,66366.0,21736.0,4692.0,717.0,,,0.0,,,336.0,,,0.0,,,180834.0,,,253.0,180581.0,41551.0,0.0,,0.0,160099.0,0.0,,,,,,0.0,5212.0,3122.0,,86171.0,,-23.0,0.0,-23.0,117479.0,0.0,1969.0,,,,1633.0,,,,,0.0,1829.0
2002-06-30,245468.0,150374.0,4319.0,,8268.0,70331.0,,0.0,,1790.0,2170.0,,,,,,,,,,,67790.0,0.0,,245468.0,46697.0,67790.0,15916.0,17924.0,1219.0,,,0.0,,,207.0,,,0.0,,,188572.0,,,333.0,188239.0,23106.0,0.0,,0.0,167757.0,0.0,,,,,,0.0,4738.0,11486.0,,57229.0,,-91.0,0.0,-91.0,148732.0,0.0,1559.0,,,,10229.0,,,,,0.0,7213.0
2002-09-30,255690.0,171585.0,12685.0,,5466.0,72283.0,,0.0,,1855.0,2420.0,,,,,,,,,,,54835.0,0.0,,255690.0,67226.0,54835.0,26413.0,25592.0,1341.0,,,0.0,,,212.0,,,0.0,,,182971.0,,,371.0,182600.0,30138.0,0.0,,0.0,162118.0,0.0,,,,,,0.0,4644.0,-6622.0,,73090.0,,-46.0,0.0,-46.0,139816.0,0.0,5722.0,,,,4241.0,,,,,0.0,-5781.0
2002-12-31,328178.0,233397.0,24117.0,,12800.0,101087.0,,0.0,,2652.0,2450.0,,,,,,,,,,,55105.0,0.0,,328178.0,138237.0,55105.0,32539.0,19845.0,67633.0,,,0.0,,,0.0,,,0.0,,,184596.0,,,311.0,184285.0,28263.0,0.0,,0.0,163803.0,0.0,,,,,,0.0,4721.0,-8483.0,,143893.0,,24.0,0.0,24.0,187174.0,0.0,1132.0,,,,3821.0,,,,,0.0,16663.0
2003-03-31,378822.0,283725.0,9525.0,,8782.0,147020.0,,0.0,,662.0,2567.0,,,,,,,,,,,55731.0,0.0,,378822.0,198114.0,55731.0,33922.0,27615.0,85948.0,,,0.0,,,0.0,,,0.0,,,176117.0,,,312.0,175805.0,64674.0,0.0,,0.0,155323.0,0.0,,,,,,0.0,3990.0,-8478.0,,203017.0,,0.0,0.0,0.0,267527.0,0.0,256.0,,,,-3613.0,,,,,0.0,-8480.0
2003-06-30,357810.0,262271.0,15365.0,,8369.0,102810.0,,0.0,,662.0,2569.0,,,,,,,,,,,56659.0,0.0,,357810.0,179277.0,56659.0,55663.0,31499.0,75184.0,,,0.0,,,0.0,,,21.34,,,174172.0,,,318.0,173854.0,31860.0,0.0,,0.0,153596.0,0.0,,,,,,0.0,3770.0,-1545.0,,183956.0,,-5.0,0.0,-5.0,237846.0,0.0,268.0,,,,3720.0,,,,,0.0,-1714.0
2003-09-30,310963.0,213633.0,4841.0,,9931.0,91164.0,,0.0,,662.0,2597.0,,,,,,,,,,,57558.0,0.0,,310963.0,124748.0,57558.0,34487.0,21204.0,54341.0,,,0.0,,,0.0,,,21.34,,,182299.0,,,310.0,181989.0,21620.0,0.0,,0.0,161731.0,0.0,,,,,,0.0,3335.0,9311.0,,128974.0,,8.0,0.0,8.0,200168.0,0.0,915.0,,,,7202.0,,,,,0.0,8934.0
2003-12-31,337774.0,234437.0,22472.0,,9567.0,90625.0,,0.0,,4148.0,4545.0,,,,,,,,,,,57022.0,0.0,,337774.0,149320.0,57022.0,55168.0,25995.0,58243.0,,,0.0,,,0.0,,,21.34,,,184889.0,,,314.0,184575.0,20057.0,0.0,,0.0,164317.0,0.0,,,,,,0.0,2985.0,3912.0,,153199.0,,-3.0,0.0,-3.0,224173.0,0.0,151.0,,,,8205.0,,,,,0.0,3498.0
2004-03-31,326246.0,221123.0,5066.0,,8287.0,117378.0,,0.0,,6117.0,4203.0,,,,,,,,,,,57846.0,0.0,,326246.0,136903.0,57846.0,30837.0,23251.0,68069.0,,,0.0,,,0.0,,,21.34,,,186142.0,,,315.0,185827.0,20551.0,0.0,,0.0,165569.0,0.0,,,,,,0.0,2621.0,1968.0,,140419.0,,-1.0,0.0,-1.0,227085.0,0.0,20.0,,,,5749.0,,,,,0.0,1891.0
2004-06-30,311468.0,202606.0,6336.0,,10336.0,51927.0,,0.0,,7658.0,4545.0,,,,,,,,,,,59734.0,0.0,,311468.0,130784.0,59734.0,10997.0,45921.0,73617.0,,,0.0,,,0.0,,,21.34,,,177857.0,,,317.0,177540.0,30066.0,0.0,,0.0,157282.0,0.0,,,,,,0.0,2247.0,-11714.0,,133928.0,,-2.0,0.0,-2.0,229389.0,0.0,483.0,,,,-3902.0,,,,,0.0,-8720.0
2004-09-30,418798.0,325375.0,5071.0,,11645.0,125840.0,,0.0,,6556.0,4557.0,,,,,,,,,,,64774.0,0.0,,418798.0,209669.0,64774.0,59183.0,140541.0,107734.0,,,0.0,,,0.0,,,21.34,,,206682.0,,,320.0,206362.0,21825.0,0.0,,0.0,186104.0,0.0,,,,,,0.0,1867.0,45658.0,,212436.0,,-3.0,0.0,-3.0,239927.0,0.0,88041.0,,,,33206.0,,,,,0.0,31019.0
2004-12-31,360247.0,253314.0,3588.0,,3814.0,86242.0,,0.0,,3217.0,6437.0,,,,,,,,,,,66353.0,0.0,,360247.0,160766.0,66353.0,18588.0,116023.0,122110.0,,,0.0,,,0.0,,,21.34,,,196422.0,,,286.0,196136.0,9812.0,0.0,,0.0,175878.0,0.0,,,,,,0.0,1480.0,-29544.0,,164111.0,,6.0,0.0,6.0,230076.0,0.0,2901.0,,,,-16107.0,,,,,0.0,-21190.0
2005-03-31,391745.0,285740.0,5275.0,,9856.0,127400.0,,0.0,,592.0,6438.0,,,,,,,,,,,67291.0,0.0,,391745.0,206683.0,67291.0,58879.0,97951.0,126400.0,,,0.0,,,0.0,,,21.34,,,182396.0,,,287.0,182109.0,8447.0,0.0,,0.0,161851.0,0.0,,,,,,0.0,1086.0,-10612.0,,209636.0,,-1.0,0.0,-1.0,211095.0,0.0,32.0,,,,-10646.0,,,,,0.0,-10646.0
2005-06-30,337837.0,230447.0,13310.0,,8249.0,77070.0,,0.0,,527.0,7403.0,,,,,,,,,,,67470.0,0.0,,337837.0,170410.0,67470.0,56461.0,90467.0,91973.0,,,0.0,,,0.0,,,21.34,,,165163.0,,,284.0,164879.0,9145.0,0.0,,0.0,144621.0,0.0,,,,,,0.0,684.0,-16105.0,,172958.0,,5.0,0.0,5.0,193881.0,0.0,143.0,,,,-16093.0,,,,,0.0,-16093.0
2005-09-30,276365.0,173001.0,2694.0,,4959.0,21640.0,,0.0,,576.0,10845.0,,,,,,,,,,,66595.0,0.0,,276365.0,118713.0,66595.0,57342.0,84347.0,46892.0,,,0.0,,,0.0,,,21.34,,,155710.0,,,280.0,155430.0,6477.0,0.0,,0.0,135172.0,0.0,,,,,,0.0,276.0,-13961.0,,120935.0,,3.0,0.0,3.0,117730.0,0.0,-21.0,,,,-13969.0,,,,,0.0,-13969.0
