,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,392792.0,213719.0,0.0,21929.0,67905.0,85587.0,,,,0.0,204302.0,,,,0.0,18730.0,,,,0.0,0.0,1938.0,5992.0,,392793.0,140374.0,31314.0,10597.0,,0.0,40224.0,,302.0,,,10062.0,10062.0,,38924.0,14640.0,,0.0,,,302.0,188491.0,188793.0,1316.26,,,37759.0,,,,,,,37789.0,704.0,0.0,0.0,335.0,,,1316.26,0.0,1.0,0.0,0.0,,,,-3372.0,39327.0,11564.0,,,37.0,-3675.0
2002-03-31,388134.0,224768.0,0.0,21907.0,76450.0,92853.0,,,,0.0,207247.0,,,,0.0,17849.0,,,,0.0,0.0,1821.0,0.0,,388133.0,130547.0,29623.0,13780.0,,0.0,38163.0,,3174.0,,,19689.0,19689.0,,40085.0,13752.0,,0.0,,,3174.0,180886.0,184060.0,1316.26,,,37759.0,,,,,,,22468.0,705.0,0.0,0.0,-3072.0,,,1316.26,0.0,2.0,0.0,0.0,,,,-10581.0,23788.0,12762.0,,,-98.0,-7607.0
2002-06-30,413846.0,251749.0,0.0,22237.0,90932.0,114594.0,,,,0.0,232714.0,,,,0.0,18334.0,,,,0.0,0.0,1951.0,0.0,,413848.0,127768.0,30093.0,19524.0,,0.0,30035.0,,6853.0,,,10453.0,10453.0,,73965.0,13675.0,,0.0,,,6853.0,181134.0,187987.0,1316.26,,,37759.0,,,,,,,35804.0,707.0,0.0,0.0,-6.0,,,1316.26,0.0,199.0,0.0,0.0,,,,1286.0,37081.0,10277.0,,,-1044.0,248.0
2002-09-30,472562.0,261241.0,0.0,22992.0,75407.0,123613.0,,,,0.0,289707.0,,,,0.0,16068.0,,,,0.0,0.0,1483.0,0.0,,472563.0,146338.0,30974.0,27264.0,,0.0,38061.0,,9182.0,,,10607.0,10607.0,,109912.0,13668.0,,0.0,,,9182.0,182856.0,192038.0,1316.26,,,37759.0,,,,,,,45760.0,686.0,0.0,0.0,137.0,,,1316.26,0.0,-403.0,0.0,0.0,,,,1206.0,47448.0,11981.0,,,-547.0,1722.0
2002-12-31,608806.0,306610.0,0.0,28188.0,97916.0,140056.0,,,,0.0,337690.0,,,,0.0,17583.0,,,,0.0,0.0,1357.0,4455.0,,608805.0,162675.0,33205.0,29627.0,,0.0,62670.0,,15624.0,,,18436.0,18436.0,,127590.0,13365.0,,0.0,,,15624.0,271115.0,286739.0,1316.26,,,41089.0,,,,,,,59838.0,507.0,0.0,0.0,1103.0,,,1316.26,0.0,-332.0,0.0,0.0,,,,12219.0,63565.0,13222.0,,,-1008.0,10008.0
2003-03-31,626475.0,321678.0,0.0,27295.0,132375.0,131873.0,,,,0.0,353304.0,,,,0.0,17147.0,,,,0.0,0.0,1265.0,4184.0,,626477.0,173945.0,34531.0,19540.0,,0.0,81644.0,,16118.0,,,11885.0,11885.0,,137731.0,13625.0,,0.0,,,16118.0,273173.0,289291.0,1316.26,,,41089.0,,,,,,,37543.0,451.0,0.0,0.0,275.0,,,1316.26,0.0,-143.0,0.0,0.0,,,,2121.0,39331.0,11871.0,,,-494.0,1352.0
2003-06-30,678095.0,361175.0,0.0,28734.0,152326.0,150135.0,,,,0.0,407121.0,,,,0.0,15246.0,,,,0.0,0.0,1200.0,3885.0,,678095.0,191015.0,35716.0,23663.0,,0.0,94746.0,,11669.0,,,3312.0,3312.0,,190217.0,10908.0,,0.0,,,11669.0,270974.0,282643.0,1316.26,,,41089.0,,,,,,,41289.0,446.0,0.0,0.0,-1660.0,,,1316.26,0.0,-217.0,0.0,0.0,,,,-3422.0,43241.0,11895.0,,,-437.0,-2199.0
2003-09-30,710805.0,390154.0,0.0,28703.0,174125.0,162998.0,,,,0.0,446065.0,,,,0.0,13725.0,,,,0.0,0.0,1211.0,3626.0,,710806.0,200763.0,37595.0,22939.0,,0.0,106196.0,,16689.0,,,9952.0,9952.0,,209208.0,9453.0,,0.0,,,16689.0,264741.0,281430.0,1316.26,,,41089.0,,,,,,,40732.0,450.0,0.0,0.0,-1145.0,,,1316.26,0.0,-158.0,0.0,0.0,,,,-7008.0,43185.0,13415.0,,,-369.0,-6232.0
2003-12-31,721581.0,414609.0,0.0,30186.0,188526.0,169997.0,,,,0.0,455904.0,,,,0.0,6650.0,,,,0.0,0.0,1159.0,3257.0,,721581.0,202838.0,39560.0,22065.0,,0.0,106870.0,,18817.0,,,12560.0,12560.0,,216243.0,5446.0,,0.0,,,18817.0,265677.0,284494.0,3954.57,,,34945.0,,,,,,,60090.0,444.0,0.0,0.0,-4128.0,,,3954.57,0.0,-145.0,0.0,0.0,,,,-1790.0,63830.0,12763.0,,,-1517.0,935.0
2004-03-31,750083.0,415823.0,0.0,28467.0,194049.0,171528.0,,,,0.0,479692.0,,,,0.0,5343.0,,,,0.0,0.0,1109.0,3036.0,,750081.0,212559.0,33646.0,23615.0,,0.0,106581.0,,20089.0,,,15227.0,15227.0,,226371.0,5446.0,,0.0,,,20089.0,270389.0,290478.0,3954.57,,,39657.0,,,,,,,65836.0,0.0,0.0,0.0,914.0,,,3954.57,0.0,-158.0,0.0,0.0,,,,6428.0,67782.0,14017.0,,,-802.0,4712.0
2004-06-30,786263.0,445873.0,0.0,29899.0,216897.0,178013.0,,,,0.0,512568.0,,,,0.0,5960.0,,,,0.0,0.0,1045.0,2760.0,,786262.0,232074.0,29897.0,22213.0,,0.0,110064.0,,21481.0,,,21142.0,21142.0,,231033.0,6838.0,,0.0,,,21481.0,273694.0,295175.0,3954.57,,,42962.0,,,,,,,67164.0,0.0,0.0,0.0,1503.0,,,3954.57,0.0,10.0,0.0,0.0,,,,4789.0,70778.0,15821.0,,,18.0,3304.0
2004-09-30,797806.0,536512.0,0.0,28654.0,301018.0,186891.0,,,,0.0,518838.0,,,,0.0,4716.0,,,,0.0,0.0,1084.0,2397.0,,797805.0,250540.0,31094.0,22935.0,,0.0,119381.0,,24458.0,,,35240.0,35240.0,,198252.0,10348.0,,0.0,,,24458.0,278967.0,303425.0,3954.57,,,48235.0,,,,,,,70179.0,0.0,0.0,0.0,2456.0,,,3954.57,0.0,2134.0,0.0,0.0,,,,8403.0,72949.0,15950.0,,,-673.0,5274.0
2004-12-31,539813.0,355986.0,0.0,32730.0,158379.0,134314.0,,,,0.0,262547.0,,,,0.0,39828.0,,,,0.0,0.0,1484.0,2186.0,,539813.0,176038.0,47562.0,7222.0,,0.0,0.0,,0.0,,,37585.0,37585.0,,43080.0,5844.0,,0.0,,,0.0,277266.0,277266.0,3954.57,,,46534.0,,,,,,,89311.0,1772.0,0.0,0.0,-888.0,,,3954.57,0.0,926.0,0.0,0.0,,,,3666.0,94432.0,16170.0,,,1457.0,6011.0
2005-03-31,965359.0,520112.0,0.0,30155.0,270907.0,200043.0,,,,0.0,681274.0,,,,0.0,2145.0,,,,0.0,0.0,1610.0,1977.0,,965359.0,330676.0,28698.0,34745.0,,0.0,171154.0,,35334.0,,,33080.0,33080.0,,272159.0,10025.0,,0.0,,,35334.0,284085.0,319419.0,3954.57,,,53353.0,,,,,,,91200.0,399.0,0.0,0.0,1273.0,,,3954.57,0.0,-130.0,0.0,0.0,,,,10575.0,94372.0,17373.0,,,-2483.0,6819.0
2005-06-30,998241.0,522521.0,0.0,30483.0,268343.0,202204.0,,,,0.0,711721.0,,,,0.0,1069.0,,,,0.0,0.0,1515.0,1948.0,,998241.0,363335.0,34553.0,35944.0,,0.0,189560.0,,34874.0,,,29038.0,29038.0,,269690.0,14784.0,,0.0,,,34874.0,286520.0,321394.0,3954.57,,,55788.0,,,,,,,88175.0,0.0,0.0,0.0,1048.0,,,3954.57,0.0,-436.0,0.0,0.0,,,,3483.0,91608.0,17911.0,,,0.0,2435.0
2005-09-30,981290.0,556452.0,0.0,30517.0,294855.0,203366.0,,,,0.0,691037.0,,,,0.0,417.0,,,,0.0,0.0,1490.0,1762.0,,981290.0,374372.0,43749.0,31221.0,,0.0,190496.0,,37290.0,,,30256.0,30256.0,,229662.0,19457.0,,0.0,,,37290.0,290253.0,327543.0,3954.57,,,59521.0,,,,,,,91272.0,0.0,0.0,0.0,639.0,,,3954.57,0.0,3049.0,0.0,0.0,,,,4543.0,94147.0,18458.0,,,0.0,3733.0
2005-12-31,695547.0,389342.0,0.0,9210.0,144471.0,173617.0,,,,0.0,402899.0,,,,0.0,107535.0,,,,0.0,0.0,1757.0,1676.0,,695547.0,253705.0,58625.0,9634.0,,0.0,23760.0,,0.0,,,18393.0,18393.0,,121857.0,8944.0,,0.0,,,0.0,292648.0,292648.0,3954.57,,,61916.0,,,,,,,90833.0,1021.0,0.0,0.0,-1231.0,,,3954.57,0.0,506.0,0.0,0.0,,,,3306.0,94616.0,19554.0,,,2483.0,7191.0
2006-03-31,1359719.0,1102113.0,0.0,7304.0,133914.0,302473.0,,,,0.0,329524.0,,,,0.0,0.0,,,,0.0,0.0,1695.0,2009.0,,1359719.0,181788.0,77447.0,12645.0,,0.0,0.0,,0.0,,,26218.0,26218.0,,102204.0,19314.0,,0.0,,,0.0,1030195.0,1030195.0,3954.57,,,36963.0,,,,,,,85210.0,218.0,0.0,0.0,-12457.0,,,3954.57,0.0,-46870.0,0.0,0.0,,,,-37410.0,87745.0,17840.0,,,0.0,-24953.0
2006-06-30,1462860.0,1176316.0,0.0,7276.0,128628.0,391083.0,,,,0.0,417078.0,,,,0.0,0.0,,,,0.0,0.0,1695.0,2257.0,,1462860.0,262672.0,102581.0,12491.0,,0.0,0.0,,0.0,,,24506.0,24506.0,,106532.0,23368.0,,0.0,,,0.0,1045782.0,1045782.0,6449.08,,,52550.0,,,,,,,90374.0,0.0,0.0,0.0,4672.0,,,6449.08,0.0,-1540.0,0.0,0.0,,,,20646.0,93335.0,20771.0,,,0.0,15587.0
2006-09-30,1459342.0,1171454.0,0.0,6544.0,143036.0,478818.0,,,,0.0,397594.0,,,,0.0,0.0,,,,0.0,0.0,1765.0,2533.0,,1459342.0,250995.0,109714.0,13628.0,,0.0,0.0,,0.0,,,67754.0,67754.0,,52521.0,26324.0,,0.0,,,0.0,1061748.0,1061748.0,6449.08,,,76368.0,,,,,,,110389.0,630.0,0.0,0.0,3829.0,,,6449.08,0.0,-2735.0,0.0,0.0,,,,27647.0,113450.0,22388.0,,,0.0,23818.0
2006-12-31,1490366.0,1092316.0,0.0,9302.0,148773.0,498659.0,,,,0.0,410689.0,,,,0.0,68075.0,,,,0.0,0.0,2517.0,2766.0,,1490366.0,288912.0,117837.0,12916.0,,89332.0,32681.0,,0.0,,,37278.0,37278.0,,61853.0,22646.0,,0.0,,,0.0,1079677.0,1079677.0,6417.04,,,634560.0,,,,,,,125285.0,26.0,0.0,0.0,6060.0,,,6417.04,0.0,-210.0,0.0,0.0,,,,35309.0,130493.0,24201.0,,,0.0,29249.0
