,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,24706.0,6391.0,20.0,303.0,1843.0,3552.0,,284.0,13.0,376.0,0.0,0.00073413,,,,,,,,0.0,26.0,16148.0,0.0,,24706.0,8085.0,-28.0,1693.0,5566.0,3386.0,,,,,,586.0,586.0,,1192.0,10058.0,,0.0,,,,4785.0,1204.0,,,,-4624.0,0.0,0.0,,,,,5620.0,0.0,61.0,0.0,19921.0,3453.0,1308.0,,,7.0,0.0,0.0,,,,428.0,177.0,1769.0,,,,428.0
2002-03-31,26576.0,7842.0,17.0,176.0,2897.0,4263.0,,225.0,16.0,248.0,0.0,-0.00026587,,,,,,,,0.0,26.0,16541.0,0.0,,26576.0,10241.0,-137.0,2584.0,6018.0,3925.0,,,,,,498.0,498.0,,1170.0,10015.0,,0.0,,,,4652.0,2477.0,,,,-4779.0,0.0,0.0,,,,,5834.0,0.0,-183.0,0.0,21924.0,3839.0,1374.0,,,1.0,0.0,0.0,,,,-155.0,238.0,1152.0,,,,-155.0
2002-06-30,26455.0,7953.0,13.0,186.0,3391.0,3987.0,,79.0,37.0,260.0,0.0,-0.0001012,,,,,,,,0.0,26.0,16446.0,0.0,,26455.0,9800.0,-323.0,2190.0,7029.0,3907.0,,,,,,901.0,901.0,,1148.0,9991.0,,0.0,,,,4615.0,2372.0,,,,0.0,0.0,0.0,,,,,7018.0,0.0,-26.0,0.0,21840.0,4719.0,1475.0,,,-15.0,0.0,0.0,,,,-59.0,197.0,1198.0,,,,-59.0
2002-09-30,26775.0,8219.0,11.0,225.0,3456.0,4015.0,,176.0,35.0,301.0,0.0,0.00076844,,,,,,,,0.0,26.0,16581.0,0.0,,26775.0,9908.0,-1171.0,2280.0,6934.0,3282.0,,,,,,718.0,718.0,,1126.0,9938.0,,0.0,,,,5085.0,2778.0,,,,540.0,0.0,0.0,,,,,8055.0,0.0,513.0,0.0,21690.0,4495.0,1603.0,,,-608.0,0.0,0.0,,,,448.0,242.0,1402.0,,,,448.0
2002-12-31,26733.0,8467.0,10.0,109.0,3833.0,4182.0,,80.0,21.0,232.0,0.0,1.715e-05,,,,,,,,0.0,26.0,16420.0,0.0,,26733.0,9434.0,-313.0,2225.0,8649.0,3202.0,,,,,,686.0,686.0,,1104.0,10450.0,,0.0,,,,5059.0,1691.0,,,,584.0,0.0,0.0,,,,,8856.0,0.0,259.0,0.0,21674.0,5719.0,1722.0,,,52.0,0.0,0.0,,,,10.0,216.0,2169.0,,,,10.0
2003-03-31,28858.0,10333.0,68.0,142.0,4718.0,4923.0,,199.0,41.0,242.0,0.0,0.00028473,,,,,,,,0.0,26.0,16746.0,0.0,,28858.0,11506.0,-198.0,2978.0,8911.0,4381.0,,,,,,466.0,466.0,,1081.0,10560.0,,0.0,,,,5245.0,2397.0,,,,840.0,0.0,0.0,,,,,9099.0,0.0,200.0,0.0,23613.0,5973.0,1718.0,,,12.0,0.0,0.0,,,,166.0,235.0,1556.0,,,,166.0
2003-06-30,31208.0,11102.0,14.0,165.0,4680.0,5521.0,,339.0,51.0,332.0,0.0,0.00073928,,,,,,,,0.0,26.0,18444.0,0.0,,31208.0,12869.0,-364.0,3726.0,9628.0,4618.0,,,,,,347.0,347.0,,1059.0,11305.0,,0.0,,,,5628.0,2740.0,,,,1293.0,0.0,0.0,,,,,10113.0,0.0,494.0,0.0,25580.0,6473.0,1836.0,,,9.0,0.0,0.0,,,,431.0,233.0,1566.0,,,,431.0
2003-09-30,34872.0,12770.0,34.0,144.0,5283.0,6421.0,,532.0,56.0,300.0,0.0,0.00074786,,,,,,,,0.0,26.0,20454.0,0.0,,34872.0,13403.0,-47.0,3873.0,11144.0,4437.0,,,,,,1764.0,1764.0,,1038.0,12581.0,,0.0,,,,6086.0,3112.0,,,,1821.0,0.0,0.0,,,,,11638.0,0.0,500.0,0.0,28786.0,8007.0,1917.0,,,6.0,0.0,0.0,,,,436.0,335.0,1751.0,,,,436.0
2003-12-31,36693.0,12974.0,456.0,129.0,4272.0,6617.0,,449.0,517.0,534.0,0.0,-0.00013208,,,,,,,,0.0,297.0,21840.0,0.0,,36693.0,12792.0,-167.0,3503.0,10676.0,4593.0,,,,,,3957.0,3957.0,,1015.0,13185.0,,0.0,,,,5744.0,1552.0,,,,1549.0,0.0,0.0,,,,,11106.0,0.0,431.0,0.0,30949.0,7492.0,2041.0,,,1.0,0.0,0.0,,,,-77.0,341.0,2675.0,,,,-77.0
2004-03-31,38793.0,15504.0,164.0,126.0,6343.0,7573.0,,279.0,514.0,505.0,0.0,0.0005094300000000001,,,,,,,,0.0,308.0,21604.0,0.0,,38793.0,14696.0,-82.0,3484.0,11041.0,6040.0,,,,,,3848.0,3848.0,,993.0,13192.0,,0.0,,,,6064.0,1731.0,,,,1938.0,0.0,0.0,,,,,11383.0,0.0,345.0,0.0,32729.0,7956.0,2018.0,,,3.0,0.0,0.0,,,,297.0,200.0,2911.0,,,,297.0
2004-06-30,45994.0,19000.0,66.0,135.0,8548.0,8717.0,,493.0,541.0,500.0,0.0,0.00127616,,,,,,,,0.0,320.0,25261.0,0.0,,45994.0,20181.0,-223.0,6259.0,15026.0,8189.0,,,,,,3511.0,3511.0,,971.0,14501.0,,0.0,,,,6830.0,1826.0,,,,1659.0,0.0,0.0,,,,,15791.0,0.0,841.0,0.0,39164.0,10832.0,2991.0,,,76.0,0.0,0.0,,,,744.0,322.0,3566.0,,,,744.0
2004-09-30,52213.0,22314.0,38.0,143.0,10013.0,10158.0,,872.0,547.0,543.0,0.0,0.0013945099999999998,,,,,,,,0.0,1347.0,27236.0,0.0,,52213.0,24219.0,-489.0,7329.0,16821.0,10393.0,,,,,,3359.0,3359.0,,949.0,16023.0,,0.0,,,,7663.0,2127.0,,,,2564.0,0.0,0.0,,,,,17717.0,0.0,920.0,0.0,44550.0,13161.0,2428.0,,,24.0,0.0,0.0,,,,813.0,333.0,4073.0,,,,813.0
2004-12-31,55805.0,21879.0,72.0,131.0,8111.0,11433.0,,341.0,1011.0,780.0,0.0,-0.00026415,,,,,,,,0.0,1252.0,31321.0,0.0,,55805.0,26265.0,-515.0,9627.0,16004.0,10617.0,,,,,,6006.0,6006.0,,927.0,15519.0,,0.0,,,,7088.0,2124.0,,,,2058.0,0.0,0.0,,,,,16597.0,0.0,634.0,0.0,48717.0,11433.0,2887.0,,,41.0,0.0,0.0,,,,-154.0,447.0,3374.0,,,,-154.0
2005-03-31,60432.0,25350.0,37.0,137.0,10854.0,12241.0,,359.0,995.0,727.0,0.0,0.0016912499999999998,,,,,,,,0.0,1258.0,32610.0,0.0,,60432.0,29419.0,-314.0,9005.0,16622.0,12596.0,,,,,,6797.0,6797.0,,909.0,15215.0,,0.0,,,,8092.0,3445.0,,,,3120.0,0.0,0.0,,,,,17749.0,0.0,1111.0,0.0,52340.0,12177.0,2742.0,,,-16.0,0.0,0.0,,,,986.0,448.0,3824.0,,,,986.0
2005-06-30,64936.0,26212.0,8.0,118.0,11354.0,12771.0,,652.0,554.0,755.0,0.0,0.00074957,,,,,,,,0.0,1262.0,36250.0,0.0,,64936.0,32491.0,-539.0,9075.0,18897.0,14615.0,,,,,,7650.0,7650.0,,890.0,15358.0,,0.0,,,,8547.0,3794.0,,,,1720.0,0.0,0.0,,,,,19066.0,0.0,498.0,0.0,56389.0,13645.0,2982.0,,,329.0,0.0,0.0,,,,437.0,511.0,4665.0,,,,437.0
2005-09-30,69040.0,29017.0,37.0,135.0,13436.0,13755.0,,628.0,545.0,481.0,0.0,0.0015300200000000002,,,,,,,,0.0,648.0,38171.0,0.0,,69040.0,36143.0,-570.0,9115.0,20698.0,17062.0,,,,,,7719.0,7719.0,,872.0,14848.0,,0.0,,,,9458.0,3810.0,,,,2689.0,0.0,0.0,,,,,21620.0,0.0,1006.0,0.0,59582.0,15026.0,3223.0,,,84.0,0.0,0.0,,,,892.0,620.0,5794.0,,,,892.0
2005-12-31,68216.0,27553.0,206.0,151.0,10290.0,13715.0,,2042.0,503.0,646.0,0.0,-0.0006518,,,,,,,,0.0,569.0,38898.0,0.0,,68216.0,36454.0,-349.0,8109.0,17633.0,18436.0,,,,,,7799.0,7799.0,,854.0,14517.0,,0.0,,,,8592.0,5102.0,,,,1881.0,0.0,0.0,,,,,18056.0,0.0,448.0,0.0,59624.0,12761.0,3050.0,,,25.0,0.0,0.0,,,,-380.0,662.0,4101.0,,,,-380.0
2006-03-31,68178.0,27185.0,275.0,160.0,11583.0,12266.0,,2006.0,509.0,386.0,0.0,-0.00025729,,,,,,,,0.0,558.0,39053.0,0.0,,68178.0,37485.0,-536.0,7068.0,21321.0,19376.0,,,,,,7233.0,7233.0,,835.0,14165.0,,0.0,,,,8460.0,5455.0,,,,1807.0,0.0,0.0,,,,,21159.0,0.0,-150.0,0.0,59718.0,15713.0,2948.0,,,12.0,0.0,0.0,,,,-150.0,634.0,4761.0,,,,-150.0
2006-06-30,71045.0,29284.0,151.0,114.0,13259.0,12897.0,,1675.0,541.0,647.0,0.0,0.00100858,,,,,,,,0.0,561.0,39733.0,0.0,,71045.0,41401.0,-920.0,8342.0,23307.0,19485.0,,,,,,6470.0,6470.0,,799.0,13290.0,,0.0,,,,9085.0,7151.0,,,,2472.0,0.0,0.0,,,,,23874.0,0.0,652.0,0.0,61960.0,16644.0,3385.0,,,85.0,0.0,0.0,,,,588.0,575.0,6053.0,,,,588.0
2006-09-30,72725.0,29626.0,149.0,127.0,13783.0,12136.0,,1712.0,528.0,1191.0,0.0,0.0007427099999999999,,,,,,,,0.0,26.0,41250.0,0.0,,72725.0,42296.0,-308.0,8560.0,23450.0,22846.0,,,,,,7095.0,7095.0,,799.0,13017.0,,0.0,,,,9518.0,4520.0,,,,1342.0,0.0,0.0,,,,,23930.0,0.0,501.0,0.0,63207.0,17221.0,3142.0,,,21.0,0.0,0.0,,,,433.0,820.0,5923.0,,,,433.0
2006-12-31,70878.0,27941.0,146.0,131.0,11197.0,13222.0,,1584.0,98.0,1320.0,276.0,0.00048198999999999996,,,,,,,,0.0,549.0,40458.0,192.0,,70878.0,41951.0,-15.0,7586.0,18667.0,23016.0,,,,,,5866.0,5866.0,,780.0,12792.0,,0.0,,,,9489.0,3559.0,,,,1371.0,0.0,192.0,,,,,19534.0,0.0,894.0,0.0,61389.0,13192.0,2867.0,,,27.0,0.0,0.0,,,,281.0,781.0,4278.0,,,,281.0
2007-03-31,72975.0,29412.0,152.0,146.0,12815.0,13448.0,,1441.0,103.0,1146.0,0.0,0.00106861,,,,,,,,0.0,26.0,40573.0,0.0,,72975.0,44709.0,-227.0,8947.0,22672.0,22592.0,,,,,,5200.0,5200.0,,771.0,12173.0,,0.0,,,,10122.0,7152.0,,,,2032.0,0.0,0.0,,,,,23699.0,0.0,925.0,0.0,62853.0,17490.0,2840.0,,,-102.0,0.0,0.0,,,,623.0,2205.0,5194.0,,,,623.0
2007-06-30,74999.0,31198.0,149.0,145.0,15227.0,13217.0,,1244.0,129.0,1072.0,0.0,0.00232762,,,,,,,,0.0,108.0,40788.0,0.0,,74999.0,45507.0,-390.0,9982.0,25646.0,22993.0,,,,,,5808.0,5808.0,,756.0,11435.0,,0.0,,,,11493.0,5622.0,,,,2379.0,0.0,0.0,,,,,27717.0,0.0,2053.0,0.0,63506.0,19562.0,3356.0,,,-18.0,0.0,0.0,,,,1357.0,2056.0,6324.0,,,,1357.0
2007-09-30,76264.0,32064.0,891.0,147.0,15061.0,13865.0,,462.0,319.0,1319.0,0.0,0.0014717,,,,,,,,0.0,108.0,41901.0,0.0,,76264.0,43334.0,-942.0,9691.0,27902.0,22430.0,,,,,,9014.0,9014.0,,738.0,10808.0,,0.0,,,,12370.0,2974.0,,,,3314.0,0.0,0.0,,,,,29136.0,0.0,1317.0,0.0,63894.0,21222.0,3674.0,,,83.0,0.0,0.0,,,,858.0,1300.0,7716.0,,,,858.0
2007-12-31,85990.0,38890.0,632.0,134.0,16800.0,17153.0,,2583.0,380.0,1208.0,199.0,0.00095197,,,,,,,,0.0,533.0,44443.0,173.0,,85990.0,44951.0,-603.0,11819.0,25657.0,23918.0,,,,,,16748.0,16748.0,,719.0,11515.0,,0.0,,,,12057.0,2028.0,,,,3059.0,0.0,173.0,,,,,26470.0,0.0,848.0,0.0,73933.0,19437.0,3957.0,,,35.0,0.0,0.0,,,,555.0,801.0,5540.0,,,,555.0
2008-03-31,92444.0,42575.0,367.0,93.0,19504.0,17755.0,,2584.0,374.0,1898.0,180.0,0.00123328,,,,,,,,0.0,517.0,0.0,194.0,,92443.0,52045.0,-652.0,11730.0,28326.0,29292.0,,,,,,15856.0,15856.0,,701.0,11047.0,,0.0,,,,12794.0,2288.0,,,,3854.0,0.0,194.0,,,,,29368.0,1129.0,1107.0,0.0,79649.0,21997.0,3475.0,,,65.0,0.0,0.0,,,,719.0,1051.0,6445.0,,,,719.0
2008-06-30,103721.0,45456.0,560.0,102.0,21938.0,18116.0,,2821.0,411.0,1500.0,160.0,0.00097942,,,,,,,,0.0,501.0,0.0,177.0,,103718.0,59808.0,-999.0,15375.0,29723.0,29881.0,,,,,,19729.0,19729.0,,684.0,10115.0,,0.0,,,,13382.0,3274.0,,,,1912.0,0.0,177.0,,,,,30599.0,1221.0,930.0,0.0,90336.0,23820.0,4104.0,,,54.0,0.0,0.0,,,,571.0,1205.0,9354.0,,,,571.0
2008-09-30,114149.0,49635.0,750.0,65.0,23617.0,18014.0,,4232.0,479.0,1955.0,141.0,-0.00104803,,,,,,,,0.0,505.0,61174.0,159.0,,114149.0,64177.0,-1188.0,13014.0,33132.0,36616.0,,,,,,27076.0,27076.0,,671.0,9441.0,,0.0,,,,12784.0,2819.0,,,,1377.0,0.0,159.0,,,,,32299.0,1249.0,-946.0,0.0,101365.0,22955.0,4450.0,,,-113.0,0.0,0.0,,,,-611.0,1439.0,9891.0,,,,-611.0
2008-12-31,123162.0,44780.0,1181.0,70.0,16339.0,19355.0,,3953.0,463.0,1622.0,122.0,-0.03134991,,,,,,,,0.0,301.0,0.0,364.0,,123162.0,70459.0,-1802.0,13019.0,51026.0,43129.0,,,,,,47428.0,47428.0,,671.0,10203.0,,0.0,,,,-5599.0,5034.0,,,,-16930.0,0.0,364.0,,,,,23453.0,1672.0,-27558.0,0.0,128761.0,18703.0,3853.0,,,15.0,0.0,0.0,,,,-18277.0,1488.0,7637.0,,,,-18277.0
2009-03-31,116783.0,38871.0,442.0,65.0,14694.0,16129.0,,2657.0,929.0,1756.0,102.0,-0.01189194,,,,,,,,0.0,301.0,65935.0,336.0,,116783.0,67378.0,-1031.0,9676.0,26453.0,42420.0,,,,,,51120.0,51120.0,,628.0,10264.0,,0.0,,,,-12607.0,5372.0,,,,-23905.0,0.0,336.0,,,,,19548.0,905.0,-6905.0,0.0,129390.0,17335.0,3258.0,,,0.0,0.0,0.0,,,,-6933.0,1298.0,6274.0,,,,-6933.0
2009-06-30,111609.0,34659.0,556.0,71.0,15505.0,12765.0,,1325.0,1027.0,1812.0,83.0,-0.00931732,,,,,,,,0.0,287.0,65182.0,308.0,,111609.0,65431.0,-1381.0,8152.0,25726.0,37097.0,,,,,,53812.0,53812.0,,610.0,9525.0,,0.0,,,,-17769.0,7115.0,,,,-29009.0,0.0,308.0,,,,,20322.0,1757.0,-5404.0,0.0,129378.0,17134.0,3747.0,,,0.0,0.0,0.0,,,,-5432.0,1217.0,9193.0,,,,-5432.0
2009-09-30,109401.0,33810.0,759.0,75.0,16853.0,10928.0,,1386.0,735.0,1729.0,64.0,-0.0031732400000000003,,,,,,,,0.0,272.0,63803.0,281.0,,109401.0,60600.0,-914.0,8358.0,25364.0,28418.0,,,,,,59111.0,59111.0,,824.0,8824.0,,0.0,,,,-19958.0,8843.0,,,,-31141.0,0.0,281.0,,,,,23542.0,1405.0,-1822.0,0.0,129359.0,16909.0,3224.0,,,0.0,0.0,0.0,,,,-1850.0,1363.0,8814.0,,,,-1850.0
2009-12-31,115173.0,37524.0,958.0,0.0,21957.0,12153.0,0.0,0.0,0.0,2456.0,13469.0,0.0,0.0,13469.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,62950.0,257.0,865.0,115173.0,68013.0,0.0,10837.0,3756.0,40379.0,0.0,27.0,10326.0,2688.0,0.0,62904.0,48433.0,0.0,14471.0,0.0,0.0,0.0,0.0,0.0,0.0,-15744.0,9214.0,0.0,1912.0,49.0,-26919.0,0.0,0.0,0.0,0.0,30549.0,-7159.0,23390.0,-15253.0,8137.0,-2278.0,-1752.0,0.0,0.0,0.0,0.0,-6139.0,1970.0,-8109.0,42.0,42.0,0.0,-1990.0,0.0,6136.0,0.0,0.0,0.0,4146.0
2010-03-31,193388.992,44340.0,1249.0,0.0,25759.0,14407.0,0.0,0.0,0.0,2925.0,13242.0,0.0,0.0,13242.0,0.0,0.0,0.0,0.0,0.0,0.0,12186.0,122524.0,297.0,800.0,193388.992,72986.0,0.0,16061.0,6634.0,36014.0,0.0,27.0,10798.0,3452.0,0.0,89367.0,51725.0,0.0,37642.0,0.0,0.0,0.0,0.0,0.0,0.0,31036.0,9214.0,0.0,1854.0,49.0,-18509.0,38428.0,0.0,0.0,0.0,35920.0,-9107.0,26813.0,-19493.0,7320.0,-2321.0,-1507.0,0.0,0.0,0.0,0.0,-4977.0,657.0,-5634.0,0.0,0.0,0.0,-1485.0,0.0,-35.0,0.0,0.0,0.0,-1520.0
2010-06-30,198340.992,49778.0,233.0,0.0,30962.0,16232.0,0.0,0.0,0.0,2351.0,13133.0,0.0,0.0,13133.0,0.0,0.0,0.0,0.0,0.0,0.0,12186.0,122228.0,1016.0,0.0,198340.992,79375.0,0.0,15100.0,8619.0,39860.0,0.0,27.0,11539.0,4230.0,0.0,87841.0,51623.0,0.0,36218.0,0.0,0.0,0.0,0.0,0.0,0.0,31125.0,9214.0,0.0,1797.0,49.0,-18007.0,38072.0,0.0,0.0,0.0,40438.0,-9245.0,31193.0,-24126.0,7067.0,-2536.0,-1012.0,0.0,0.0,0.0,0.0,-3597.0,2425.0,-6022.0,0.0,0.0,0.0,-78.0,0.0,-34.0,0.0,0.0,0.0,-112.0
2010-09-30,200012.0,51708.0,1058.0,0.0,29662.0,18435.0,0.0,0.0,0.0,2553.0,12986.0,0.0,0.0,12986.0,0.0,0.0,0.0,0.0,0.0,0.0,12208.0,122168.0,942.0,0.0,200012.0,83305.0,0.0,14010.0,10562.0,43002.0,0.0,27.0,10452.0,5252.0,0.0,85460.0,50519.0,0.0,34941.0,0.0,0.0,0.0,0.0,0.0,0.0,31247.0,9214.0,0.0,1742.0,49.0,-17482.0,37724.0,0.0,0.0,0.0,41689.0,-9931.0,31758.0,-23886.0,7872.0,-2670.0,61.0,0.0,0.0,0.0,0.0,-5300.0,459.0,-5759.0,0.0,0.0,0.0,-37.0,0.0,-35.0,0.0,0.0,0.0,-72.0
2010-12-31,197842.0,50020.0,251.0,0.0,22931.0,19801.0,0.0,4212.0,80.0,2745.0,12876.0,0.0,0.0,0.0,0.0,0.0,12015.0,0.0,0.0,861.0,12208.0,121868.0,264.0,0.0,197842.0,81782.0,18063.0,12740.0,6889.0,42566.0,0.0,27.0,1497.0,0.0,0.0,87649.0,53691.0,0.0,10282.0,23676.0,0.0,0.0,0.0,0.0,0.0,28411.0,9214.0,0.0,1689.0,49.0,-19920.0,37379.0,0.0,0.0,0.0,0.0,0.0,29561.0,-23443.0,6118.0,-2748.0,-4593.0,0.0,3832.0,-423.0,0.0,-5181.0,1218.0,-6399.0,0.0,0.0,0.0,-2995.0,0.0,-35.0,0.0,0.0,0.0,-3030.0
2011-03-31,201996.992,54469.0,1559.0,0.0,25787.0,20463.0,0.0,4131.0,55.0,2474.0,12763.0,0.0,0.0,0.0,0.0,0.0,12015.0,0.0,0.0,748.0,12208.0,121754.0,262.0,0.0,201996.992,88038.0,14179.0,14273.0,8748.0,48955.0,0.0,27.0,1856.0,0.0,0.0,88809.0,48445.0,0.0,16849.0,23515.0,0.0,0.0,0.0,0.0,0.0,25150.0,9214.0,0.0,1636.0,49.0,-22786.0,37037.0,0.0,0.0,0.0,0.0,0.0,33339.0,-25457.0,7882.0,-2695.0,-2042.0,0.0,105.0,0.0,0.0,-6672.0,787.0,-7459.0,0.0,0.0,0.0,-3422.0,0.0,-32.0,0.0,0.0,0.0,-3454.0
2011-06-30,205550.0,58060.0,1136.0,0.0,27617.0,22383.0,0.0,4009.0,204.0,2711.0,12648.0,0.0,0.0,0.0,0.0,0.0,12015.0,0.0,0.0,633.0,12208.0,121905.0,254.0,0.0,205550.0,96231.0,16426.0,17337.0,10639.0,49821.0,0.0,27.0,1981.0,0.0,0.0,83878.0,45299.0,0.0,15220.0,23359.0,0.0,0.0,0.0,0.0,0.0,25441.0,9214.0,0.0,1584.0,49.0,-22102.0,36696.0,0.0,0.0,0.0,0.0,0.0,36332.0,-27744.0,8588.0,-3195.0,-1947.0,0.0,1009.0,0.0,0.0,-4320.0,1628.0,-5948.0,0.0,0.0,0.0,135.0,0.0,-36.0,0.0,0.0,0.0,99.0
2011-09-30,206080.992,59291.0,2428.0,0.0,27728.0,21925.0,0.0,3996.0,87.0,3127.0,12508.0,0.0,0.0,0.0,0.0,0.0,12015.0,0.0,0.0,493.0,12208.0,121416.0,248.0,0.0,206080.992,97732.0,20533.0,17742.0,9583.0,47987.0,0.0,27.0,1860.0,0.0,0.0,81713.0,42099.0,0.0,16424.0,23190.0,0.0,0.0,0.0,0.0,0.0,26636.0,9214.0,0.0,1532.0,49.0,-20492.0,36333.0,0.0,0.0,0.0,0.0,0.0,39520.0,-28889.0,10631.0,-3139.0,-1929.0,0.0,467.0,-193.0,0.0,-4811.0,1978.0,-6789.0,0.0,0.0,0.0,1026.0,0.0,504.0,0.0,0.0,0.0,1530.0
