,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-12-31,15192145000.0,1524518000.0,232708000.0,,996379000.0,32776000.0,,9106000.0,,55695000.0,0.0,,,,163080000.0,,,,,0.0,0.0,13066257000.0,280106000.0,,15192145000.0,789502000.0,0.0,56442000.0,81842000.0,381653000.0,0.0,219505000.0,0.0,4864785000.0,,5616056000.0,5616056000.0,,0.0,309093000.0,,0.0,,,,8268473000.0,740000.0,,,0.0,0.0,0.0,,,
2001-03-31,15250746000.0,1583849000.0,310853000.0,,945224000.0,32791000.0,,9638000.0,,39994000.0,0.0,,,,159341000.0,,,,,0.0,0.0,13057294000.0,278963000.0,,15250746000.0,875323000.0,0.0,34621000.0,145577000.0,493290000.0,1321662000.0,216385000.0,-3288938000.0,4841372000.0,,5645162000.0,5645162000.0,,0.0,285916000.0,,0.0,,,,8245060000.0,740000.0,,,0.0,0.0,0.0,,,
2001-06-30,15623097000.0,1893696000.0,622060000.0,,921285000.0,30619000.0,,17517000.0,,42146000.0,0.0,,,,162397000.0,,,,,0.0,0.0,13084773000.0,277923000.0,,15623097000.0,933268000.0,0.0,31619000.0,141082000.0,541262000.0,1322018000.0,247017000.0,-3392288000.0,4804877000.0,,6014328000.0,6014328000.0,,0.0,277781000.0,,0.0,,,,8208565000.0,740000.0,,,0.0,0.0,0.0,,,
2001-09-30,15836701000.0,2003848000.0,630314000.0,,965720000.0,26463000.0,,51579000.0,,33772000.0,0.0,,,,162729000.0,,,,,0.0,0.0,13122696000.0,278483000.0,,15836701000.0,1058122000.0,0.0,39672000.0,173482000.0,588801000.0,1322021000.0,323828000.0,-3509970000.0,4563972000.0,,6372983000.0,6372983000.0,,0.0,267462000.0,,0.0,,,,7967660000.0,740000.0,,,0.0,0.0,0.0,,,
2001-12-31,15870452000.0,1323649000.0,412788000.0,,811736000.0,21887000.0,,0.0,,641785000.0,649057000.0,,,,163973000.0,,,,,0.0,0.0,13509950000.0,0.0,,15870452000.0,1518559000.0,0.0,81023000.0,75591000.0,549322000.0,0.0,166240000.0,0.0,4593002000.0,,5873197000.0,5873197000.0,,0.0,0.0,,0.0,,,,7996690000.0,740000.0,,,0.0,0.0,0.0,,,
2002-03-31,15852369000.0,1325954000.0,333282000.0,,869705000.0,19181000.0,,49878000.0,,25328000.0,625238000.0,,,,162771000.0,,,,,0.0,0.0,13222153000.0,278121000.0,,15852369000.0,1392327000.0,0.0,40776000.0,162336000.0,413715000.0,1358473000.0,797902000.0,-3707525000.0,4596536000.0,,5859023000.0,5859023000.0,,0.0,250101000.0,,0.0,,,,8000224000.0,740000.0,,,0.0,0.0,0.0,,,
2002-06-30,16475461000.0,1838421000.0,761520000.0,,903996000.0,18360000.0,,71701000.0,,38829000.0,607374000.0,,,,161549000.0,,,,,0.0,0.0,13217925000.0,277872000.0,,16475461000.0,1528887000.0,0.0,41114000.0,139394000.0,522279000.0,1358735000.0,847033000.0,-3828366000.0,4267802000.0,,6748154000.0,6748154000.0,,0.0,245212000.0,,0.0,,,,7671490000.0,740000.0,,,0.0,0.0,0.0,,,
2002-09-30,16640385000.0,1637299000.0,544259000.0,,874138000.0,19255000.0,,93313000.0,,47306000.0,607374000.0,,,,165685000.0,,,,,0.0,0.0,13264944000.0,276649000.0,,16640385000.0,2185046000.0,0.0,26213000.0,150151000.0,1394006000.0,1359169000.0,635230000.0,-3943154000.0,3605110000.0,,6895927000.0,6895927000.0,,0.0,229815000.0,,0.0,,,,7008798000.0,740000.0,,,0.0,0.0,0.0,,,
2002-12-31,16348651000.0,1608900000.0,414671000.0,,911235000.0,22642000.0,,0.0,,450530000.0,607374000.0,,,,181636000.0,,,,,0.0,0.0,13670781000.0,0.0,,16348651000.0,2085466000.0,0.0,36611000.0,159282000.0,1332469000.0,0.0,179935000.0,0.0,3842788000.0,,6545187000.0,6545187000.0,,0.0,0.0,,0.0,,,,7246476000.0,740000.0,,,0.0,0.0,0.0,,,
2003-03-31,16379646000.0,1716171000.0,486306000.0,,987043000.0,18282000.0,,0.0,,284696000.0,607374000.0,,,,183426000.0,,,,,0.0,0.0,13554071000.0,0.0,,16379646000.0,2073706000.0,0.0,24352000.0,128378000.0,1288389000.0,0.0,298434000.0,0.0,3975043000.0,,6397212000.0,6397212000.0,,0.0,0.0,,0.0,,,,7378731000.0,740000.0,,,0.0,0.0,0.0,,,
