,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2003-06-30,781018.0,564126.0,365.0,535861.0,9751.0,,,,,,7792.0,,,,0.0,,,,,0.0,14.0,208961.0,0.0,,781018.0,41664.0,,,2941.0,38612.0,,0.0,0.0,0.0,,74292.0,74292.0,,0.0,0.0,,0.0,,,0.0,629172.0,629172.0,43844.91,,270794.0,,,,,,,,12443.0,0.0,-53644.0,0.0,0.0,,18668.7,,0.0,33906.0,55.0,0.0,,,,-57849.0,4517.0,13632.0,,,0.0,-57849.0
2003-09-30,783274.0,568144.0,413.0,539691.0,9635.0,,,,,,6469.0,,,,0.0,,,,,0.0,15.0,208507.0,0.0,,783274.0,40536.0,,,2061.0,34316.0,,0.0,0.0,0.0,,60558.0,60558.0,,0.0,0.0,,0.0,,,0.0,645214.0,645214.0,43844.91,,286836.0,,,,,,,,11756.0,0.0,19006.0,0.0,0.0,,18668.7,,0.0,34401.0,69.0,0.0,,,,16057.0,5525.0,12880.0,,,0.0,16057.0
2003-12-31,818934.0,588464.0,324.0,563414.0,6667.0,,,,,,6702.0,,,,0.0,,,,,0.0,15.0,223601.0,0.0,,818934.0,53586.0,,,2262.0,41322.0,,8138.0,0.0,0.0,,73992.0,73992.0,,3922.0,0.0,,0.0,,,0.0,648293.0,648293.0,43844.91,,289915.0,,,,,,,,15814.0,0.0,16004.0,0.0,0.0,,18668.7,,0.0,40843.0,83.0,0.0,,,,9502.0,3085.0,14974.0,,,0.0,9502.0
2004-03-31,833673.0,616265.0,314.0,581379.0,10261.0,,,,,,3416.0,,,,0.0,,,,,0.0,14.0,213814.0,0.0,,833673.0,53228.0,,,2676.0,43386.0,,6013.0,0.0,0.0,,72854.0,72854.0,,0.0,0.0,,0.0,,,0.0,662702.0,662702.0,43844.91,,304324.0,,,,,,,,12736.0,0.0,17249.0,0.0,0.0,,18668.7,,0.0,42957.0,95.0,0.0,,,,14407.0,3365.0,20946.0,,,0.0,14407.0
2004-06-30,878681.0,660957.0,636.0,621563.0,10250.0,,,,,,10464.0,,,,0.0,,,,,0.0,14.0,207087.0,0.0,,878681.0,52204.0,,,3318.0,44482.0,,230.0,0.0,0.0,,69007.0,69007.0,,0.0,0.0,,0.0,,,0.0,714024.0,714024.0,43844.91,,355646.0,,,,,,,,20107.0,0.0,55649.0,0.0,0.0,,18668.7,,0.0,43446.0,90.0,0.0,,,,51322.0,4640.0,23868.0,,,0.0,51322.0
2004-09-30,806615.0,589312.0,402.0,553970.0,10453.0,,,,,,7550.0,,,,0.0,,,,,0.0,14.0,209585.0,0.0,,806615.0,36489.0,,,1962.0,28812.0,,221.0,0.0,0.0,,67497.0,67497.0,,0.0,0.0,,0.0,,,0.0,661014.0,661014.0,43844.91,,302636.0,,,,,,,,11182.0,0.0,-55227.0,0.0,0.0,,18668.7,,0.0,41615.0,85.0,0.0,,,,-53010.0,4446.0,20041.0,,,0.0,-53010.0
2004-12-31,852318.0,570349.0,519.0,533667.0,11912.0,,,,,,6744.0,,,,0.0,,,,,0.0,13.0,274207.0,0.0,,852318.0,66603.0,,,2271.0,52721.0,,2877.0,0.0,0.0,,101530.0,101530.0,,0.0,0.0,,0.0,,,0.0,639820.0,639820.0,43844.91,,281442.0,,,,,,,,14717.0,0.0,-16447.0,0.0,0.0,,18668.69,,0.0,44365.0,82.0,0.0,,,,-21192.0,4589.0,19662.0,,,0.0,-21192.0
2005-03-31,862657.0,581548.0,720.0,551838.0,12297.0,,,,,,5243.0,,,,0.0,,,,,0.0,13.0,274853.0,0.0,,862657.0,68152.0,,,2788.0,57952.0,,0.0,0.0,0.0,,93554.0,93554.0,,0.0,0.0,,0.0,,,0.0,653620.0,653620.0,43844.91,,295242.0,,,,,,,,14666.0,0.0,17984.0,0.0,0.0,,18668.69,,0.0,44754.0,76.0,0.0,,,,13799.0,1946.0,14707.0,,,0.0,13799.0
2005-06-30,801317.0,522196.0,3435.0,482835.0,13130.0,,,,,,4572.0,,,,0.0,,,,,0.0,12.0,273543.0,0.0,,801317.0,62451.0,,,4196.0,46930.0,,0.0,0.0,0.0,,101517.0,101517.0,,0.0,0.0,,0.0,,,0.0,588491.0,588491.0,43519.41,,232958.0,,,,,,,,14707.0,0.0,-60694.0,0.0,0.0,,18381.79,,0.0,45651.0,70.0,0.0,,,,-62284.0,9988.0,12808.0,,,0.0,-62284.0
2005-09-30,796488.0,504214.0,1291.0,485722.0,0.0,,,,,,4572.0,,,,0.0,,,,,0.0,13.0,271917.0,0.0,,796488.0,37513.0,,,2402.0,30113.0,,0.0,0.0,0.0,,115976.0,115976.0,,0.0,0.0,,0.0,,,0.0,588308.0,588308.0,43504.36,,232902.0,,,,,,,,15607.0,0.0,6497.0,0.0,0.0,,18622.34,,0.0,54691.0,14848.0,0.0,,,,-56.0,7013.0,10188.0,,,0.0,-56.0
