,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-03-31,447098.0,216135.0,25752.0,0.0,21887.0,-810.0,6001.0,18539.0,0.0,0.0,1026.0,,,2092.0,,,,28474.0,27657.0,,0.0,170007.0,499.0,,447098.0,136266.0,135000.0,3916.0,4526.0,6289.0,0.0,,0.0,0.0,,60495.0,60495.0,,0.0,24352.0,,,,,27205.0,197705.0,3.744e-05,0.0,,4764.0,6289.0,,,224910.0,,,,3376.0,27205.0,7512.0,1400.0,0.0,,3376.0,0.0,,1849.0,3.744e-05,107638.0,,,,11110.0,6702.0,50719.0,,,-810.0,6702.0
2007-06-30,767410.0,484487.0,306848.0,0.0,8138.0,-1044.0,16631.0,20750.0,0.0,0.0,6744.0,,,2107.0,,,,41418.0,26679.0,,0.0,203775.0,450.0,,767409.0,143743.0,179000.0,6012.0,5032.0,3926.0,0.0,,0.0,0.0,,63105.0,63105.0,,0.0,30181.0,,,,,28139.0,496343.0,-5.23e-05,0.0,,4821.0,3926.0,,,524482.0,,,,1900.0,28139.0,-8317.0,1627.0,0.0,,1900.0,0.0,,2821.0,2.1649999999999998e-05,111600.0,,,,-13985.0,243087.0,68183.0,,,-1044.0,-9361.0
2007-09-30,802322.0,455054.0,200491.0,0.0,16979.0,1475.0,47605.0,21883.0,0.0,0.0,6732.0,,,282.0,,,,42346.0,41702.0,,0.0,253675.0,483.0,,802323.0,156547.0,179000.0,15686.0,6403.0,14390.0,0.0,,0.0,0.0,,75472.0,75472.0,,0.0,32852.0,,,,,5519.0,507012.0,5.564e-05,0.0,,13490.0,14390.0,,,512531.0,,,,2064.0,5519.0,8484.0,2722.0,0.0,,2064.0,0.0,,3468.0,6.038e-05,87128.0,,,,12925.0,253756.0,49551.0,,,1475.0,9959.0
2007-12-31,876769.0,466387.0,140063.0,0.0,13240.0,379.0,563.0,23548.0,0.0,0.0,905.0,,,2485.0,,,,37398.0,5720.0,,0.0,354931.0,6314.0,,876768.0,217300.0,179000.0,5444.0,7292.0,9565.0,0.0,,0.0,0.0,,58485.0,58485.0,,0.0,36203.0,,,,,0.0,537254.0,0.00019842999999999998,0.0,,16451.0,9565.0,,,537254.0,,,,2030.0,0.0,35140.0,12766.0,185208.0,,2030.0,0.0,,515.0,0.00011452,126723.0,,,,50673.0,283999.0,39528.0,,,379.0,35519.0
2008-03-31,888395.0,457362.0,178028.0,0.0,15640.0,0.0,8725.0,21517.0,1527.0,0.0,8120.0,,,182.0,,,,31088.0,57800.0,,0.0,317293.0,778.0,,888395.0,211586.0,179000.0,5897.0,4904.0,29616.0,0.0,,0.0,0.0,,57342.0,57342.0,,0.0,39653.0,,,,,0.0,552343.0,0.00015719,0.0,,7608.0,29616.0,,,552343.0,,,,3395.0,0.0,31092.0,-27097.0,191737.0,,3395.0,0.0,,3349.0,0.00015719,134395.0,,,,45234.0,299087.0,34423.0,,,0.0,31092.0
2008-06-30,1103793.0,522835.0,143228.0,0.0,5000.0,0.0,65967.0,27208.0,3103.0,0.0,7778.0,,,182.0,,,,33413.0,60219.0,,0.0,461789.0,795.0,,1103793.0,320756.0,197795.0,8412.0,3805.0,44025.0,0.0,,0.0,0.0,,84061.0,84061.0,,0.0,43924.0,,,,,0.0,553198.0,2.8539999999999998e-05,0.0,,8143.0,44025.0,,,553198.0,,,,-476.0,0.0,5646.0,-17779.0,254380.0,,-476.0,0.0,,3909.0,2.8539999999999998e-05,170319.0,,,,6875.0,299942.0,76642.0,,,0.0,5646.0
2008-09-30,1439254.0,773672.0,250936.0,0.0,25771.0,0.0,50869.0,36233.0,2510.0,0.0,7126.0,,,191.0,,,,41360.0,72141.0,,0.0,525944.0,867.0,,1439254.0,305607.0,197795.0,44509.0,6631.0,50614.0,0.0,,0.0,0.0,,148873.0,148873.0,,0.0,54142.0,,,,,0.0,830851.0,0.00014024,0.0,,14973.0,50614.0,,,830851.0,,,,1690.0,0.0,27739.0,-43239.0,292492.0,,1690.0,0.0,,4843.0,0.00014024,143619.0,,,,28963.0,273417.0,74912.0,,,0.0,27739.0
2008-12-31,1541853.0,783083.0,222407.0,0.0,11975.0,0.0,32995.0,38244.0,2131.0,0.0,7265.0,,,229.0,,,,56541.0,5890.0,,0.0,661340.0,8539.0,,1541854.0,432063.0,195423.8,10535.0,4751.0,37220.0,0.0,,0.0,0.0,,211898.0,211898.0,,0.0,59220.0,,,,,0.0,716339.0,-0.0001055,0.0,,21520.0,37220.0,,,716339.0,,,,-612.0,0.0,-19866.0,-11889.0,392688.0,,-612.0,0.0,,0.0,-0.0001055,180790.0,,,,-20620.0,172799.0,167231.0,,,0.0,-19866.0
2009-03-31,1610571.0,857655.0,289446.0,0.0,33816.0,0.0,14186.0,40143.0,1883.0,0.0,5528.0,,,266.0,,,,38563.0,5827.0,,0.0,669684.0,8962.0,,1610571.0,445166.0,195175.0,10449.0,8827.0,27022.0,0.0,,0.0,0.0,,299196.0,299196.0,,0.0,56446.0,,,,,0.0,764967.0,0.00022728,0.0,,15187.0,27022.0,,,764967.0,,,,4482.0,0.0,44363.0,-30792.0,444258.0,,4482.0,438.0,,5070.0,0.00022728,225868.0,,,,65681.0,280604.0,138841.0,,,0.0,44363.0
2009-06-30,1648341.0,880140.0,317562.0,0.0,30534.0,0.0,57848.0,39072.0,0.0,0.0,4234.0,,,1641.0,,,,35945.0,8130.0,,0.0,689005.0,10055.0,,1648341.0,461846.0,195187.0,24694.0,5131.0,37965.0,0.0,,0.0,0.0,,295496.0,295496.0,,0.0,60591.0,,,,,0.0,806141.0,-0.00012492,0.0,,12520.0,37965.0,,,806141.0,,,,1788.0,0.0,-24382.0,-66275.0,509712.0,,1788.0,470.0,,5702.0,-0.00012492,281359.0,,,,-39067.0,275799.0,159655.0,,,0.0,-24382.0
