,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2008-03-31,206792000.0,48120000.0,366000.0,,23955000.0,15621000.0,,26152000.0,502000.0,4097000.0,1520000.0,,,,0.0,,,-86263000.0,,,1365000.0,125346000.0,0.0,,206792000.0,64354000.0,13426000.0,13489000.0,23501000.0,94356000.0,,,1695000.0,10068000.0,,27317000.0,14271000.0,0.0,293055000.0,0.0,,,,,0.0,-86263000.0,0.0,0.0,-140888000.0,,-132680000.0,,,,
2008-06-30,212505000.0,55501000.0,980000.0,,29435000.0,16521000.0,,27051000.0,411000.0,5247000.0,1747000.0,,,,0.0,,,-97934000.0,,,1367000.0,122784000.0,0.0,,212505000.0,73770000.0,14511000.0,17476000.0,29043000.0,94048000.0,,,1398000.0,10166000.0,,28674000.0,12349000.0,0.0,310439000.0,0.0,,,,,0.0,-97934000.0,73354000.0,0.0,-225913000.0,,-134814000.0,,,,
2008-09-30,220863000.0,65477000.0,1030000.0,,35702000.0,16803000.0,,27594000.0,475000.0,7098000.0,2989000.0,,,,0.0,,,-105544000.0,,,1392000.0,119869000.0,0.0,,220863000.0,77072000.0,15769000.0,14342000.0,35273000.0,96547000.0,,,1814000.0,10873000.0,,34853000.0,11033000.0,0.0,326407000.0,0.0,,,,,0.0,-105544000.0,71950000.0,0.0,-232119000.0,,-137511000.0,,,,
2008-12-31,203688000.0,52158000.0,2356000.0,,21430000.0,16119000.0,,28032000.0,517000.0,6692000.0,2404000.0,,,,0.0,,,-120024000.0,,,1506000.0,117077000.0,943000.0,,203688000.0,59795000.0,16828000.0,11982000.0,21209000.0,101469000.0,,,914000.0,9429000.0,,20387000.0,10019000.0,0.0,323712000.0,0.0,,,,,0.0,-120024000.0,70546000.0,0.0,-245195000.0,,-139753000.0,,,,
2009-03-31,201175000.0,52765000.0,419000.0,,22322000.0,17582000.0,,28060000.0,350000.0,7052000.0,1834000.0,,,,0.0,,,-132479000.0,,,1521000.0,114612000.0,830000.0,,201175000.0,59940000.0,17932000.0,11586000.0,21957000.0,105311000.0,,,858000.0,14544000.0,,20056000.0,8778000.0,0.0,333654000.0,0.0,,,,,0.0,-132479000.0,69174000.0,0.0,-256278000.0,,-142205000.0,,,,
2009-06-30,208145000.0,60022000.0,1303000.0,,26339000.0,19272000.0,,28158000.0,515000.0,7592000.0,1815000.0,,,,0.0,,,-142435000.0,,,1483000.0,114236000.0,840000.0,,208145000.0,67561000.0,19566000.0,11980000.0,26131000.0,106533000.0,,,1207000.0,15534000.0,,23467000.0,7832000.0,0.0,350580000.0,0.0,,,,,0.0,-142435000.0,67846000.0,0.0,-264906000.0,,-144650000.0,,,,
2009-09-30,210978000.0,64265000.0,631000.0,,27029000.0,22185000.0,,28490000.0,486000.0,8710000.0,1368000.0,,,,0.0,,,-150915000.0,,,1776000.0,112935000.0,846000.0,,210978000.0,70311000.0,20826000.0,10912000.0,26663000.0,108426000.0,,,1308000.0,16179000.0,,24428000.0,7434000.0,0.0,361893000.0,0.0,,,,,0.0,-150915000.0,66677000.0,0.0,-272217000.0,,-147535000.0,,,,
2009-09-30,210978.0,64265.0,631.0,0.0,30477.0,22185.0,0.0,0.0,0.0,10972.0,4442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4442.0,28490.0,112935.0,846.0,0.0,210978.0,70311.0,0.0,10912.0,26024.0,24428.0,0.0,0.0,4375.0,4572.0,0.0,291582.016,7434.0,3920.0,104506.0,0.0,0.0,175722.0,0.0,0.0,0.0,-150915.008,54625.0,818.0,66677.0,0.0,-273035.00800000003,0.0,0.0,0.0,0.0
2009-12-31,252858.0,114294.0,3556.0,0.0,54786.0,40662.0,0.0,0.0,0.0,15290.0,8907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8907.0,198.0,128129.0,1330.0,0.0,252858.0,90203.0,0.0,19837.0,30266.0,27997.0,0.0,0.0,7606.0,4497.0,0.0,304772.0,8341.0,1984.0,278169.984,0.0,0.0,16277.0,0.0,0.0,16712.0,-158828.992,54625.0,730.0,65253.0,0.0,-279436.99199999997,0.0,0.0,0.0,0.0
2009-12-31,252858000.0,114294000.0,3556000.0,,51776000.0,40662000.0,,198000.0,377000.0,12278000.0,2032000.0,,,,0.0,,,-142117000.0,,,2635000.0,128129000.0,1330000.0,,252858000.0,90203000.0,25238000.0,19837000.0,51209000.0,280154000.0,,,1245000.0,18066000.0,,27997000.0,8341000.0,16712000.0,411687000.0,0.0,,,,,16712000.0,-158829000.0,65253000.0,0.0,-278707000.0,,-161484000.0,,,,
