,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-09-30,49417000.0,22550000.0,7807000.0,0.0,8000.0,,,0.0,,182000.0,54000.0,0.0,235000.0,6163000.0,0.19901,,,,,0.0,,3149000.0,0.0,,49417000.0,6116000.0,810000.0,855000.0,315000.0,,,916000.0,0.0,,,0.0,,,0.0,0.0,,1828000.0,,,2000.0,41471000.0,41473000.0,,,23664000.0,13704000.0,6850000.0,,,
2001-12-31,49025000.0,22006000.0,5750000.0,0.0,319000.0,,,0.0,,0.0,54000.0,0.0,125000.0,10994000.0,0.43668,,,,,0.0,,3190000.0,0.0,,49025000.0,7230000.0,900000.0,911000.0,219000.0,,,2032000.0,0.0,,,0.0,,,0.0,227000.0,,1031000.0,,,2000.0,40535000.0,40537000.0,,,17897000.0,15271000.0,7602000.0,,,
2002-03-31,50770000.0,23861000.0,6582000.0,0.0,903000.0,,,0.0,,433000.0,54000.0,0.0,176000.0,2090000.0,0.85015,,,,,0.0,,3222000.0,0.0,,50770000.0,6907000.0,842000.0,1280000.0,228000.0,,,1820000.0,0.0,,,0.0,,,0.0,0.0,,1256000.0,,,2000.0,42605000.0,42607000.0,,,28871000.0,15465000.0,6230000.0,,,
2002-06-30,52811000.0,26133000.0,6562000.0,0.0,388000.0,,,0.0,,576000.0,54000.0,0.0,25000.0,3079000.0,0.25273,,,,,0.0,,3183000.0,0.0,,52811000.0,7477000.0,818000.0,1109000.0,203000.0,,,1820000.0,0.0,,,0.0,,,0.0,0.0,,1257000.0,,,2000.0,43573000.0,43575000.0,,,26948000.0,17964000.0,7370000.0,,,
2002-09-30,54848000.0,27431000.0,9079000.0,0.0,11000.0,,,0.0,,881000.0,277000.0,0.0,49000.0,4515000.0,0.27918000000000004,,,,,0.0,,3189000.0,0.0,,54848000.0,7558000.0,809000.0,1431000.0,248000.0,,,1274000.0,0.0,,,0.0,,,0.0,0.0,,1257000.0,,,1000.0,45211000.0,45212000.0,,,27150000.0,16139000.0,8146000.0,,,
2002-12-31,53578000.0,26971000.0,8546000.0,0.0,893000.0,,,0.0,,0.0,278000.0,0.0,-134000.0,10994000.0,-0.35976,,,,,0.0,,3438000.0,0.0,,53578000.0,8193000.0,1244000.0,2917000.0,261000.0,,,1840000.0,0.0,,,0.0,,,0.0,1556000.0,,976000.0,,,3000.0,42700000.0,42703000.0,,,18160000.0,15327000.0,7884000.0,,,
2003-03-31,53670000.0,27180000.0,6755000.0,0.0,263000.0,,,0.0,,830000.0,276000.0,0.0,19000.0,276000.0,-0.04843,,,,,0.0,,3402000.0,0.0,,53670000.0,8081000.0,981000.0,1294000.0,249000.0,,,1537000.0,0.0,,,0.0,,,0.0,0.0,,2534000.0,,,1000.0,42969000.0,42970000.0,,,29147000.0,15799000.0,6850000.0,,,
2003-06-30,53154000.0,25322000.0,5824000.0,0.0,1186000.0,,,0.0,,671000.0,277000.0,0.0,75000.0,-533000.0,-0.16848,,,,,0.0,,4811000.0,0.0,,53154000.0,8583000.0,862000.0,1026000.0,190000.0,,,1537000.0,0.0,,,0.0,,,0.0,0.0,,2445000.0,,,1000.0,42125000.0,42126000.0,,,26112000.0,15341000.0,6639000.0,,,
2003-09-30,53977000.0,26251000.0,7096000.0,0.0,1177000.0,,,0.0,,891000.0,277000.0,0.0,22000.0,-301000.0,0.09401,,,,,0.0,,4794000.0,0.0,,53977000.0,9189000.0,894000.0,1398000.0,262000.0,,,1095000.0,0.0,,,0.0,,,0.0,0.0,,2450000.0,,,2000.0,42336000.0,42338000.0,,,26091000.0,14416000.0,7303000.0,,,
2003-12-31,55402000.0,27944000.0,5830000.0,0.0,1334000.0,,,0.0,,472000.0,277000.0,0.0,41000.0,338000.0,0.92463,,,,,0.0,,4564000.0,0.0,,55402000.0,8269000.0,737000.0,2779000.0,296000.0,,,1963000.0,0.0,,,0.0,,,0.0,3174000.0,,893000.0,,,2000.0,43064000.0,43066000.0,,,26180000.0,17285000.0,7797000.0,,,
2004-03-31,57644000.0,30365000.0,8587000.0,0.0,1475000.0,,,0.0,,759000.0,277000.0,0.0,-81000.0,2476000.0,0.86969,,,,,0.0,,4434000.0,0.0,,57644000.0,8143000.0,727000.0,1526000.0,419000.0,,,1727000.0,0.0,,,0.0,,,0.0,0.0,,4319000.0,,,2000.0,45180000.0,45182000.0,,,26158000.0,16706000.0,7419000.0,,,
2004-06-30,58988000.0,32198000.0,9531000.0,0.0,1776000.0,,,0.0,,673000.0,277000.0,0.0,-13000.0,4257000.0,0.86236,,,,,0.0,,3993000.0,0.0,,58988000.0,7734000.0,281000.0,1455000.0,667000.0,,,1087000.0,0.0,,,0.0,,,0.0,0.0,,4311000.0,,,2000.0,46941000.0,46943000.0,,,26138000.0,18449000.0,8665000.0,,,
2004-09-30,63446000.0,37291000.0,11660000.0,0.0,3064000.0,,,0.0,,912000.0,277000.0,0.0,892000.0,2368000.0,-0.76876,,,,,0.0,,3424000.0,0.0,,63446000.0,14117000.0,524000.0,1666000.0,984000.0,,,143000.0,0.0,,,0.0,,,0.0,0.0,,4297000.0,,,2000.0,45030000.0,45032000.0,,,26116000.0,18861000.0,16139000.0,,,
2004-12-31,61300000.0,33481000.0,9371000.0,0.0,2726000.0,,,0.0,,510000.0,277000.0,0.0,99000.0,0.0,-0.45051,,,,,0.0,,4769000.0,0.0,,61300000.0,14764000.0,1488000.0,6645000.0,1366000.0,,,1294000.0,0.0,,,0.0,,,0.0,3140000.0,,688000.0,,,2000.0,42706000.0,42708000.0,,,26160000.0,17195000.0,12511000.0,,,
2005-03-31,63214000.0,35536000.0,9362000.0,0.0,1517000.0,,,0.0,,730000.0,277000.0,0.0,37000.0,116000.0,0.0468,,,,,0.0,,4683000.0,0.0,,63214000.0,16557000.0,1313000.0,1526000.0,1466000.0,,,1294000.0,0.0,,,0.0,,,0.0,0.0,,3829000.0,,,28000.0,42800000.0,42828000.0,,,26138000.0,18682000.0,15776000.0,,,
2005-06-30,62998000.0,36100000.0,10490000.0,0.0,1343000.0,,,0.0,,1255000.0,277000.0,0.0,35000.0,754000.0,0.25965,,,,,0.0,,4632000.0,0.0,,62998000.0,17770000.0,2044000.0,1070000.0,2167000.0,,,996000.0,0.0,,,0.0,,,0.0,0.0,,3203000.0,,,29000.0,41996000.0,42025000.0,,,24696000.0,18255000.0,15861000.0,,,
2005-09-30,73313000.0,36038000.0,9716000.0,0.0,1292000.0,,,0.0,,460000.0,277000.0,0.0,37000.0,910000.0,0.06348999999999999,,,,,0.0,,4590000.0,0.0,,73313000.0,17128000.0,1372000.0,1417000.0,1515000.0,,,137000.0,0.0,,,0.0,,,0.0,0.0,,7810000.0,,,29000.0,48346000.0,48375000.0,,,30890000.0,19936000.0,17272000.0,,,
2005-12-31,73881000.0,36620000.0,11548000.0,0.0,1252000.0,,,0.0,,66000.0,277000.0,0.0,5000.0,1357000.0,3.94473,,,,,0.0,,4511000.0,0.0,,73881000.0,16691000.0,1163000.0,842000.0,1994000.0,,,2262000.0,0.0,,,0.0,,,0.0,5516000.0,,2343000.0,,,28000.0,49303000.0,49331000.0,,,31400000.0,19193000.0,16774000.0,,,
2006-03-31,73098000.0,35790000.0,10977000.0,0.0,1197000.0,,,0.0,,343000.0,2822000.0,0.0,1616000.0,1392000.0,0.01384,,,,,0.0,,2091000.0,0.0,,73098000.0,17512000.0,1304000.0,837000.0,1561000.0,,,1213000.0,0.0,,,0.0,,,0.0,5516000.0,,2343000.0,,,0.0,47727000.0,47727000.0,,,29789000.0,18407000.0,15906000.0,,,
2006-06-30,76773000.0,40315000.0,13814000.0,0.0,1728000.0,,,0.0,,445000.0,2822000.0,0.0,282000.0,3165000.0,0.72115,,,,,0.0,,2210000.0,0.0,,76773000.0,19861000.0,1298000.0,1191000.0,1561000.0,,,164000.0,0.0,,,0.0,,,0.0,5516000.0,,2157000.0,,,0.0,49239000.0,49239000.0,,,29528000.0,18854000.0,13980000.0,,,
2006-09-30,78785000.0,42077000.0,14271000.0,0.0,1077000.0,,,0.0,,545000.0,2827000.0,0.0,44000.0,2235000.0,-0.37807,,,,,0.0,,2252000.0,0.0,,78785000.0,20381000.0,1239000.0,1246000.0,1550000.0,,,163000.0,0.0,,,0.0,,,0.0,5516000.0,,2136000.0,,,0.0,48308000.0,48308000.0,,,29527000.0,21683000.0,16119000.0,,,
2006-12-31,79701000.0,45698000.0,18498000.0,0.0,1526000.0,,,0.0,,1496000.0,502000.0,0.0,-311000.0,5742000.0,2.71569,,,,,0.0,,1036000.0,0.0,,79701000.0,18480000.0,2420000.0,4980000.0,2034000.0,,,3308000.0,0.0,,,0.0,,,0.0,5148000.0,,4727000.0,,,63000.0,51283000.0,51346000.0,,,28995000.0,18072000.0,10207000.0,,,
2007-03-31,74336000.0,37102000.0,14409000.0,0.0,1157000.0,,,436000.0,,181000.0,4172000.0,0.0,25000.0,6367000.0,0.25435,,,,,0.0,,998000.0,0.0,,74336000.0,14103000.0,2872000.0,5191000.0,1746000.0,,,211000.0,0.0,,,0.0,,,0.0,5148000.0,,3177000.0,,,0.0,51908000.0,51908000.0,,,28995000.0,17608000.0,12264000.0,,,
2007-06-30,75464000.0,39370000.0,14517000.0,0.0,1476000.0,,,852000.0,,178000.0,4172000.0,0.0,9000.0,7052000.0,0.27877,,,,,0.0,,965000.0,0.0,,75464000.0,13127000.0,969000.0,5072000.0,1644000.0,,,211000.0,0.0,,,0.0,,,0.0,5148000.0,,4596000.0,,,0.0,52593000.0,52593000.0,,,28995000.0,20425000.0,13051000.0,,,
2007-09-30,74586000.0,38494000.0,12649000.0,0.0,1759000.0,,,666000.0,,236000.0,4172000.0,0.0,15000.0,3706000.0,-0.14122,,,,,0.0,,953000.0,0.0,,74586000.0,15519000.0,970000.0,7179000.0,1479000.0,,,263000.0,0.0,,,0.0,,,0.0,5148000.0,,4669000.0,,,0.0,49250000.0,49250000.0,,,28995000.0,20145000.0,14966000.0,,,
2007-12-31,76368000.0,38686000.0,13925000.0,0.0,1774000.0,,,-103000.0,,0.0,5534000.0,0.0,54000.0,6872000.0,2.48715,,,,,0.0,,925000.0,0.0,,76368000.0,15701000.0,1120000.0,3952000.0,1928000.0,,,2983000.0,0.0,,,0.0,,,0.0,0.0,,8230000.0,,,0.0,52437000.0,52437000.0,,,29015000.0,19560000.0,11528000.0,,,
2008-03-31,72563000.0,36224000.0,15113000.0,0.0,1690000.0,,,0.0,,0.0,277000.0,0.0,0.0,5593000.0,-0.5203399999999999,,,,,0.0,,890000.0,0.0,,72563000.0,13178000.0,1283000.0,4056000.0,962000.0,,,371000.0,0.0,,,0.0,,,0.0,3578000.0,,4650000.0,,,0.0,51157000.0,51157000.0,,,29015000.0,16908000.0,11593000.0,,,
2008-06-30,73110000.0,36588000.0,14434000.0,0.0,1897000.0,,,1102000.0,,0.0,277000.0,0.0,0.0,9336000.0,1.13954,,,,,-273000.0,,1104000.0,0.0,,73110000.0,11225000.0,1192000.0,3535000.0,755000.0,,,234000.0,0.0,,,-273000.0,,,0.0,3304000.0,,4486000.0,,,0.0,54095000.0,54095000.0,,,28210000.0,17863000.0,10910000.0,,,
2008-09-30,75233000.0,38692000.0,15996000.0,0.0,1279000.0,,,580000.0,,0.0,277000.0,0.0,27000.0,5869000.0,0.32506,,,,,0.0,,1120000.0,0.0,,75233000.0,17034000.0,1152000.0,6647000.0,895000.0,,,3517000.0,0.0,,,0.0,,,0.0,3304000.0,,4268000.0,,,0.0,50627000.0,50627000.0,,,28209000.0,18388000.0,15526000.0,,,
2008-12-31,79382000.0,42476000.0,18234000.0,0.0,1320000.0,,,1193000.0,,0.0,277000.0,0.0,491000.0,1062000.0,2.90765,,,,,-1034000.0,,1117000.0,0.0,,79382000.0,17360000.0,2210000.0,5300000.0,2053000.0,,,4268000.0,0.0,,,-1034000.0,,,0.0,2271000.0,,4114000.0,,,0.0,55637000.0,55637000.0,,,38025000.0,17736000.0,15032000.0,,,
2009-03-31,81060000.0,44057000.0,19604000.0,0.0,1606000.0,,,889000.0,,0.0,277000.0,0.0,22000.0,1062000.0,0.82547,,,,,0.0,,1177000.0,65000.0,,81060000.0,17099000.0,1115000.0,6708000.0,2034000.0,,,3488000.0,0.0,,,0.0,,,0.0,2271000.0,,4024000.0,,,0.0,57666000.0,57666000.0,,,40054000.0,17040000.0,14094000.0,,,
2009-06-30,82470000.0,45287000.0,18579000.0,0.0,1181000.0,,,1507000.0,,0.0,277000.0,0.0,-299000.0,-24000.0,0.03295,,,,,-374000.0,,1559000.0,363000.0,,82470000.0,18804000.0,931000.0,7964000.0,1309000.0,,,3019000.0,0.0,,,-374000.0,,,0.0,1896000.0,,4023000.0,,,0.0,57747000.0,57747000.0,,,41221000.0,22354000.0,14194000.0,,,
2009-09-30,83775000.0,46639000.0,18663000.0,0.0,1626000.0,,,846000.0,,0.0,277000.0,0.0,103000.0,258000.0,1.1716799999999998,,,,,0.0,,1508000.0,412000.0,,83775000.0,16158000.0,762000.0,7483000.0,1606000.0,,,2128000.0,0.0,,,0.0,,,0.0,1896000.0,,4020000.0,,,0.0,61701000.0,61701000.0,,,44893000.0,25381000.0,13978000.0,,,
