,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,22318.0,4677.0,0.0,0.0,,,,3443.0,0.0,34184.0,4348.0,,,,0.0,,,,,,33477.0,15683.0,,,-2458.0,13052.0,,,45058.0,,,,,0.0,,0.0,,,0.0,,,115435.0,,,,15683.0,-1439.0,115435.0,,0.00547777,5634.0,,,,
2002-03-31,13390.0,5563.0,0.0,0.0,,,,1737.0,0.0,24582.0,3754.0,,,,0.0,,,,,,40525.0,15706.0,,,-1138.0,4956.0,,,32420.0,,,,,337.0,,0.0,,,0.0,,,111863.0,,,,15706.0,-1685.0,111863.0,,0.0008052199999999999,5868.0,,,,
2002-06-30,11760.0,3881.0,0.0,0.0,,,,3656.0,0.0,23336.0,3753.0,,,,0.0,,,,,,36914.0,15743.0,,,-2299.0,5270.0,,,38366.0,,,,,337.0,,0.0,,,0.0,,,113572.0,,,,15743.0,-3158.0,113572.0,,0.00093713,4224.0,,,,
2002-09-30,12048.0,2851.0,0.0,0.0,,,,2416.0,0.0,23895.0,3775.0,,,,0.0,,,,,,36294.0,15560.0,,,-2346.0,3983.0,,,39095.0,,,,,337.0,,0.0,,,0.0,,,120733.0,,,,15560.0,-5613.0,120733.0,,0.00279042,5042.0,,,,
2002-12-31,16620.0,1121.0,0.0,0.0,,,,3959.0,0.0,28878.0,4917.0,,,,0.0,,,,,,42072.0,16823.0,,,-5778.0,9938.0,,,38213.0,,,,,0.0,,0.0,,,0.0,,,122681.0,,,,16823.0,-604.0,122681.0,,0.0016986599999999998,5295.0,,,,
2003-03-31,11062.0,3064.0,0.0,0.0,,,,2680.0,0.0,22979.0,3775.0,,,,0.0,,,,,,40154.0,17044.0,,,-2638.0,6772.0,,,34076.0,,,,,0.0,,0.0,,,0.0,,,120212.0,,,,17044.0,-2012.0,120212.0,,0.00126864,6030.0,,,,
2003-06-30,13522.0,4181.0,0.0,0.0,,,,2783.0,0.0,25905.0,3885.0,,,,0.0,,,,,,50656.0,17382.0,,,4092.0,15104.0,,,17114.0,,,,,0.0,,0.0,,,0.0,,,119138.0,,,,17382.0,-1001.0,119138.0,,-0.00151278,6500.0,,,,
2003-09-30,22938.0,3339.0,0.0,0.0,,,,9999.0,0.0,58330.0,5117.0,,,,0.0,,,,,,37477.0,40198.0,,,-3857.0,70506.0,,,21944.0,,,,,0.0,,0.0,,,0.0,,,150728.0,,,,40198.0,-2181.0,150728.0,,-9.294e-05,5848.0,,,,
2003-12-31,22484.0,1871.0,0.0,0.0,,,,-2052.0,0.0,34881.0,2578.0,,,,0.0,,,,,,58337.0,17859.0,,,-5504.0,-44705.0,,,21119.0,,,,,0.0,,0.0,,,0.0,,,126311.0,,,,17859.0,-590.0,126311.0,,0.0035322400000000003,6825.0,,,,
2004-03-31,24616.0,10592.0,0.0,0.0,,,,223.0,0.0,36768.0,2666.0,,,,0.0,,,,,,57774.0,19604.0,,,-3251.0,7093.0,,,17764.0,,,,,0.0,,0.0,,,0.0,,,135769.0,,,,19604.0,-2662.0,135769.0,,0.00169686,6374.0,,,,
2004-06-30,54323.0,36075.0,0.0,0.0,,,,3081.0,0.0,76790.0,2652.0,,,,0.0,,,,,,57357.0,19955.0,,,416.0,20140.0,,,20527.0,,,,,0.0,,0.0,,,0.0,,,176945.0,,,,19955.0,-2030.0,176945.0,,0.0004546600000000001,7173.0,,,,
2004-09-30,21737.0,4964.0,0.0,0.0,,,,3055.0,0.0,43804.0,2377.0,,,,0.0,,,,,,58989.0,21307.0,,,-4882.0,49487.0,,,17243.0,,,,,0.0,,0.0,,,0.0,,,149856.0,,,,21307.0,-4755.0,149856.0,,0.004029059999999998,8567.0,,,,
2004-12-31,28265.0,11078.0,0.0,0.0,,,,4228.0,0.0,46867.0,3812.0,,,,0.0,,,,,,64172.0,22375.0,,,-3284.0,25737.0,,,18569.0,,,,,0.0,,0.0,,,0.0,,,154415.0,,,,22375.0,970.0,154415.0,,0.00054883,7744.0,,,,
2005-03-31,45411.0,23256.0,0.0,0.0,,,,2954.0,0.0,74040.0,2385.0,,,,0.0,,,,,,63062.0,22243.0,,,1578.0,20616.0,,,16090.0,,,,,0.0,,0.0,,,0.0,,,179857.0,,,,22243.0,-1219.0,179857.0,,-0.0006843600000000001,7506.0,,,,
2005-06-30,36765.0,14027.0,0.0,0.0,,,,4386.0,0.0,67166.0,1676.0,,,,0.0,,,,,,64214.0,23339.0,,,944.0,42381.0,,,14085.0,,,,,0.0,,0.0,,,0.0,,,171661.0,,,,23339.0,-976.0,171661.0,,-0.0005222600000000001,9533.0,,,,
2005-09-30,26976.0,8248.0,0.0,0.0,,,,3275.0,0.0,55727.0,1687.0,,,,0.0,,,,,,60266.0,23116.0,,,4344.0,45427.0,,,15127.0,,,,,0.0,,0.0,,,0.0,,,157398.0,,,,23116.0,-245.0,157398.0,,-0.00111688,8572.0,,,,
2005-12-31,16117.0,3140.0,0.0,0.0,,,,4050.0,0.0,38389.0,2757.0,,,,0.0,,,,,,63872.0,22471.0,,,-3381.0,31473.0,,,12850.0,,,,,0.0,,0.0,,,0.0,,,138784.0,,,,22471.0,-2120.0,138784.0,,0.0011741999999999998,5005.0,,,,
2006-03-31,15380.0,2239.0,0.0,0.0,,,,2735.0,0.0,35934.0,2682.0,,,,0.0,,,,,,65726.0,21993.0,,,-1435.0,16728.0,,,10159.0,,,,,0.0,,0.0,,,0.0,,,135880.0,,,,21993.0,-101.0,135880.0,,-0.00021705,4592.0,,,,
2006-06-30,11742.0,2669.0,0.0,0.0,,,,2637.0,0.0,31624.0,2686.0,,,,0.0,,,,,,76704.0,21153.0,,,1367.0,18195.0,,,9878.0,,,,,0.0,,0.0,,,0.0,,,140832.0,,,,21153.0,-493.0,140832.0,,-0.0011354599999999998,4338.0,,,,
2006-09-30,17102.0,5360.0,0.0,0.0,,,,3106.0,0.0,39089.0,1843.0,,,,0.0,,,,,,69736.0,20198.0,,,738.0,19958.0,,,9679.0,,,,,0.0,,0.0,,,0.0,,,142031.0,,,,20198.0,-1136.0,142031.0,,-0.00248006,5058.0,,,,
2006-12-31,42195.0,5952.0,0.0,0.0,,,,11422.0,0.0,89003.0,1820.0,,,,0.0,,,,,,50473.0,68845.0,,,-2607.0,50078.0,,,18461.0,,,,,5391.0,,0.0,,,0.0,,,197331.0,,,,68845.0,-3965.0,197331.0,,0.0043817199999999995,7404.0,,,,
2007-03-31,42682.0,7820.0,0.0,0.0,,,,4693.0,0.0,87291.0,1762.0,,,,0.0,,,,,,50990.0,70279.0,,,-517.0,33937.0,,,18625.0,,,,,22223.0,,0.0,,,0.0,,,195201.0,,,,70279.0,-539.0,195201.0,,-0.00016486,6478.0,,,,
2007-06-30,91620.0,49371.0,0.0,0.0,,,,5129.0,0.0,146976.0,1713.0,,,,0.0,,,,,,48143.0,1704.0,,,-13.0,40655.0,,,34074.0,,,,,2223.0,,0.0,,,0.0,,,253188.0,,,,1704.0,-1315.0,253188.0,,-0.00185698,11322.0,,,,
2007-09-30,158013.0,102788.0,0.0,0.0,,,,4688.0,0.0,232171.0,1731.0,,,,0.0,,,,,,48636.0,1506.0,,,-493.0,62724.0,,,47816.0,,,,,2218.0,,0.0,,,0.0,,,338081.0,,,,1506.0,-2117.0,338081.0,,0.00106627,20435.0,,,,
2007-12-31,31604.0,2303.0,0.0,0.0,,,,1226.0,0.0,56750.0,2719.0,,,,0.0,,,,,,64655.0,58482.0,,,-7503.0,-49075.0,,,10980.0,,,,,4081.0,,0.0,,,0.0,,,161923.0,,,,58482.0,-1300.0,161923.0,,-0.00029176999999999995,3137.0,,,,
2008-03-31,79136.0,31950.0,0.0,0.0,,,,5083.0,0.0,139982.0,3498.0,,,,0.0,,,,,,51299.0,68673.0,,,-50.0,38808.0,,,20466.0,,,,,4471.0,,0.0,,,0.0,,,243461.0,,,,68673.0,-1327.0,243461.0,,-0.00067012,13793.0,,,,
2008-06-30,75264.0,26756.0,0.0,0.0,,,,5802.0,0.0,142026.0,4514.0,,,,0.0,,,,,,48274.0,68937.0,,,304.0,40227.0,,,16181.0,,,,,1138.0,,0.0,,,0.0,,,243317.0,,,,68937.0,-1488.0,243317.0,,-0.0008646299999999999,14021.0,,,,
2008-09-30,72056.0,16754.0,0.0,0.0,,,,6356.0,0.0,136863.0,3512.0,,,,0.0,,,,,,49406.0,59487.0,,,225.0,61428.0,,,15750.0,,,,,1138.0,,0.0,,,0.0,,,233049.0,,,,59487.0,-941.0,233049.0,,0.00052937,18244.0,,,,
2008-12-31,39598.0,3555.0,0.0,0.0,,,,4180.0,0.0,61855.0,3561.0,,,,0.0,,,,,,62615.0,46750.0,,,-5522.0,-52042.0,,,1000.0,,,,,3577.0,,0.0,,,0.0,,,157844.0,,,,46750.0,-15878.0,157844.0,,0.00180873,8343.0,,,,
2009-03-31,38175.0,1851.0,0.0,0.0,,,,4879.0,0.0,61655.0,3565.0,,,,0.0,,,,,,64101.0,49255.0,,,1373.0,18718.0,,,7681.0,,,,,1606.0,,0.0,,,0.0,,,154382.0,,,,49255.0,-962.0,154382.0,,-0.0026109,11411.0,,,,
2009-06-30,148754.0,31922.0,3664.0,0.0,9866.0,10141.0,0.0,0.0,0.0,8251.0,3688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3688.0,63553.0,49591.0,0.0,0.0,148754.0,33856.0,0.0,6552.0,5353.0,16570.0,0.0,16.0,1827.0,3538.0,0.0,5305.0,290.0,825.0,2585.0,0.0,0.0,1605.0,0.0,0.0,18085.0,91508.0,78246.0,132.0,1273.0,18392.0,-6535.0,0.0,0.0,0.0,0.0
2009-09-30,158810.0,39628.0,5270.0,0.0,17185.0,11317.0,0.0,0.0,0.0,5856.0,4866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4866.0,62571.0,51745.0,0.0,0.0,158810.0,40942.0,0.0,13126.0,6616.0,15713.0,0.0,16.0,1818.0,3653.0,0.0,7124.0,232.0,2825.0,2461.0,0.0,0.0,1606.0,0.0,0.0,17863.0,92881.0,78246.0,132.0,1229.0,15671.0,-3582.0,1185.0,0.0,0.0,0.0
2010-03-31,158706.0,40448.0,4248.0,0.0,16537.0,11632.0,0.0,0.0,0.0,8031.0,5176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5176.0,62950.0,48759.0,1373.0,0.0,158706.0,37733.0,0.0,10456.0,6447.0,17528.0,0.0,16.0,1583.0,1703.0,0.0,8875.0,4564.0,0.0,3563.0,0.0,0.0,748.0,0.0,0.0,18416.0,93682.0,78246.0,132.0,1140.0,12387.0,524.0,1253.0,0.0,0.0,0.0
2010-06-30,155919.008,38758.0,3962.0,0.0,16700.0,11545.0,0.0,0.0,0.0,6551.0,5228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5228.0,63095.0,47355.0,1483.0,0.0,155919.008,38383.0,0.0,12387.0,6239.0,16459.0,0.0,16.0,2360.0,922.0,0.0,9262.0,1910.0,3569.0,3783.0,0.0,0.0,0.0,0.0,0.0,15711.0,92563.0,78246.0,132.0,1096.0,12387.0,-551.0,1253.0,0.0,0.0,0.0
