,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,27062000.0,17492000.0,1259000.0,,9948000.0,1648000.0,,612000.0,0.0,1444000.0,0.0,,,,,,,,,,14345000.0,7629000.0,0.0,,27062000.0,6976000.0,0.0,612000.0,4523000.0,0.0,,,0.0,759000.0,,341000.0,0.0,,,,,2133440.0,,,,4905000.0,66000.0,,,0.0,14345000.0,,,,
2002-03-31,30800000.0,21271000.0,4927000.0,,14670000.0,1649000.0,,0.0,0.0,0.0,250000.0,,,,,,,,,,14377000.0,7588000.0,0.0,,30800000.0,10710000.0,0.0,620000.0,5451000.0,0.0,,,0.0,3708000.0,,341000.0,0.0,,,,,2133440.0,,,,4937000.0,66000.0,,,0.0,14377000.0,,,,
2002-06-30,28057000.0,18716000.0,1597000.0,,15449000.0,1645000.0,,0.0,0.0,0.0,0.0,,,,,,,,,,14423000.0,7650000.0,0.0,,28057000.0,7177000.0,0.0,624000.0,5156000.0,0.0,,,0.0,807000.0,,341000.0,0.0,,,,,2133440.0,,,,4984000.0,67000.0,,,0.0,14423000.0,,,,
2002-09-30,28660000.0,19235000.0,2058000.0,,15519000.0,1635000.0,,0.0,0.0,0.0,0.0,,,,,,,,,,14408000.0,7731000.0,0.0,,28660000.0,8088000.0,0.0,638000.0,5948000.0,0.0,,,0.0,1086000.0,,341000.0,0.0,,,,,2133440.0,,,,4969000.0,38000.0,,,0.0,14408000.0,,,,
2002-12-31,28967000.0,19373000.0,1240000.0,,11489000.0,1632000.0,,202000.0,0.0,1874000.0,2050000.0,,,,,,,,,,14491000.0,5850000.0,0.0,,28967000.0,8818000.0,0.0,831000.0,6701000.0,0.0,,,0.0,579000.0,,341000.0,0.0,,,,,2133440.0,,,,5051000.0,38000.0,,,0.0,14491000.0,,,,
2003-03-31,30470000.0,20781000.0,1431000.0,,13492000.0,1627000.0,,305000.0,0.0,1957000.0,2050000.0,,,,,,,,,,14445000.0,5941000.0,0.0,,30470000.0,10452000.0,0.0,928000.0,7705000.0,0.0,,,0.0,922000.0,,345000.0,0.0,,,,,2133440.0,,,,5006000.0,38000.0,,,0.0,14445000.0,,,,
2003-06-30,29643000.0,19834000.0,1264000.0,,12840000.0,1647000.0,,396000.0,0.0,1988000.0,2050000.0,,,,,,,,,,12962000.0,6062000.0,0.0,,29643000.0,11137000.0,0.0,925000.0,8383000.0,0.0,,,0.0,794000.0,,345000.0,0.0,,,,,2133440.0,,,,3523000.0,37000.0,,,0.0,12962000.0,,,,
2003-09-30,29054000.0,19320000.0,1119000.0,,9835000.0,1648000.0,,608000.0,0.0,2078000.0,2050000.0,,,,,,,,,,14543000.0,6166000.0,0.0,,29054000.0,9418000.0,0.0,503000.0,7626000.0,0.0,,,0.0,970000.0,,344000.0,0.0,,,,,2133440.0,,,,5104000.0,37000.0,,,0.0,14543000.0,,,,
2003-12-31,32197000.0,21564000.0,641000.0,,13732000.0,1506000.0,,401000.0,0.0,2073000.0,1050000.0,,,,,,,,,,15939000.0,6786000.0,0.0,,32197000.0,3890000.0,0.0,424000.0,1839000.0,0.0,,,0.0,1114000.0,,345000.0,0.0,,,,,2133440.0,,,,6499000.0,52000.0,,,0.0,15939000.0,,,,
2004-03-31,34673000.0,24030000.0,550000.0,,13319000.0,1498000.0,,712000.0,0.0,2318000.0,1050000.0,,,,,,,,,,15615000.0,6796000.0,0.0,,34673000.0,6245000.0,0.0,431000.0,2909000.0,0.0,,,0.0,1522000.0,,345000.0,0.0,,,,,2133440.0,,,,6176000.0,62000.0,,,0.0,15615000.0,,,,
2004-06-30,35099000.0,24459000.0,1354000.0,,11943000.0,1485000.0,,1227000.0,0.0,2438000.0,1050000.0,,,,,,,,,,15732000.0,6792000.0,0.0,,35099000.0,7145000.0,0.0,496000.0,3520000.0,0.0,,,0.0,2445000.0,,346000.0,0.0,,,,,2133440.0,,,,6293000.0,60000.0,,,0.0,15732000.0,,,,
2004-09-30,36813000.0,26157000.0,176000.0,,14573000.0,1471000.0,,1400000.0,0.0,2555000.0,1050000.0,,,,,,,,,,15681000.0,6801000.0,0.0,,36813000.0,9425000.0,0.0,708000.0,4305000.0,0.0,,,0.0,3488000.0,,353000.0,0.0,,,,,2133440.0,,,,6242000.0,60000.0,,,0.0,15681000.0,,,,
2004-12-31,41074000.0,27379000.0,1284000.0,,17406000.0,2400000.0,,818000.0,0.0,1165000.0,3755000.0,,,,,,,,,,18700000.0,6814000.0,0.0,,41074000.0,7739000.0,0.0,812000.0,2931000.0,0.0,,,0.0,1186000.0,,353000.0,0.0,,,,,2133440.0,,,,9260000.0,128000.0,,,0.0,18700000.0,,,,
2005-03-31,41555000.0,27852000.0,1428000.0,,13881000.0,2398000.0,,736000.0,0.0,1682000.0,3755000.0,,,,,,,,,,18577000.0,6823000.0,0.0,,41555000.0,8344000.0,0.0,1368000.0,3507000.0,0.0,,,0.0,1357000.0,,353000.0,0.0,,,,,2133440.0,,,,9138000.0,130000.0,,,0.0,18577000.0,,,,
2005-06-30,46206000.0,32439000.0,981000.0,,16528000.0,2427000.0,,1238000.0,0.0,1884000.0,3755000.0,,,,,,,,,,18112000.0,6886000.0,0.0,,46206000.0,13793000.0,0.0,2588000.0,4032000.0,0.0,,,0.0,2073000.0,,353000.0,0.0,,,,,2133440.0,,,,8673000.0,130000.0,,,0.0,18112000.0,,,,
2005-09-30,50942000.0,37125000.0,2665000.0,,15947000.0,3048000.0,,1338000.0,0.0,1440000.0,3755000.0,,,,,,,,,,18760000.0,6936000.0,0.0,,50942000.0,18194000.0,0.0,2123000.0,6235000.0,0.0,,,0.0,3279000.0,,353000.0,0.0,,,,,2133440.0,,,,9321000.0,130000.0,,,0.0,18760000.0,,,,
2005-12-31,48845000.0,34629000.0,1768000.0,,16067000.0,3806000.0,,3160000.0,0.0,640000.0,3755000.0,,,,,,,,,,18802000.0,7054000.0,0.0,,48845000.0,15514000.0,0.0,1362000.0,4558000.0,0.0,,,0.0,2555000.0,,330000.0,0.0,,,,,2133440.0,,,,9362000.0,126000.0,,,0.0,18802000.0,,,,
2006-03-31,60610000.0,46197000.0,8011000.0,,18272000.0,3559000.0,,1094000.0,0.0,795000.0,3755000.0,,,,,,,,,,18878000.0,7243000.0,0.0,,60610000.0,27398000.0,0.0,2015000.0,4789000.0,0.0,,,0.0,3064000.0,,339000.0,0.0,,,,,2133440.0,,,,9439000.0,126000.0,,,0.0,18878000.0,,,,
2006-06-30,64109000.0,45412000.0,4987000.0,,17640000.0,3806000.0,,3730000.0,0.0,1001000.0,3755000.0,,,,,,,,,,19464000.0,11527000.0,0.0,,64109000.0,31084000.0,0.0,2928000.0,9159000.0,0.0,,,0.0,4123000.0,,339000.0,0.0,,,,,2133440.0,,,,10025000.0,126000.0,,,0.0,19464000.0,,,,
2006-09-30,63028000.0,48342000.0,2828000.0,,27677000.0,8008000.0,,2304000.0,0.0,1111000.0,3755000.0,,,,,,,,,,19391000.0,7504000.0,0.0,,63028000.0,27796000.0,0.0,4518000.0,6085000.0,0.0,,,0.0,5834000.0,,351000.0,0.0,,,,,2133440.0,,,,9952000.0,126000.0,,,0.0,19391000.0,,,,
2006-12-31,71869000.0,45924000.0,3690000.0,,31134000.0,6653000.0,,2707000.0,0.0,3460000.0,14435000.0,,,,,,,,,,29783000.0,8150000.0,0.0,,71869000.0,27050000.0,0.0,6642000.0,5863000.0,0.0,,,0.0,3636000.0,,377000.0,0.0,,,,,2133440.0,,,,20343000.0,529000.0,,,0.0,29783000.0,,,,
2007-03-31,87845000.0,61259000.0,5669000.0,,24755000.0,7786000.0,,1172000.0,0.0,3988000.0,15059000.0,,,,,,,,,,30077000.0,8049000.0,0.0,,87845000.0,42733000.0,0.0,374000.0,10854000.0,0.0,,,0.0,4632000.0,,495000.0,0.0,,,,,2133440.0,,,,20637000.0,495000.0,,,0.0,30077000.0,,,,
2007-06-30,90269000.0,63086000.0,9175000.0,,22411000.0,6645000.0,,5424000.0,0.0,5287000.0,15426000.0,,,,,,,,,,30873000.0,8244000.0,35000.0,,90269000.0,43768000.0,0.0,3098000.0,7168000.0,0.0,,,0.0,4060000.0,,495000.0,0.0,,,,,2133440.0,,,,17901000.0,495000.0,,,0.0,30873000.0,,,,
2007-09-30,82054000.0,53979000.0,3032000.0,,20562000.0,7641000.0,,5254000.0,0.0,7420000.0,16300000.0,,,,,,,,,,31277000.0,8251000.0,35000.0,,82054000.0,31876000.0,0.0,1661000.0,3122000.0,0.0,,,0.0,3587000.0,,506000.0,0.0,,,,,2133440.0,,,,18305000.0,495000.0,,,0.0,31277000.0,,,,
2007-12-31,92749000.0,61066000.0,4955000.0,,23047000.0,7946000.0,,6453000.0,0.0,4354000.0,18552000.0,,,,,,,,,,29801000.0,9695000.0,35000.0,,92749000.0,39211000.0,0.0,3525000.0,6871000.0,0.0,,,0.0,2605000.0,,502000.0,0.0,,,,,2133440.0,,,,16829000.0,187000.0,,,0.0,29801000.0,,,,
