,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-12-31,508955.0,280715.0,78206.0,12488.0,105513.0,124682.0,,0.0,16351.0,14171.0,66995.0,,0.0,-316.0,24879.0,5413.0,92729.0,-316.0,2346.0,35050.0,0.0,2958.0,0.0,,508955.0,205824.0,2088.0,0.0,1151.0,117691.0,50427.0,,363754.0,,,40670.0,40670.0,7510.0,0.0,15509.0,,6255.0,,,7504.0,145201.0,112390.71,7504.0,,,0.0,,,,
2007-03-31,1096514.0,943774.0,668858.0,423716.0,100421.0,381805.0,,0.0,16172.0,16528.0,45124.0,,0.0,-275.0,24864.0,15425.0,124774.0,-275.0,-19765.0,46146.0,0.0,2739.0,0.0,,1096514.0,227373.0,2749.0,0.0,1243.0,23408.0,162093.0,,382532.0,,,35872.0,35872.0,5132.0,0.0,16169.0,,6445.0,,,7776.0,713982.0,163455.43,7776.0,,,0.0,,,,
2007-06-30,1000575.0,846422.0,668858.0,217050.0,147192.0,427160.0,,0.0,20885.0,29356.0,65761.0,,0.0,-434.0,27417.0,11027.0,123061.0,-434.0,22144.0,58832.0,0.0,3276.0,0.0,,1000575.0,108843.0,3049.0,0.0,1504.0,24922.0,49509.0,,265956.0,,,27929.0,27929.0,4779.0,0.0,18518.0,,6474.0,,,10830.0,734619.0,163455.43,10830.0,,,0.0,,,,
2007-09-30,1044291.0,859919.0,668858.0,147447.0,180647.0,465633.0,,0.0,26243.0,30908.0,91237.0,,0.0,-750.0,30449.0,12633.0,149102.0,-750.0,25690.0,78674.0,0.0,3914.0,0.0,,1044291.0,119234.0,3625.0,0.0,2185.0,40709.0,41581.0,,284196.0,,,25526.0,25526.0,9041.0,0.0,21340.0,,6065.0,,,14091.0,760095.0,163455.2,14091.0,,,0.0,,,,
2007-12-31,1121938.0,646579.0,668858.0,52905.0,185738.0,315730.0,,0.0,35473.0,38587.0,91783.0,,0.0,-736.0,0.0,13287.0,171467.0,-736.0,15630.0,110347.0,0.0,3711.0,36397.0,,1121938.0,195271.0,4595.0,0.0,2199.0,58869.0,90737.0,,361297.0,,,20386.0,20386.0,18146.0,0.0,21789.0,,2264.0,,,18822.0,760641.0,163455.2,18822.0,,,36397.0,,,,
2008-03-31,1215983.0,662857.0,668858.0,102298.0,196212.0,291616.0,,0.0,18540.0,45085.0,104531.0,,0.0,-835.0,60767.0,12641.0,189031.0,-835.0,37399.0,51728.0,0.0,0.0,0.0,,1215983.0,180374.0,4855.0,0.0,2407.0,75802.0,58270.0,,442594.0,,,81173.0,81173.0,9106.0,0.0,22866.0,,2523.0,,,50875.0,773389.0,163455.2,50875.0,,,0.0,,,,
2008-06-30,1327696.0,780939.0,668858.0,121451.0,213126.0,358717.0,,0.0,26763.0,48786.0,129422.0,,0.0,-1979.0,60990.0,10630.0,231207.0,-1979.0,28829.0,112023.0,0.0,0.0,0.0,,1327696.0,185819.0,4710.0,0.0,2984.0,85806.0,64024.0,,529416.0,,,130333.0,130333.0,12096.0,0.0,26661.0,,2709.0,,,60156.0,798280.0,163455.2,60156.0,,,0.0,,,,
2008-09-30,1392517.0,818567.0,668858.0,119571.0,236965.0,359990.0,,0.0,32603.0,52748.0,145852.0,,0.0,-2574.0,57833.0,14836.0,247988.0,-2574.0,20225.0,106906.0,0.0,0.0,0.0,,1392516.0,213963.0,5333.0,0.0,3584.0,102277.0,68393.0,,577806.0,,,164405.0,164405.0,16690.0,0.0,29977.0,,2419.0,,,63070.0,814710.0,163455.2,63070.0,,,0.0,,,,
2008-12-31,1455345.0,850623.0,668858.0,43666.0,278420.0,449521.0,,0.0,2779.0,48841.0,125969.0,,0.0,-3024.0,0.0,13283.0,288221.0,-3024.0,18217.0,120393.0,0.0,0.0,9457.0,,1455345.0,259228.0,8612.0,0.0,3637.0,108270.0,85274.0,,660518.0,,,173156.0,173156.0,27396.0,0.0,33357.0,,5202.0,,,67554.0,794827.0,163455.2,67554.0,,,9457.0,,,,
2009-03-31,1574661.0,974017.0,668858.0,79996.0,305971.0,503882.0,,0.0,4183.0,47828.0,147939.0,,0.0,-3526.0,0.0,20963.0,288091.0,-3526.0,30373.0,113218.0,0.0,0.0,40954.0,,1574661.0,333086.0,9540.0,0.0,3661.0,161846.0,90731.0,,757864.0,,,196181.0,196181.0,32157.0,0.0,37328.0,,5665.0,,,69354.0,816797.0,163455.2,69354.0,,,40954.0,,,,
