,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,451366.0,160200.0,9193.0,,67721.0,51367.0,,18517.0,2609.0,7970.0,8034.0,,,,5113.0,,,,,,2563.0,214391.0,0.0,,451366.0,183776.0,0.0,59476.0,35200.0,375387.0,2066.0,0.0,9821.0,52943.0,,1124.0,60038.0,,102748.0,28836.0,,0.0,,,-11.0,75979.0,75968.0,,63866.0,0.0,0.0,0.0,-11.0,,,,,102804.0,-4189.0,0.0,2752.0,-4627.0,,3105.0,0.0,,-2892.0,60038.0,-1784.0,,,,950.0,,0.0,,,,950.0
2002-03-31,444709.0,156103.0,7730.0,,71953.0,45750.0,,17726.0,2422.0,7993.0,7757.0,,,,2060.0,,,,,,2715.0,211163.0,0.0,,444709.0,188999.0,0.0,56034.0,37944.0,373415.0,2066.0,0.0,9992.0,58778.0,,1122.0,55996.0,,100402.0,28032.0,,0.0,,,-14.0,71294.0,71280.0,,62234.0,0.0,0.0,0.0,-14.0,,,,,91493.0,-1489.0,0.0,2485.0,-1890.0,,807.0,0.0,,-6577.0,55996.0,-529.0,,,,-4685.0,,0.0,,,,-4685.0
2002-06-30,430003.0,144637.0,8873.0,,51703.0,47564.0,,18052.0,3794.0,9242.0,8483.0,,,,-8560.0,,,,,,3036.0,208981.0,0.0,,430003.0,192028.0,0.0,55400.0,38894.0,370961.0,585.0,0.0,11760.0,57329.0,,1047.0,43047.0,,108675.0,27228.0,,0.0,,,-17.0,59042.0,59025.0,,60602.0,0.0,0.0,0.0,-17.0,,,,,102310.0,-4105.0,0.0,2199.0,954.0,,3022.0,0.0,,-11298.0,43047.0,-243.0,,,,-12251.0,,0.0,,,,-12251.0
2002-09-30,446124.0,155283.0,8510.0,,51460.0,58836.0,,20201.0,3359.0,10082.0,8201.0,,,,-19859.0,,,,,,4312.0,205377.0,0.0,,446124.0,221012.0,0.0,64988.0,45750.0,400017.0,585.0,0.0,14961.0,64774.0,,1232.0,36806.0,,115817.0,26422.0,,0.0,,,-40.0,46107.0,46067.0,,58966.0,0.0,0.0,0.0,-40.0,,,,,100125.0,-2047.0,0.0,1967.0,-8300.0,,535.0,0.0,,-21254.0,36806.0,171.0,,,,-12936.0,,0.0,,,,-12936.0
2002-12-31,414590.0,120863.0,4301.0,,33812.0,52375.0,,11968.0,4036.0,8747.0,7944.0,,,,-39025.0,,,,,,5536.0,201024.0,0.0,,414590.0,211508.0,0.0,74090.0,56406.0,389219.0,585.0,0.0,13636.0,31988.0,,1394.0,40123.0,,112002.0,25649.0,,0.0,,,-63.0,25371.0,25308.0,,57396.0,0.0,0.0,0.0,-63.0,,,,,117130.0,-768.0,0.0,1773.0,871.0,,121.0,0.0,,-19890.0,40123.0,-163.0,,,,-20736.0,,0.0,,,,-20736.0
2003-03-31,398194.0,110239.0,3571.0,,18841.0,46851.0,,14642.0,3693.0,14201.0,8112.0,,,,-53689.0,,,,,,4662.0,196008.0,0.0,,398194.0,218357.0,0.0,68736.0,68927.0,388956.0,585.0,0.0,13749.0,29681.0,,1492.0,38784.0,,106957.0,24918.0,,0.0,,,-60.0,9238.0,9178.0,,55927.0,0.0,0.0,0.0,-60.0,,,,,96718.0,-3073.0,0.0,1642.0,-653.0,,1385.0,0.0,,-16785.0,38784.0,129.0,,,,-16133.0,,0.0,,,,-16133.0
2003-06-30,372858.0,90511.0,326.0,,19168.0,37055.0,,16977.0,2549.0,8846.0,8283.0,,,,-111156.0,,,,,,4300.0,190715.0,0.0,,372858.0,239660.0,0.0,74251.0,84407.0,422527.0,585.0,0.0,14066.0,23567.0,,1559.0,35413.0,,123313.0,24216.0,,0.0,,,-75.0,-49669.0,-49744.0,,54487.0,0.0,0.0,0.0,-75.0,,,,,65357.0,-2867.0,0.0,1492.0,-705.0,,5464.0,0.0,,-59634.0,35413.0,-17590.0,,,,-58905.0,,0.0,,,,-58905.0
2003-09-30,574090.0,78933.0,2803.0,,14165.0,23951.0,,16158.0,1283.0,14990.0,8456.0,,,,-140955.0,,,,,,392.0,407338.0,0.0,,574090.0,226717.0,0.0,55194.0,82265.0,505131.0,585.0,0.0,12073.0,22354.0,,1616.0,31663.0,,150937.0,95889.0,,0.0,,,-75.0,68959.0,68884.0,,202914.0,0.0,0.0,0.0,-75.0,,,,,42455.0,-3682.0,0.0,1370.0,-856.0,,3024.0,0.0,,-32407.0,31663.0,-9643.0,,,,-31551.0,,0.0,,,,-31551.0
2003-12-31,563441.0,80345.0,2890.0,,15828.0,23172.0,,16066.0,1706.0,12002.0,8597.0,,,,-177753.0,,,,,,348.0,394287.0,0.0,,563441.0,250109.0,0.0,59754.0,86860.0,538386.0,585.0,0.0,14335.0,24725.0,,2176.0,27434.0,,167885.0,93035.0,,0.0,,,-77.0,25055.0,24978.0,,195808.0,0.0,0.0,0.0,-77.0,,,,,50997.0,-420.0,0.0,1733.0,-2834.0,,4837.0,0.0,,-46740.0,27434.0,-7155.0,,,,-43903.0,,0.0,,,,-43903.0
2004-03-31,556213.0,83333.0,74.0,,23483.0,24960.0,,15573.0,1651.0,11553.0,8710.0,,,,-186776.0,,,,,,2406.0,381084.0,0.0,,556213.0,263607.0,0.0,61766.0,92118.0,545740.0,585.0,0.0,14101.0,30582.0,,3046.0,23620.0,,168418.0,90173.0,,0.0,,,-78.0,10473.0,10395.0,,190249.0,0.0,0.0,0.0,-78.0,,,,,49279.0,-3048.0,0.0,1696.0,-2854.0,,2869.0,0.0,,-17437.0,23620.0,350.0,,,,-14583.0,,0.0,,,,-14583.0
