,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-06-30,81093.0,36978.0,0.0,896.0,0.0,0.0,,,,0.0,0.0,,,,38429.0,3909.0,,,,16966.0,0.0,1777.0,0.0,,81093.0,29658.0,0.0,364.0,4605.0,100.0,0.0,,665.0,0.0,,64127.0,9302.0,,0.0,7407.0,,13155.0,,,0.0,16966.0,645.0,0.0,,0.0,0.0,,,,
2007-03-31,109665.0,36831.0,0.0,-77.0,15764.0,0.0,,,,0.0,0.0,,,,55573.0,15357.0,,,,16544.0,0.0,1904.0,0.0,,109665.0,56617.0,0.0,2071.0,3847.0,10516.0,0.0,,0.0,0.0,,93121.0,9229.0,,0.0,9592.0,,13836.0,,,0.0,16544.0,5207.0,0.0,,0.0,0.0,,,,
2007-06-30,182268.0,67875.0,0.0,-518.0,0.0,0.0,,,,0.0,0.0,,,,70183.0,42788.0,,,,54886.0,0.0,1422.0,0.0,,182268.0,89257.0,0.0,7059.0,3847.0,21330.0,0.0,,0.0,0.0,,127382.0,13536.0,,0.0,10387.0,,10355.0,,,0.0,54886.0,11266.0,0.0,,0.0,0.0,,,,
2007-09-30,312717.0,163821.0,0.0,-245.0,25902.0,0.0,,,,0.0,0.0,,,,98916.0,23572.0,,,,109224.0,2085.0,4296.0,0.0,,312717.0,160132.0,0.0,12540.0,13789.0,65248.0,0.0,,1365.0,0.0,,203493.0,15447.0,,0.0,10671.0,,3454.0,,,0.0,109224.0,16897.0,0.0,,0.0,0.0,,,,
2007-12-31,914139.0,624311.0,0.0,-3487.0,73085.0,0.0,,,,0.0,0.0,,,,174393.0,53176.0,,,,706078.0,1981.0,7218.0,937.0,,914139.0,141620.0,0.0,18530.0,13515.0,23304.0,4025.0,,0.0,0.0,,208061.0,16824.0,,0.0,33094.0,,3008.0,,,0.0,706078.0,22737.0,0.0,,0.0,0.0,,,,
2008-03-31,902205.0,486524.0,0.0,6773.0,65525.0,0.0,,,,0.0,0.0,,,,294092.0,90862.0,,,,727523.0,1877.0,10366.0,0.0,,902205.0,118927.0,0.0,20298.0,12981.0,7841.0,5453.0,,0.0,0.0,,174682.0,17843.0,,0.0,21923.0,,3008.0,,,0.0,727523.0,9989.0,0.0,,0.0,0.0,,,,
2008-06-30,1004661.0,556087.0,0.0,11625.0,117891.0,0.0,,,,0.0,0.0,,,,374909.0,43242.0,,,,748364.0,1772.0,12006.0,0.0,,1004661.0,133712.0,0.0,28606.0,12449.0,13313.0,5757.0,,0.0,0.0,,256297.0,74411.0,,35.0,32717.0,,3008.0,,,0.0,748364.0,52285.0,0.0,,0.0,0.0,,,,
2008-09-30,1015091.0,432752.0,0.0,-7234.0,100499.0,0.0,,,,0.0,0.0,,,,453581.0,97472.0,,,,669580.0,1673.0,13987.0,0.0,,1015091.0,192023.0,0.0,40459.0,11920.0,26642.0,5932.0,,12022.0,0.0,,345511.0,96003.0,,3330.0,27060.0,,18482.0,,,23.0,669580.0,56594.0,0.0,,0.0,0.0,,,,
2008-12-31,1544030.0,798707.0,0.0,-30897.0,142689.0,0.0,,,,0.0,0.0,,,,470356.0,159303.0,,,,1062214.0,0.0,17276.0,3221.0,,1544030.0,266592.0,0.0,31857.0,15482.0,52584.0,6435.0,,0.0,0.0,,481816.0,89178.0,,0.0,83703.0,,26840.0,,,21.0,1062214.0,181661.0,0.0,,0.0,0.0,,,,
2009-03-31,1565551.0,655835.0,0.0,5972.0,156908.0,0.0,,,,0.0,19863.0,,,,577164.0,208876.0,,,,1075274.0,0.0,18915.0,4012.0,,1565551.0,281629.0,0.0,30955.0,25316.0,61430.0,15139.0,,0.0,0.0,,490277.0,68598.0,,0.0,88947.0,,25758.0,,,29.0,1075274.0,0.0,0.0,,0.0,0.0,,,,
