,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2005-12-31,62619.0,14294.0,0.0,801.0,146.0,0.0,0.0,886.0,9.0,248.0,0.0,,,,0.0,,21910.0,9849.0,,0.0,0.0,21910.0,0.0,,62619.0,7432.0,818.0,808.0,927.0,4833.0,,,0.0,,,4220.0,4220.0,,0.0,0.0,,0.0,,,,7712.0,0.0,,,,-2153.0,0.0,,,,,,97.0,0.0,-98.0,0.0,0.0,,0.0,0.0,,-714.0,3790.0,-719.0,,,,-714.0,10119.0,914.0,,,,0.0
2006-09-30,125504.0,44166.0,0.0,334.0,5639.0,0.0,0.0,2491.0,9.0,2465.0,0.0,,,,0.0,,47923.0,10024.0,,0.0,0.0,47923.0,0.0,,125504.0,73518.0,2218.0,14978.0,1143.0,54655.0,,,0.0,,,3162.0,3162.0,,0.0,0.0,,0.0,,,,1728.0,0.0,,,,-8311.0,0.0,,,,,,15216.0,0.0,-1470.0,0.0,0.0,,0.0,0.0,,-1681.0,6787.0,-1682.0,,,,-1681.0,22514.0,8143.0,,,,0.0
2006-12-31,464687.0,307952.0,0.0,209466.0,11667.0,0.0,0.0,8506.0,11.0,6672.0,0.0,,,,0.0,,119585.0,388957.0,,0.0,0.0,119585.0,0.0,,464687.0,26200.0,0.0,16914.0,3241.0,5730.0,,,0.0,,,49764.0,49764.0,,0.0,0.0,,140.0,,,,347440.0,0.0,,,,-41532.0,0.0,,,,,,24112.0,0.0,3203.0,0.0,0.0,,0.0,0.0,,-31885.0,18089.0,-31928.0,,,,-31885.0,69241.0,31704.0,,,,0.0
2007-03-31,464909.0,260521.0,0.0,92370.0,46153.0,0.0,0.0,11093.0,437.0,8762.0,0.0,,,,0.0,,162324.0,388957.0,,0.0,0.0,162324.0,0.0,,464909.0,27195.0,0.0,17596.0,4204.0,5076.0,,,0.0,,,49740.0,49740.0,,0.0,0.0,,140.0,,,,346914.0,0.0,,,,-42058.0,0.0,,,,,,48290.0,0.0,0.0,0.0,0.0,,0.0,0.0,,-518.0,96999.0,-518.0,,,,-518.0,96999.0,0.0,,,,0.0
2007-06-30,475750.0,213368.0,0.0,20511.0,33866.0,0.0,0.0,19792.0,505.0,7874.0,0.0,,,,0.0,,208763.0,388957.0,,0.0,0.0,208763.0,0.0,,475750.0,60750.0,0.0,26303.0,6105.0,28302.0,,,0.0,,,40854.0,40854.0,,0.0,0.0,,193.0,,,,333033.0,0.0,,,,-55939.0,0.0,,,,,,53373.0,0.0,0.0,0.0,0.0,,0.0,0.0,,-13881.0,128358.0,-13881.0,,,,-13881.0,128358.0,0.0,,,,0.0
2007-09-30,548875.0,252949.0,0.0,4055.0,63406.0,0.0,0.0,17623.0,316.0,17855.0,0.0,,,,0.0,,235940.0,388957.0,,0.0,0.0,235940.0,0.0,,548875.0,128033.0,0.0,26526.0,8990.0,92416.0,,,0.0,,,45459.0,45459.0,,0.0,0.0,,338.0,,,,334125.0,0.0,,,,-54847.0,0.0,,,,,,99694.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1093.0,147962.0,1092.0,,,,1093.0,147962.0,0.0,,,,0.0
2007-12-31,577706.0,242805.0,0.0,0.0,13304.0,0.0,0.0,25887.0,449.0,8791.0,0.0,,,,1282.0,,247642.0,388957.0,,0.0,0.0,247642.0,0.0,,577706.0,190783.0,0.0,27835.0,7460.0,141245.0,,,14233.0,,,36715.0,36715.0,,0.0,0.0,,337.0,,,,301450.0,0.0,,,,-87519.0,0.0,,,,,,126548.0,0.0,0.0,0.0,14233.0,,0.0,0.0,,-32674.0,194076.0,-32674.0,,,,-32674.0,194076.0,0.0,,,,0.0
2008-03-31,629125.0,303808.0,0.0,1.0,92681.0,0.0,0.0,35144.0,672.0,9067.0,-22476.0,,,,1117.0,,70399.0,388957.0,,0.0,7383.0,242871.0,0.0,,629125.0,263164.0,0.0,29074.0,14507.0,205022.0,,,14561.0,,,30778.0,30778.0,,0.0,0.0,,337.0,,,,294835.0,0.0,,,,-94133.0,0.0,,,,,,161500.0,19713.0,0.0,0.0,14561.0,,0.0,0.0,,-20765.0,47900.0,-20765.0,,,,-20765.0,160346.0,85721.0,,,,0.0
2008-06-30,569338.0,211930.0,0.0,300.0,31219.0,17518.0,0.0,15887.0,606.0,7257.0,-26906.0,,,,1273.0,,74394.0,388957.0,,0.0,2781.0,250824.0,0.0,,569338.0,289074.0,0.0,15370.0,13364.0,225619.0,,,17203.0,,,29119.0,29119.0,,0.0,0.0,,2246.0,,,,212298.0,0.0,,,,-176669.0,0.0,,,,,,44985.0,20028.0,0.0,0.0,17203.0,,-19796.0,125.0,,-83945.0,29544.0,-83944.0,,,,-83945.0,152039.0,90512.0,,,,0.0
2008-09-30,560763.0,214068.0,0.0,1.0,62622.0,20473.0,0.0,11661.0,384.0,8300.0,-31289.0,,,,1272.0,,75660.0,388957.0,,0.0,3830.0,248519.0,0.0,,560763.0,142783.0,0.0,15937.0,13713.0,74878.0,,,17782.0,,,193788.0,193788.0,,0.0,0.0,,1354.0,,,,183395.0,0.0,,,,-205570.0,0.0,,,,,,88904.0,20726.0,0.0,0.0,17782.0,,-19796.0,140.0,,-29262.0,32669.0,-29261.0,,,,-29262.0,123080.0,70599.0,,,,0.0
