,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,122123.0,90699.0,6102.0,,0.0,543.0,,10559.0,722.0,0.0,0.0,,,,1605.0,,,9642.0,,1578.0,0.0,19274.0,0.0,,122123.0,35495.0,6031.0,12468.0,4777.0,496.0,0.0,,3563.0,,,0.0,0.0,4249.0,,0.0,,1578.0,,,,80774.0,0.0,4256.0,,0.0,21553.0,0.0,,,
2007-06-30,233638.0,121435.0,1027.0,,0.0,1620.0,,22640.0,1373.0,0.0,0.0,,,,2113.0,,,15340.0,,0.0,52293.0,40586.0,0.0,,233638.0,144705.0,9318.0,44438.0,6516.0,40262.0,0.0,,3883.0,,,0.0,0.0,22589.0,,0.0,,0.0,,,,64231.0,107.0,11079.0,,0.0,43984.0,0.0,,,
2007-09-30,495535.0,379436.0,230446.0,,0.0,1940.0,,28075.0,1327.0,0.0,0.0,,,,2108.0,,,8709.0,,0.0,48719.0,53069.0,0.0,,495535.0,91270.0,11909.0,43740.0,7532.0,2324.0,0.0,,4413.0,,,10657.0,0.0,21487.0,,0.0,,0.0,,,,370013.0,0.0,16421.0,,0.0,57364.0,0.0,,,
2007-12-31,507493.0,378393.0,223477.0,,0.0,1902.0,,24642.0,1852.0,0.0,0.0,,,,2153.0,,,8379.0,,50532.0,0.0,67151.0,0.0,,507493.0,115650.0,13658.0,46166.0,5584.0,7903.0,0.0,,5505.0,,,20251.0,15880.0,0.0,,0.0,,50532.0,,,,353559.0,0.0,11499.0,,0.0,0.0,0.0,,,
2008-03-31,492822.0,342108.0,194811.0,,111165.0,1758.0,,18193.0,2345.0,0.0,0.0,,,,2153.0,,,7907.0,,5610.0,45705.0,83230.0,0.0,,492822.0,93020.0,15022.0,39194.0,5751.0,11255.0,0.0,,4450.0,,,25429.0,15566.0,67.0,,0.0,,5610.0,,,,356587.0,0.0,8534.0,,0.0,84832.0,0.0,,,
2008-06-30,504333.0,339135.0,165510.0,,135740.0,1748.0,,20704.0,2101.0,0.0,0.0,,,,2153.0,,,7244.0,,6689.0,44975.0,100047.0,0.0,,504333.0,82251.0,19376.0,28549.0,6278.0,10309.0,0.0,,6022.0,,,37943.0,14922.0,0.0,,0.0,,6689.0,,,,367064.0,0.0,10504.0,,0.0,99031.0,0.0,,,
2008-09-30,605889.0,257637.0,58581.0,,156967.0,1919.0,,23846.0,1734.0,0.0,0.0,,,,2153.0,,,8302.0,,6921.0,198003.0,131818.0,0.0,,605888.0,158984.0,21617.0,67697.0,8451.0,25427.0,0.0,,7097.0,,,46984.0,12303.0,29400.0,,0.0,,6921.0,,,,356065.0,0.0,14124.0,,0.0,126778.0,0.0,,,
2008-12-31,589491.0,231219.0,52215.0,,127278.0,1934.0,,24292.0,1491.0,0.0,0.0,,,,1978.0,,,29719.0,,165895.0,0.0,159217.0,0.0,,589491.0,172956.0,19143.0,46601.0,7901.0,34438.0,0.0,,17087.0,,,59503.0,12102.0,19351.0,,34438.0,,165895.0,,,,323601.0,0.0,16441.0,,0.0,0.0,0.0,,,
2009-03-31,612730.0,245367.0,47337.0,,140570.0,2136.0,,28168.0,4277.0,0.0,0.0,,,,1979.0,,,31294.0,,3793.0,0.0,167092.0,0.0,,612730.0,184915.0,18209.0,68304.0,14002.0,34743.0,0.0,,19480.0,,,51742.0,12568.0,19351.0,,0.0,,3793.0,,,,342175.0,0.0,13973.0,,0.0,177084.0,0.0,,,
2009-06-30,601032.0,240635.0,37507.0,,137282.0,1306.0,,22833.0,2882.0,0.0,0.0,,,,1978.0,,,30558.0,,3711.0,0.0,161048.0,0.0,,601032.0,181074.0,19781.0,76046.0,11134.0,39629.0,0.0,,16714.0,,,40791.0,12520.0,6759.0,,0.0,,3711.0,,,,357910.0,0.0,31713.0,,0.0,175078.0,-68.0,,,
2009-09-30,583422.976,223932.992,49663.0,0.0,138403.008,986.0,0.0,0.0,0.0,34881.0,31280.0,0.0,0.0,27900.0,0.0,0.0,0.0,0.0,1451.0,1929.0,0.0,163118.0,165092.0,0.0,583422.976,163600.992,0.0,30717.0,12399.0,35484.0,11558.0,0.0,70939.0,2504.0,0.0,61516.0,44478.0,0.0,17038.0,0.0,0.0,0.0,0.0,0.0,0.0,358305.984,144468.992,173711.008,0.0,5073.0,35023.0,30.0,0.0,0.0,0.0
