,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2005-12-31,119459.0,78628.0,1952.0,,46984.0,12896.0,,0.0,,0.0,0.0,,,0.0,4779.0,,5000.0,23431.0,,4918.0,254.0,12896.0,21692.0,,119459.0,38481.0,15081.0,3478.0,54685.0,25311.0,,7652.0,858.0,,0.0,983.0,0.0,,2391.0,,,205.0,,,315.0,76155.0,21636.0,225245.02,,0.0,0.0,,0.0,,,,,0.0,0.0,56903.0,0.0,2041.0,,,0.0,-1.6e-07,200.0,0.0,0.0,,,,983.0,0.0,0.0,,,-4.0,-42.0
2006-03-31,398439.0,350365.0,5384.0,,51390.0,13990.0,,0.0,,0.0,0.0,,,0.0,5415.0,,4524.0,22309.0,,6615.0,254.0,13990.0,0.0,,398439.0,38681.0,16212.0,3246.0,43714.0,19528.0,,98.0,1043.0,,0.0,1017.0,0.0,,2250.0,,,-16881.0,,,426.0,351087.0,307373.0,400324.0,,0.0,0.0,,0.0,,,,,0.0,0.0,62429.0,0.0,2117.0,,,0.0,-2.465e-05,184.0,0.0,0.0,,,,1017.0,0.0,0.0,,,-69.0,-9868.0
2006-06-30,422662.0,177979.0,7442.0,,65659.0,17363.0,,0.0,,0.0,0.0,,,0.0,7652.0,,9145.0,29455.0,,7974.0,191103.0,17363.0,0.0,,422662.0,53133.0,25314.0,7319.0,51986.0,29663.0,,87.0,1604.0,,0.0,706.0,0.0,,1784.0,,,8799.0,,,706.0,359359.0,307373.0,400324.0,,0.0,0.0,,0.0,,,,,0.0,0.0,92082.0,0.0,12419.0,,,0.0,2.0660000000000002e-05,503.0,0.0,0.0,,,,706.0,0.0,0.0,,,-6.0,8272.0
2006-09-30,427971.0,194874.0,4532.0,,68999.0,18256.0,,8681.0,,0.0,0.0,,,0.0,7577.0,,2933.0,29808.0,,8400.0,181068.0,18256.0,0.0,,427971.0,52783.0,5923.0,5923.0,57436.0,32025.0,,83.0,23293.0,,0.0,777.0,0.0,,1662.0,,,5417.0,,,763.0,364809.0,307373.0,400324.0,,0.0,0.0,,0.0,,,,,0.0,0.0,94370.0,0.0,12438.0,,,0.0,1.361e-05,513.0,0.0,0.0,,,,777.0,0.0,0.0,,,-13.0,5450.0
2006-12-31,423015.0,199228.0,3793.0,,73599.0,17929.0,,0.0,,0.0,0.0,,,0.0,6490.0,,13692.0,31296.0,,10893.0,254.0,17929.0,187499.0,,423015.0,69986.0,23018.0,4123.0,42079.0,33738.0,,22708.0,488.0,,0.0,1251.0,0.0,,665.0,,,8680.0,,,749.0,349452.0,307373.0,400330.03,,0.0,0.0,,0.0,,,,,0.0,0.0,101110.0,0.0,12536.0,,,0.0,1.8e-05,815.0,0.0,0.0,,,,1251.0,22562.0,0.0,,,-56.0,7205.0
2007-03-31,413751.0,195442.0,95135.0,,72992.0,19238.0,,8007.0,,0.0,0.0,,,0.0,7483.0,,4805.0,29998.0,,11625.0,176078.0,19238.0,0.0,,413751.0,51818.0,22327.0,5567.0,42079.0,34556.0,,281.0,683.0,,0.0,1411.0,0.0,,552.0,,,9381.0,,,839.0,357835.0,307373.0,400330.03,,0.0,0.0,,0.0,,,,,0.0,0.0,101161.0,0.0,12778.0,,,0.0,2.094e-05,999.0,0.0,0.0,,,,1411.0,0.0,0.0,,,-43.0,8383.0
2007-06-30,423240.0,211030.0,110787.0,,76441.0,18989.0,,6694.0,,0.0,0.0,,,0.0,4418.0,,5299.0,33379.0,,11540.0,164745.0,18989.0,0.0,,423240.0,51978.0,27117.0,5000.0,42079.0,32925.0,,211.0,1004.0,,0.0,1601.0,0.0,,470.0,,,12057.0,,,838.0,367177.0,307373.0,400330.03,,0.0,0.0,,0.0,,,,,0.0,0.0,108328.0,0.0,12890.0,,,0.0,2.334e-05,820.0,0.0,0.0,,,,1601.0,0.0,0.0,,,-131.0,9342.0
2007-09-30,439758.0,234905.0,128771.0,,80192.0,19694.0,,7888.0,,0.0,0.0,,,0.0,3816.0,,6234.0,36575.0,,11443.0,156199.0,19694.0,0.0,,439758.0,58099.0,32772.0,5313.0,42079.0,32835.0,,207.0,1276.0,,0.0,2188.0,0.0,,367.0,,,12015.0,,,720.0,377010.0,307373.0,400330.03,,0.0,0.0,,0.0,,,,,0.0,0.0,112250.0,0.0,12971.0,,,0.0,2.456e-05,768.0,0.0,0.0,,,,2188.0,0.0,0.0,,,-62.0,9833.0
2007-12-31,444144.0,237936.0,137403.0,,77551.0,18768.0,,7477.0,,0.0,0.0,,,0.0,3686.0,,4062.0,38720.0,,10635.0,55.0,18768.0,151642.0,,444144.0,82490.0,28103.0,5469.0,49731.0,35242.0,,29888.0,1133.0,,0.0,2056.0,0.0,,250.0,,,14424.0,,,796.0,357104.0,307373.0,400330.03,,0.0,0.0,,0.0,,,,,0.0,0.0,117940.0,0.0,13019.0,,,0.0,2.417e-05,7224.0,0.0,0.0,,,,2056.0,29581.0,0.0,,,-148.0,9675.0
2008-03-31,430015.0,229811.0,118933.0,,84954.0,20376.0,,6612.0,,0.0,0.0,,,0.0,3313.0,,8019.0,40101.0,,11355.0,55.0,20376.0,149016.0,,430015.0,54210.0,30066.0,4761.0,61127.0,37110.0,,399.0,1025.0,,0.0,1951.0,0.0,,2108.0,,,14615.0,,,1360.0,368500.0,307373.0,400330.03,,0.0,0.0,,0.0,,,,,0.0,0.0,120932.0,0.0,13350.0,,,0.0,2.775e-05,1130.0,0.0,0.0,,,,1951.0,0.0,0.0,,,0.0,11108.0
