,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-03-31,-600.0,25366.0,0.0,13346.0,2489.0,,,355.0,,0.0,0.0,193904.0,,85.0,26499.0,,0.0,0.0,0.0,2686.0,,472404.0,0.0,,530929.0,74795.0,0.0,10088.0,1691.0,37995.0,829.0,-6841.0,0.0,0.0,,181634.0,181634.0,,680.0,1750.0,,0.0,,,9834.0,184070.0,-3.5860000000000006e-05,0.0,101246.0,2325.0,530929.0,,,,
2007-06-30,-14821.0,74583.0,0.0,38336.0,9353.0,,,355.0,,0.0,23711.0,156881.0,,78.0,49514.0,,0.0,0.0,0.0,-7151.0,,624903.0,0.0,,868976.0,333059.0,0.0,17203.0,0.0,279268.0,2334.0,0.0,0.0,0.0,,308464.0,308464.0,,0.0,3037.0,,0.0,,,0.0,156881.0,-6.824e-05,0.0,86618.0,1337.0,868976.0,,,,
2007-10-31,-51672.0,127975.0,0.0,69481.0,43772.0,,,355.0,,0.0,386.0,493482.0,,184.0,26770.0,,0.0,0.0,0.0,-3091.0,,645126.0,0.0,,1001786.0,124958.0,0.0,19171.0,15123.0,54174.0,824.0,0.0,0.0,0.0,,311244.0,311244.0,,899.0,3332.0,,0.0,,,0.0,493482.0,-2.817e-05,0.0,83207.0,2833.0,1001786.0,,,,
2007-12-31,-51210.0,116842.0,0.0,31453.0,9429.0,,,355.0,,0.0,0.0,799927.0,,0.0,33178.0,,0.0,0.0,0.0,-4970.0,,1154772.0,0.0,,1513192.0,95156.0,0.0,17365.0,7079.0,45332.0,999.0,0.0,0.0,0.0,,375898.0,375898.0,,0.0,2922.0,,0.0,,,0.0,799927.0,-4.294e-05,0.0,389190.0,5248.0,1513192.0,,,,
2008-03-31,-51593.0,60876.0,0.0,37166.0,4527.0,,,355.0,,0.0,13391.0,788497.0,,0.0,49624.0,,0.0,1848.0,0.0,-4940.0,,1141638.0,0.0,,1463432.0,109589.0,0.0,12693.0,13714.0,65574.0,907.0,0.0,0.0,0.0,,339058.0,339058.0,,4781.0,2606.0,,0.0,,,0.0,788497.0,-4.206e-05,0.0,378143.0,3820.0,1463432.0,,,,
2008-06-30,-43918.0,89435.0,0.0,44161.0,5513.0,,,355.0,,0.0,13669.0,785529.0,,0.0,46520.0,,0.0,1847.0,0.0,4289.0,,1313591.0,0.0,,1595422.0,252405.0,0.0,13175.0,14354.0,152464.0,1673.0,0.0,0.0,0.0,,316899.0,316899.0,,5558.0,7361.0,,0.0,,,0.0,785529.0,1.882e-05,0.0,367500.0,5039.0,1595422.0,,,,
2008-09-30,-66729.0,132320.0,0.0,103519.0,4663.0,,,355.0,,0.0,28605.0,752074.0,,0.0,47034.0,,0.0,0.0,0.0,-31378.0,,1350385.0,0.0,,1672438.0,217630.0,0.0,19375.0,0.0,134255.0,-3508.0,0.0,0.0,0.0,,445368.0,445368.0,,5331.0,6825.0,,0.0,,,0.0,752074.0,-0.00020050000000000002,0.0,356856.0,6721.0,1672438.0,,,,
2008-12-31,-86349.0,161250.0,0.0,52280.0,12014.0,,,0.0,,0.0,31426.0,723532.0,,0.0,51744.0,,0.0,0.0,0.0,-33753.0,,1438416.0,27620.0,,1810642.0,223587.0,0.0,25351.0,0.0,120748.0,2540.0,7.0,0.0,0.0,,668873.0,668873.0,,4515.0,7061.0,,0.0,,,29993.0,693539.0,-0.00026167000000000003,0.0,317941.0,3973.0,1810642.0,,,,
2009-03-31,-65154.0,88670.0,0.0,15424.0,14526.0,,,0.0,,0.0,34868.0,734635.0,,0.0,55698.0,,0.0,0.0,0.0,17145.0,,1485655.0,14530.0,,1796011.0,183791.0,0.0,30963.0,11377.0,76871.0,5810.0,31.0,0.0,1347.0,,688244.0,688244.0,,5709.0,11404.0,,0.0,,,29963.0,704672.0,8.196000000000001e-05,0.0,307879.0,5714.0,1796011.0,,,,
2009-06-30,-32937.0,68990.0,0.0,23525.0,18106.0,,,0.0,,0.0,31488.0,756967.0,,0.0,58811.0,,0.0,1907.0,0.0,25380.0,,1553306.0,13048.0,,1834337.0,237452.0,0.0,47055.0,10204.0,124360.0,3169.27,7.0,0.0,30093.0,,653864.0,653864.0,,8593.0,10769.0,,0.0,,,29955.0,727012.0,0.00015946,0.0,298002.0,6172.0,1834337.0,,,,
