,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-09-30,428513.0,338762.0,200024.0,,95051.0,0.0,,5339.0,,8694.0,780.0,,,,81405.0,106770.0,,,,163.0,0.0,1712.0,0.0,,428513.0,161651.0,0.0,17352.0,0.0,15559.0,107708.15,,0.0,,,80595.0,80595.0,,11605.0,0.0,,11770.0,,,73.0,133812.0,107685.0,0.0,,26127.0,,,,,,,,55114.0,0.0,9896.0,0.0,0.0,,0.0,73.0,0.0,0.0,0.0,0.0,,,,12088.0,-24.0,0.0,,,0.0,9896.0
2007-12-31,750282.0,656601.0,0.0,,135132.0,240217.0,,13049.0,,16990.0,26736.0,,,,56781.0,129334.0,,,,11766.0,0.0,2754.0,7410.0,,750282.0,176372.0,0.0,11166.0,0.0,26587.0,170137.21,,0.0,,,74735.0,74735.0,,5227.0,2103.0,,4167.0,,,1.0,445724.0,426520.0,0.0,,19204.0,,,,,,,,75524.0,0.0,-1696.0,0.0,0.0,,0.0,1.0,0.0,0.0,2103.0,0.0,,,,102.0,-2.0,0.0,,,-1.0,-1696.0
2008-03-31,741808.0,651044.0,0.0,,145696.0,257032.0,,10109.0,,23025.0,5776.0,,,,73761.0,0.0,,,,-6361.0,0.0,3719.0,7508.0,,741808.0,131132.0,0.0,81622.0,4962.0,23461.0,170136.13,,0.0,,,79610.0,79610.0,,5227.0,207.0,,4178.0,,,1.0,464565.0,426520.0,0.0,,38045.0,,,,,,,,70722.0,2913.0,11646.0,0.0,0.0,,0.0,1.0,0.0,0.0,207.0,0.0,,,,10490.0,0.0,0.0,,,-5.0,10632.0
2008-06-30,764981.0,647934.0,0.0,,157340.0,295999.0,,8691.0,,30699.0,4881.0,,,,101529.0,0.0,,,,-5193.0,0.0,3945.0,6692.0,,764981.0,162068.0,0.0,94848.0,8179.0,42358.0,170103.82,,0.0,,,52735.0,52735.0,,0.0,94.0,,4189.0,,,1.0,477977.0,426520.0,0.0,,51561.0,,,,,,,,82317.0,3197.0,7252.0,0.0,0.0,,0.0,1.0,0.0,0.0,94.0,0.0,,,,9797.0,0.0,0.0,,,4.0,6436.0
2008-09-30,971555.0,817144.0,0.0,,163094.0,286989.0,,12732.0,,43173.0,7076.0,,,,136802.0,0.0,,,,-9624.0,0.0,4724.0,5809.0,,971555.0,166397.0,0.0,81278.0,8517.0,58820.0,169340.29,,0.0,,,248874.0,248874.0,,0.0,363.0,,4199.0,,,2.0,488740.0,426520.0,0.0,,63638.0,,,,,,,,94590.0,3973.0,785.0,0.0,0.0,,0.0,2.0,0.0,0.0,363.0,0.0,,,,2618.0,0.0,0.0,,,0.0,-430.0
2008-12-31,906412.0,590824.0,0.0,,156009.0,164360.0,,14507.0,,0.0,142506.0,,,,149290.0,50349.0,,,,-9564.0,0.0,18264.0,5528.0,,906412.0,187325.0,0.0,22004.0,10423.0,74315.0,160229.97,,0.0,,,244075.0,244075.0,,0.0,1270.0,,4209.0,,,1.0,420780.0,426520.0,0.0,,-2465.0,,,,,,,,67638.0,4946.0,-7879.0,0.0,0.0,,0.0,1.0,0.0,0.0,1270.0,0.0,,,,-5189.0,0.0,0.0,,,1.0,-7879.0
2009-03-31,907408.0,585302.0,0.0,,178597.0,176217.0,,11654.0,,0.0,136557.0,,,,161595.0,41140.0,,,,-8052.0,0.0,19349.0,4605.0,,907408.0,184452.0,0.0,27170.0,10053.0,71575.0,160229.97,,0.0,,,258615.0,258615.0,,0.0,353.0,,4218.0,,,2.0,417691.0,426520.0,0.0,,-5554.0,,,,,,,,77892.0,8713.0,-2446.0,0.0,0.0,,0.0,2.0,0.0,0.0,353.0,0.0,,,,-1638.0,0.0,0.0,,,0.0,-3372.0
2009-06-30,933630.0,609287.0,0.0,,245733.0,171589.0,,16548.0,,0.0,132820.0,,,,168792.0,28496.0,,,,-7886.0,0.0,19004.0,3727.0,,933630.0,206952.0,0.0,29106.0,9438.0,101241.0,160229.97,,0.0,,,257175.0,257175.0,,0.0,505.0,,4227.0,,,2.0,426761.0,426520.0,0.0,,3516.0,,,,,,,,121539.0,8749.0,9748.0,0.0,0.0,,0.0,2.0,0.0,0.0,505.0,0.0,,,,12231.0,0.0,0.0,,,0.0,8822.0
2009-09-30,977796.0,691068.0,0.0,,368463.0,188862.0,,15657.0,,0.0,89087.0,,,,176778.0,26000.0,,,,-6900.0,0.0,17771.0,3092.0,,977796.0,219773.0,0.0,30728.0,10414.0,108614.0,160229.97,,0.0,,,266372.0,266372.0,,0.0,518.0,,4236.0,,,2.0,450510.0,426520.0,0.0,,27265.0,,,,,,,,179554.0,9987.0,24242.0,0.0,0.0,,0.0,2.0,0.0,0.0,518.0,0.0,,,,29310.0,0.0,0.0,,,0.0,23501.0
2009-12-31,1083486.976,870281.0240000001,137800.0,0.0,542176.0,190304.992,0.0,0.0,0.0,0.0,192299.008,0.0,0.0,2483.0,0.0,0.0,0.0,0.0,15199.0,174616.992,0.0,17889.0,3018.0,0.0,1083486.976,245584.0,0.0,24185.0,14454.0,114135.0,3235.0,10767.0,45461.0,33347.0,0.0,374879.008,342827.00800000003,0.0,21027.0,0.0,0.0,11025.0,0.0,0.0,676.0,462348.0,426520.0,4538.0,0.0,31290.0,0.0,0.0,0.0,0.0,0.0,189140.0,-7941.0,181199.008,-121476.0,59722.992,-13462.0,-10759.0,0.0,334.0,-4445.0,0.0,-3387.0,3816.0,-7203.0,0.0,0.0,0.0,28004.0,-3594.0,-1972.0,0.0,0.0,127.0,22565.0
2010-03-31,1445491.968,1233058.9440000001,402452.992,0.0,624401.9839999999,197386.0,0.0,0.0,0.0,8818.0,191522.0,0.0,0.0,2176.0,0.0,0.0,0.0,0.0,20743.0,168603.008,0.0,18109.0,2802.0,0.0,1445491.968,271167.00800000003,0.0,32810.0,13527.0,132868.0,4349.0,10767.0,37264.0,39582.0,0.0,680654.016,650253.0,0.0,19158.0,0.0,0.0,11243.0,0.0,0.0,688.0,492983.008,426520.0,11591.0,0.0,34565.0,20307.0,0.0,0.0,0.0,0.0,181624.992,-5636.0,175988.992,-121269.0,54720.0,-10737.0,-11553.0,0.0,44.0,-853.0,0.0,-4407.0,5785.0,-10192.0,0.0,0.0,0.0,27214.0,-2899.0,-4007.0,0.0,0.0,-1.0,20307.0
