,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-03-31,1082156000.0,311178000.0,52625000.0,,122781000.0,87071000.0,,2032000.0,0.0,7173000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,479018000.0,0.0,,1082156000.0,491046000.0,0.0,48509000.0,0.0,94721000.0,,,33121000.0,274745000.0,,143604000.0,143604000.0,,0.0,,,0.0,,,,182923000.0,0.0,124423000.0,,0.0,0.0,18412000.0,,,
2002-06-30,1143355000.0,326358000.0,23031000.0,,166421000.0,94668000.0,,-6713000.0,0.0,4780000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,505606000.0,0.0,,1143355000.0,590822000.0,0.0,83138000.0,0.0,92692000.0,,,31542000.0,338271000.0,,151089000.0,151089000.0,,0.0,,,0.0,,,,145736000.0,0.0,168075000.0,,0.0,0.0,18412000.0,,,
2002-09-30,1271044000.0,371461000.0,26205000.0,,240849000.0,101637000.0,,-61278000.0,0.0,11463000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,517919000.0,0.0,,1271044000.0,792422000.0,0.0,93216000.0,0.0,140244000.0,,,33542000.0,445556000.0,,136470000.0,136470000.0,,0.0,,,0.0,,,,81161000.0,0.0,242944000.0,,0.0,0.0,18412000.0,,,
2002-12-31,1229689000.0,324363000.0,65049000.0,,191544000.0,96882000.0,,-62558000.0,11019000.0,16585000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,515740000.0,0.0,,1229689000.0,716263000.0,0.0,76086000.0,0.0,224372000.0,,,30912000.0,322061000.0,,117123000.0,117123000.0,,0.0,,,0.0,,,,127530000.0,0.0,193432000.0,,175286000.0,0.0,18412000.0,,,
2003-03-31,1224823000.0,321225000.0,65615000.0,,219969000.0,89256000.0,,-99102000.0,7121000.0,18455000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,513336000.0,0.0,,1224823000.0,733953000.0,0.0,85208000.0,0.0,521537000.0,,,25022000.0,24707000.0,,146097000.0,146097000.0,,0.0,,,0.0,,,,149423000.0,0.0,221780000.0,,0.0,0.0,18412000.0,,,
2003-06-30,1268844000.0,358438000.0,87531000.0,,184156000.0,102296000.0,,-61424000.0,8036000.0,14355000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,506880000.0,0.0,,1268844000.0,741998000.0,0.0,99714000.0,0.0,503406000.0,,,30331000.0,25944000.0,,118599000.0,118599000.0,,0.0,,,0.0,,,,145731000.0,0.0,186330000.0,,0.0,0.0,18412000.0,,,
2003-09-30,1280745000.0,407480000.0,122911000.0,,191183000.0,111764000.0,,-59615000.0,6386000.0,12956000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,501471000.0,0.0,,1280745000.0,799230000.0,0.0,124009000.0,0.0,535114000.0,,,27776000.0,30256000.0,,106754000.0,106754000.0,,0.0,,,0.0,,,,102898000.0,0.0,193717000.0,,0.0,0.0,18412000.0,,,
2003-12-31,1453687000.0,474817000.0,115367000.0,,151290000.0,120554000.0,,47103000.0,7773000.0,10411000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,486786000.0,0.0,,1453687000.0,361439000.0,0.0,129710000.0,0.0,102581000.0,,,32442000.0,45471000.0,,334867000.0,334867000.0,,0.0,,,0.0,,,,135615000.0,0.0,156659000.0,,0.0,0.0,18412000.0,,,
2004-03-31,1494739000.0,549950000.0,121633000.0,,181893000.0,114105000.0,,81123000.0,10745000.0,8125000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,483784000.0,0.0,,1494739000.0,339392000.0,0.0,106228000.0,0.0,118451000.0,,,31860000.0,31417000.0,,481978000.0,481978000.0,,0.0,,,0.0,,,,145406000.0,0.0,187350000.0,,0.0,0.0,18412000.0,,,
2004-06-30,1525196000.0,585140000.0,104726000.0,,203773000.0,127755000.0,,89056000.0,18857000.0,8438000.0,0.0,,,,,,0.0,0.0,,0.0,0.0,480925000.0,0.0,,1525196000.0,315244000.0,0.0,117480000.0,0.0,64945000.0,,,31933000.0,38501000.0,,521239000.0,521239000.0,,0.0,,,0.0,,,,143219000.0,0.0,209394000.0,,0.0,0.0,18412000.0,,,
