,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2002-03-31,95968.0,48779.0,129.0,,-118.0,13808.0,,5365.0,0.0,0.0,4008.0,,,,,,17.0,1986.0,,21452.0,,25299.0,4008.0,,95968.0,47960.0,68014.0,0.0,379.0,0.0,0.0,,0.0,11095.0,,8662.0,10731.0,,2281.0,27954.0,,,,,,27954.0,0.0,10209.0,772.85,15408.0,10670.0,721.0,,,,,,16093.0,0.0,20542.0,21517.0,0.0,,1617.0,10731.0,,-623.0,-623.0,-0.00026806000000000003,,,,-0.00026806000000000003,,-0.00026806000000000003,,,,-0.00026806000000000003
2002-06-30,89157.0,42018.0,-288.0,,-1323.0,10549.0,,5473.0,0.0,0.0,3237.0,,,,,,138.0,1834.0,,25126.0,,24926.0,3237.0,,89157.0,52316.0,70394.0,0.0,423.0,0.0,0.0,,0.0,12196.0,,8823.0,8594.0,,8095.0,18763.0,,,,,,18763.0,0.0,9421.0,772.85,16712.0,1479.0,888.0,,,,,,16781.0,0.0,16949.0,23324.0,0.0,,1414.0,8594.0,,-10514.0,-10514.0,-0.00487864,,,,-0.00487864,,-0.00487864,,,,-0.00487864
2002-09-30,86508.0,40934.0,370.0,,-697.0,9779.0,,5486.0,0.0,0.0,2477.0,,,,,,80.0,2164.0,,32015.0,,24107.0,2477.0,,86508.0,66708.0,82483.0,0.0,401.0,-4.0,0.0,,0.0,12196.0,,10165.0,5281.0,,14618.0,4025.0,,,,,,4025.0,0.0,8834.0,772.85,14630.0,-13259.0,1038.0,,,,,,16952.0,0.0,19134.0,31071.0,0.0,,1627.0,5281.0,,-15435.0,-15435.0,-0.00782302,,,,-0.00782302,,-0.00782302,,,,-0.00782302
2002-12-31,83373.0,39036.0,153.0,,159.0,10977.0,,5590.0,0.0,0.0,1802.0,,,,,,43.0,2260.0,,30157.0,,23975.0,1802.0,,83373.0,60985.0,79398.0,0.0,0.0,-82.0,0.0,,0.0,12149.0,,10873.0,6248.0,,-571.0,3975.0,,,,,,3975.0,0.0,9745.0,772.85,12153.0,-13309.0,10.0,,,,,,19470.0,0.0,22825.0,28165.0,0.0,,1618.0,6248.0,,498.0,498.0,0.00018465000000000002,,,,0.00018465000000000002,,0.00018465000000000002,,,,0.00018465000000000002
2003-03-31,82785.0,38845.0,-610.0,,-98.0,14284.0,,6184.0,0.0,0.0,1489.0,,,,,,63.0,1964.0,,31472.0,,23266.0,1489.0,,82785.0,59863.0,78871.0,0.0,635.0,0.0,0.0,,0.0,12195.0,,11180.0,5972.0,,690.0,3914.0,,,,,,3914.0,0.0,9460.0,772.85,13828.0,-13370.0,953.0,,,,,,21904.0,0.0,25410.0,24394.0,0.0,,1468.0,5972.0,,-158.0,-158.0,-3.268e-05,,,,-3.268e-05,,-3.268e-05,,,,-3.268e-05
2003-06-30,76335.0,33814.0,209.0,,-107.0,10394.0,,6095.0,0.0,0.0,1198.0,,,,,,59.0,1935.0,,17086.0,,22210.0,1198.0,,76335.0,53933.0,76091.0,0.0,628.0,0.0,0.0,,0.0,12195.0,,11455.0,8643.0,,1192.0,244.0,,,,,,244.0,0.0,9632.0,772.85,12980.0,-17040.0,1371.0,,,,,,17947.0,0.0,18391.0,29515.0,809.0,,2936.0,8643.0,,-3794.0,-3794.0,-0.00200825,,,,-0.00200825,,-0.00200825,,,,-0.00200825
2003-09-30,68365.0,22776.0,1098.0,,-107.0,10172.0,,9411.0,0.0,-8344.0,0.0,,,,,,37.0,1693.0,,11742.0,,21337.0,0.0,,68365.0,46648.0,72967.0,0.0,546.0,903.0,0.0,,0.0,13163.0,,14413.0,9791.0,,6851.0,-4602.0,,,,,,-4602.0,0.0,6452.0,772.85,13338.0,-21886.0,1730.0,,,,,,13448.0,0.0,17257.0,27032.0,652.0,,2932.0,9791.0,,-4953.0,-4953.0,-0.00263954,,,,-0.00263954,,-0.00263954,,,,-0.00263954
2003-12-31,74995.0,21534.0,393.0,,-5840.0,11487.0,,10649.0,0.0,-12224.0,0.0,,,,,,78.0,2849.0,,11653.0,,24303.0,0.0,,74995.0,23665.0,71964.0,0.0,0.0,0.0,0.0,,0.0,17725.0,,15053.0,28466.0,,5353.0,3031.0,,,,,,3031.0,0.0,8675.0,772.85,13135.0,-14253.0,0.0,,,,,,10834.0,0.0,19094.0,7218.0,0.0,,3238.0,28466.0,,-836.0,-836.0,0.0027256,,,,0.0027256,,0.0027256,,,,0.0027256
2004-03-31,77697.0,24983.0,927.0,,0.0,10836.0,,9601.0,0.0,-12168.0,0.0,,,,,,57.0,2119.0,,12811.0,,23598.0,0.0,,77697.0,27803.0,74432.0,0.0,549.0,0.0,0.0,,0.0,18739.0,,17590.0,23891.0,,4020.0,3265.0,,,,,,3265.0,0.0,8290.0,772.85,17025.0,2862.0,984.0,,,,,,15214.0,0.0,22412.0,9094.0,0.0,,2676.0,23891.0,,227.0,227.0,0.00012364,,,,0.00012364,,0.00012364,,,,0.00012364
2004-06-30,80596.0,25301.0,498.0,,1020.0,12573.0,,14139.0,0.0,-12215.0,0.0,,,,,,52.0,2900.0,,14088.0,,22118.0,0.0,,80596.0,35534.0,75345.0,0.0,697.0,1118.0,0.0,,0.0,18262.0,,17941.0,16513.0,,-1498.0,5251.0,,,,,,5251.0,0.0,7577.0,772.85,16790.0,4848.0,1563.0,,,,,,20283.0,0.0,24615.0,14670.0,0.0,,3617.0,16513.0,,3013.0,3023.0,0.00108555,,,,0.00108555,,0.001091,,,,0.00108555
