,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-03-31,1890000.0,1060000.0,796000.0,0.0,122000.0,75000.0,,0.0,0.0,67000.0,380700.0,,0.0,0.0,0.0,,,0.0,34000.0,1271000.0,81000.0,684000.0,0.0,,1890000.0,273000.0,29000.0,77000.0,17000.0,131000.0,,0.0,19000.0,0.0,,266000.0,0.0,0.0,46000.0,34000.0,,0.0,,,415000.0,856000.0,0.0,0.0,0.0,0.0,422000.0,0.0,0.0,,
2000-06-30,1921100.0,1063600.0,780400.0,0.0,137700.0,76600.0,,0.0,0.0,68900.0,403100.0,,0.0,0.0,0.0,,,0.0,37100.0,1319100.0,82700.0,703700.0,0.0,,1921100.0,248000.0,35900.0,75000.0,15400.0,108100.0,,0.0,13600.0,0.0,,260600.0,0.0,0.0,59100.0,34300.0,,0.0,,,430400.0,888700.0,0.0,0.0,0.0,0.0,454800.0,0.0,0.0,,
2000-09-30,1981400.0,1111200.0,804100.0,0.0,141400.0,79900.0,,0.0,0.0,85800.0,429500.0,,0.0,0.0,0.0,,,0.0,40700.0,1349400.0,80500.0,714000.0,0.0,,1981400.0,257200.0,43600.0,68600.0,14100.0,114700.0,,0.0,16200.0,0.0,,276400.0,0.0,0.0,64100.0,34300.0,,0.0,,,441700.0,907700.0,0.0,0.0,0.0,0.0,473800.0,0.0,0.0,,
2000-12-31,2266600.0,1204000.0,862300.0,0.0,138600.0,100200.0,,0.0,2000.0,0.0,568800.0,,0.0,100900.0,0.0,,,0.0,48600.0,1554400.0,150600.0,787400.0,0.0,,2266600.0,323000.0,44700.0,86700.0,13200.0,134100.0,,0.0,44300.0,0.0,,291700.0,0.0,0.0,68800.0,28700.0,,0.0,,,508400.0,1046000.0,0.0,0.0,0.0,0.0,497300.0,0.0,0.0,,
2001-03-31,2086800.0,1235600.0,890900.0,0.0,162800.0,82700.0,,0.0,0.0,99200.0,463400.0,,0.0,0.0,0.0,,,0.0,51500.0,1324000.0,88100.0,672000.0,0.0,,2086800.0,369500.0,33800.0,78600.0,10000.0,205300.0,,0.0,41800.0,0.0,,295000.0,0.0,0.0,72900.0,25400.0,,0.0,,,423900.0,900100.0,0.0,0.0,0.0,0.0,466200.0,0.0,0.0,,
2001-06-30,2139800.0,1259000.0,893000.0,0.0,173900.0,82200.0,,0.0,0.0,109900.0,485000.0,,0.0,0.0,0.0,,,0.0,58900.0,1358600.0,86100.0,694100.0,0.0,,2139800.0,394800.0,39400.0,89100.0,11300.0,226500.0,,0.0,28500.0,0.0,,287300.0,0.0,0.0,75500.0,23600.0,,0.0,,,418200.0,940400.0,0.0,0.0,0.0,0.0,506500.0,0.0,0.0,,
2001-09-30,2021400.0,1123000.0,736000.0,0.0,173800.0,85100.0,,0.0,0.0,128100.0,528800.0,,0.0,0.0,0.0,,,0.0,62100.0,1233900.0,85900.0,709100.0,0.0,,2021400.0,381700.0,47200.0,108700.0,10300.0,199600.0,,0.0,15900.0,0.0,,297000.0,0.0,0.0,81600.0,27200.0,,0.0,,,436600.0,797300.0,0.0,0.0,0.0,0.0,363400.0,0.0,0.0,,
2001-12-31,1952000.0,1045200.0,656000.0,0.0,149200.0,94500.0,,0.0,3400.0,20900.0,528600.0,,0.0,121200.0,0.0,,,0.0,68100.0,1239700.0,88800.0,707900.0,0.0,,1952000.0,323900.0,50200.0,88400.0,7800.0,124500.0,,33600.0,19400.0,0.0,,290200.0,0.0,0.0,74200.0,24000.0,,0.0,,,439800.0,799900.0,0.0,0.0,0.0,0.0,366000.0,0.0,0.0,,
2002-03-31,1924100.0,1010300.0,608500.0,0.0,183600.0,81700.0,,0.0,0.0,136500.0,525500.0,,0.0,0.0,0.0,,,0.0,72600.0,1278000.0,89400.0,705100.0,0.0,,1924100.0,262800.0,41400.0,78200.0,12300.0,101600.0,,0.0,29300.0,0.0,,281100.0,0.0,0.0,78100.0,24100.0,,0.0,,,453700.0,824300.0,0.0,0.0,0.0,0.0,390400.0,0.0,0.0,,
2002-06-30,2045000.0,1105600.0,688600.0,0.0,214800.0,92600.0,,0.0,0.0,109600.0,600100.0,,0.0,0.0,0.0,,,0.0,74600.0,1339200.0,89700.0,720500.0,0.0,,2045000.0,288000.0,44600.0,89100.0,27800.0,103500.0,,0.0,23000.0,0.0,,316400.0,0.0,0.0,71900.0,29500.0,,0.0,,,472700.0,866500.0,0.0,0.0,0.0,0.0,432600.0,0.0,0.0,,
