,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-12-31,1567516.0,519601.0,18413.0,192976.0,163018.0,85897.0,,37467.0,9807.0,4548.0,16614.0,,,,,15033.0,,0.0,,,5211.0,799959.0,38514.0,,1567516.0,389471.0,374247.0,137686.0,34956.0,151312.0,,27093.0,0.0,13822.0,,389101.0,389101.0,,25807.0,0.0,,25510.0,,,0.0,737627.0,363265.0,0.0,,36192.0,0.0,,,0.0,
2003-03-31,1676554.0,584924.0,16262.0,186249.0,215884.0,102091.0,,36257.0,7743.0,12978.0,17416.0,,,,,14816.0,,0.0,,,5010.0,851470.0,0.0,,1676554.0,385684.0,412052.0,113665.0,0.0,171347.0,,27039.0,0.0,13916.0,,459870.0,459870.0,,27821.0,0.0,,27747.0,,,0.0,775432.0,363265.0,0.0,,59428.0,0.0,,,0.0,
2003-06-30,1669523.0,503153.0,11651.0,139620.0,172630.0,106356.0,,46342.0,12796.0,3671.0,16320.0,,,,,13919.0,,0.0,,,4327.0,920365.0,0.0,,1669523.0,358051.0,389055.0,100908.0,0.0,185739.0,,1877.0,0.0,14418.0,,461179.0,461179.0,,38123.0,0.0,,23523.0,,,0.0,788647.0,399592.0,0.0,,24702.0,0.0,,,0.0,
2003-09-30,1799195.0,530266.0,29203.0,154438.0,178067.0,99943.0,,38562.0,10967.0,9693.0,15996.0,,,,,13816.0,,0.0,,,4053.0,1013310.0,0.0,,1799195.0,381038.0,415328.0,111701.0,0.0,190943.0,,1569.0,0.0,14696.0,,528378.0,528378.0,,35094.0,0.0,,39765.0,,,0.0,814920.0,399592.0,0.0,,42849.0,0.0,,,0.0,
2003-12-31,1881766.0,480734.0,18149.0,115793.0,175158.0,100323.0,,43466.0,8248.0,7568.0,18823.0,,,,,21912.0,,0.0,,,2986.0,1113187.0,55001.0,,1881766.0,406752.0,406756.0,115952.0,32808.0,193922.0,,24088.0,0.0,15048.0,,567022.0,567022.0,,66390.0,0.0,,35254.0,,,0.0,806348.0,399592.0,0.0,,28894.0,0.0,,,0.0,
2004-03-31,2003284.0,542738.0,20969.0,118925.0,208529.0,130632.0,,35265.0,8551.0,8635.0,20566.0,,,,,21697.0,,0.0,,,2987.0,1168040.0,0.0,,2003284.0,467883.0,438822.0,154108.0,0.0,218487.0,,24020.0,0.0,15774.0,,586953.0,586953.0,,64584.0,0.0,,45450.0,,,0.0,838414.0,399592.0,0.0,,52997.0,0.0,,,0.0,
2004-06-30,2169689.0,623862.0,46629.0,148109.0,256182.0,111572.0,,27077.0,17102.0,6234.0,21630.0,,,,,23827.0,,0.0,,,2813.0,1224574.0,0.0,,2169689.0,497671.0,409974.0,171695.0,0.0,224146.0,,1813.0,0.0,18041.0,,651196.0,651196.0,,82896.0,0.0,,48442.0,,,0.0,889484.0,479510.0,0.0,,79207.0,0.0,,,0.0,
2004-09-30,2247388.0,684571.0,23661.0,157643.0,306849.0,138456.0,,26160.0,14363.0,6563.0,23226.0,,,,,24580.0,,0.0,,,3221.0,1236887.0,0.0,,2247388.0,449338.0,454015.0,148801.0,0.0,170912.0,,12605.0,0.0,16756.0,,714016.0,714016.0,,97797.0,0.0,,52712.0,,,0.0,933525.0,479510.0,0.0,,89254.0,0.0,,,0.0,
2004-12-31,2263053.0,671329.0,30371.0,148717.0,265237.0,158696.0,,39922.0,10368.0,8546.0,26412.0,,,,,21528.0,,0.0,,,2354.0,1253724.0,91285.0,,2263053.0,484232.0,466403.0,146566.0,64483.0,182693.0,,49695.0,0.0,17083.0,,660530.0,660530.0,,122022.0,0.0,,50356.0,,,0.0,945913.0,479510.0,0.0,,84556.0,0.0,,,0.0,
2005-03-31,2331063.0,693880.0,17385.0,161139.0,292089.0,156916.0,,31569.0,9410.0,14699.0,29267.0,,,,,23062.0,,11879.0,,,1835.0,1284402.0,0.0,,2331063.0,449466.0,534586.0,109277.0,0.0,170300.0,,49651.0,0.0,17896.0,,675153.0,675153.0,,135357.0,0.0,,56991.0,,,0.0,1014096.0,479510.0,0.0,,107927.0,0.0,,,0.0,
