,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2004-12-31,43472000.0,11930000.0,3917000.0,,-388000.0,2894000.0,,971000.0,,0.0,4606078.84,,,,0.0,,,1058000.0,,0.0,0.0,24798000.0,9327000.0,,43471000.0,0.0,0.0,2078000.0,1557000.0,3041000.0,662000.0,3230000.0,-13852000.0,1365000.0,,3862000.0,9045000.0,0.0,1038000.0,7444000.0,,0.0,,,2031000.0,18169000.0,20200000.0,0.0,,9045000.0,458000.0,0.0,0.0,,,,,7385000.0,0.0,0.0,,0.0,2031000.0,,0.0,0.0,0.0,0.0,-446000.0,,,,2487000.0,5560000.0,0.0,,,-511000.0,1216000.0
2005-03-31,44883000.0,11937000.0,3240000.0,,-74000.0,2964000.0,,946000.0,,0.0,4606078.84,,,,0.0,,,1012000.0,,0.0,0.0,26181000.0,8713000.0,,44882000.0,0.0,0.0,2130000.0,978000.0,2762000.0,-202000.0,0.0,-14166000.0,1327000.0,,3849000.0,9336000.0,0.0,1048000.0,7696000.0,,0.0,,,2153000.0,19784000.0,21937000.0,0.0,,9336000.0,358000.0,0.0,0.0,,,,,6720000.0,0.0,0.0,,0.0,2153000.0,,0.0,0.0,0.0,0.0,0.0,,,,2175000.0,4343000.0,0.0,,,-169000.0,1615000.0
2005-06-30,46955000.0,12386000.0,2744000.0,,-77000.0,3038000.0,,850000.0,,0.0,4606078.84,,,,0.0,,,1078000.0,,0.0,0.0,27370000.0,8195000.0,,46954000.0,0.0,0.0,2383000.0,1068000.0,3132000.0,-381000.0,0.0,-14415000.0,1573000.0,,4329000.0,7667000.0,0.0,931000.0,8721000.0,,0.0,,,2571000.0,23262000.0,25833000.0,0.0,,7667000.0,404000.0,0.0,0.0,,,,,9551000.0,0.0,0.0,,0.0,2571000.0,,0.0,0.0,0.0,0.0,0.0,,,,4914000.0,4256000.0,0.0,,,-375000.0,3478000.0
2005-09-30,48735000.0,12172000.0,2989000.0,,-13000.0,3130000.0,,828000.0,,0.0,4606078.84,,,,0.0,,,1078000.0,,0.0,0.0,29312000.0,7249000.0,,48734000.0,0.0,0.0,2212000.0,1169000.0,2336000.0,298000.0,0.0,-14764000.0,1487000.0,,4545000.0,7146000.0,0.0,1054000.0,9217000.0,,0.0,,,2770000.0,25971000.0,28741000.0,0.0,,7146000.0,424000.0,0.0,0.0,,,,,8805000.0,0.0,0.0,,0.0,2770000.0,,0.0,0.0,0.0,0.0,509000.0,,,,3755000.0,5348000.0,0.0,,,0.0,2991000.0
2005-12-31,52712000.0,12571000.0,2703000.0,,-105000.0,3235000.0,,0.0,,0.0,4606078.84,,,,0.0,,,0.0,,0.0,0.0,33768000.0,11666000.0,,52712000.0,0.0,542000.0,2684000.0,0.0,3537000.0,285000.0,0.0,0.0,1996000.0,,2865000.0,9066000.0,0.0,2112000.0,0.0,,0.0,,,2951000.0,24052000.0,27003000.0,0.0,,9066000.0,434000.0,0.0,0.0,,,,,8917000.0,0.0,0.0,,0.0,2951000.0,,33768000.0,0.0,0.0,1418000.0,699000.0,,,,3003000.0,6199000.0,0.0,,,-492000.0,2359000.0
2006-03-31,60182000.0,13714000.0,3877000.0,,-16000.0,3489000.0,,966000.0,,0.0,4862684.0,,,,0.0,,,994000.0,,0.0,7009000.0,34695000.0,10078000.0,,60182000.0,0.0,0.0,1850000.0,529000.0,3425000.0,0.0,0.0,-15543000.0,1313000.0,,4025000.0,10768000.0,0.0,1506000.0,11588000.0,,0.0,,,2077000.0,31728000.0,33805000.0,0.0,,10768000.0,436000.0,0.0,0.0,,,,,7965000.0,0.0,0.0,,0.0,2077000.0,,0.0,0.0,0.0,0.0,323000.0,,,,3017000.0,4948000.0,0.0,,,-247000.0,2185000.0
2006-06-30,63198000.0,14659000.0,4502000.0,,57000.0,3343000.0,,787000.0,,0.0,4860124.04,,,,0.0,,,945000.0,,0.0,6817000.0,36540000.0,8856000.0,,63198000.0,0.0,0.0,2002000.0,782000.0,3240000.0,-630000.0,0.0,-15716000.0,1391000.0,,4262000.0,10577000.0,0.0,1561000.0,11469000.0,,0.0,,,2363000.0,35579000.0,37942000.0,0.0,,10577000.0,512000.0,0.0,0.0,,,,,9780000.0,0.0,0.0,,0.0,2363000.0,,0.0,0.0,0.0,0.0,-968000.0,,,,4732000.0,4418000.0,0.0,,,-234000.0,3905000.0
2006-09-30,67886000.0,17533000.0,6580000.0,,14000.0,3443000.0,,738000.0,,0.0,4832372.0,,,,0.0,,,881000.0,,0.0,6722000.0,16836000.0,9507000.0,,67885000.0,0.0,0.0,2189000.0,1083000.0,3330000.0,34000.0,0.0,-9701000.0,1548000.0,,4362000.0,10842000.0,0.0,1597000.0,2143000.0,,0.0,,,2631000.0,38947000.0,41578000.0,0.0,,10842000.0,403000.0,0.0,0.0,,,,,11225000.0,0.0,0.0,,0.0,2631000.0,,0.0,0.0,0.0,0.0,637000.0,,,,5019000.0,6240000.0,0.0,,,-257000.0,3970000.0
2006-12-31,123009000.0,27169000.0,9778000.0,,143000.0,6369000.0,,0.0,,0.0,4832388.0,,,,0.0,,,0.0,,0.0,1856000.0,77611000.0,16643000.0,,123008000.0,0.0,1001000.0,5164000.0,2167000.0,3691000.0,382000.0,0.0,-17308000.0,1431000.0,,6481000.0,46004000.0,0.0,8782000.0,25069000.0,,0.0,,,6001000.0,39098000.0,45099000.0,0.0,,46004000.0,600000.0,0.0,0.0,,,,,16321000.0,0.0,0.0,,0.0,6001000.0,,0.0,0.0,0.0,9532000.0,2503000.0,,,,5164000.0,11539000.0,0.0,,,-371000.0,3373000.0
2007-03-31,125403000.0,26340000.0,8327000.0,,253000.0,6838000.0,,0.0,,0.0,4832390.0,,,,0.0,,,0.0,,0.0,0.0,79832000.0,16390000.0,,125405000.0,0.0,749000.0,5097000.0,1778000.0,4198000.0,0.0,0.0,0.0,1379000.0,,6475000.0,45586000.0,0.0,8024000.0,0.0,,0.0,,,4737000.0,44191000.0,48928000.0,0.0,,45586000.0,533000.0,0.0,0.0,,,,,16249000.0,0.0,0.0,,0.0,4737000.0,,79832000.0,-253000.0,0.0,11515000.0,321000.0,,,,7618000.0,8631000.0,0.0,,,-449000.0,5094000.0
2007-06-30,128073000.0,21741000.0,3652000.0,,935000.0,6812000.0,,0.0,,0.0,4832390.0,,,,0.0,,,0.0,,0.0,0.0,86666000.0,13118000.0,,128070000.0,0.0,934000.0,3983000.0,2717000.0,2196000.0,1261000.0,0.0,0.0,1646000.0,,6433000.0,36273000.0,0.0,14231000.0,0.0,,0.0,,,4920000.0,53098000.0,58018000.0,0.0,,36273000.0,495000.0,0.0,0.0,,,,,17809000.0,0.0,0.0,,0.0,4920000.0,,86666000.0,-935000.0,0.0,12729000.0,637000.0,,,,9475000.0,9595000.0,0.0,,,-436000.0,5843000.0
2007-09-30,130508000.0,23271000.0,4878000.0,,644000.0,7063000.0,,0.0,,0.0,4832391.0,,,,0.0,,,0.0,,0.0,0.0,88015000.0,13263000.0,,130509000.0,0.0,1109000.0,4143000.0,2784000.0,2149000.0,197000.0,0.0,0.0,1432000.0,,6555000.0,33275000.0,0.0,14372000.0,0.0,,0.0,,,5286000.0,57757000.0,63043000.0,0.0,,33275000.0,509000.0,0.0,0.0,,,,,15621000.0,0.0,0.0,,0.0,5286000.0,,88015000.0,-644000.0,0.0,12179000.0,787000.0,,,,6677000.0,9141000.0,0.0,,,-385000.0,4660000.0
2007-12-31,132896000.0,21152000.0,2128000.0,,573000.0,7258000.0,,0.0,,0.0,4832391.0,,,,0.0,,,0.0,,0.0,0.0,91959000.0,19345000.0,,132897000.0,0.0,1576000.0,4294000.0,2808000.0,3376000.0,0.0,0.0,0.0,2539000.0,,6996000.0,32445000.0,0.0,12398000.0,0.0,,0.0,,,4683000.0,57029000.0,61712000.0,0.0,,32445000.0,800000.0,0.0,0.0,,,,,15084000.0,0.0,0.0,,0.0,4683000.0,,91959000.0,-573000.0,0.0,12834000.0,1070000.0,,,,4875000.0,10209000.0,0.0,,,-284000.0,4408000.0
2008-03-31,135117000.0,23358000.0,4275000.0,,344000.0,7143000.0,,0.0,,0.0,4832391.0,,,,0.0,,,0.0,,0.0,0.0,92214000.0,18352000.0,,135117000.0,0.0,0.0,4388000.0,1614000.0,3667000.0,139000.0,0.0,-22975000.0,3931000.0,,6591000.0,34410000.0,0.0,11816000.0,22311000.0,,0.0,,,4665000.0,59283000.0,63948000.0,0.0,,34410000.0,520000.0,0.0,0.0,,,,,14125000.0,0.0,0.0,,0.0,4665000.0,,0.0,-344000.0,0.0,12175000.0,358000.0,,,,3886000.0,10378000.0,0.0,,,-35000.0,3181000.0
2008-06-30,133901000.0,23149000.0,3746000.0,,266767.0,7304000.0,,0.0,,0.0,4832391.0,,,,0.0,,,0.0,,0.0,0.0,91090000.0,15444000.0,,133901000.0,0.0,0.0,4326000.0,2321000.0,2374000.0,0.0,0.0,-23548000.0,3777000.0,,5734000.0,32362000.0,0.0,11303000.0,23743000.0,,0.0,,,4870000.0,64188000.0,69058000.0,0.0,,32362000.0,563278.0,0.0,0.0,,,,,18335296.0,0.0,0.0,,0.0,4870000.0,,0.0,-266767.0,0.0,11170000.0,149365.0,,,,10698607.0,7636689.0,0.0,,,-222577.0,7904848.0
2008-09-30,174241000.0,55445000.0,28385000.0,,304002.0,8458000.0,,0.0,,0.0,5278381.0,,,,0.0,,,0.0,,0.0,0.0,100408000.0,17146000.0,,174241000.0,0.0,0.0,5593000.0,1837000.0,2797000.0,0.0,0.0,-26243000.0,4273000.0,,6447000.0,36671000.0,0.0,12905000.0,27648000.0,,0.0,,,5521000.0,95551000.0,101072000.0,0.0,,36671000.0,599957.0,0.0,0.0,,,,,20698001.0,0.0,0.0,,0.0,5521000.0,,0.0,-304002.0,0.0,11177000.0,716657.0,,,,7779030.0,12918971.0,0.0,,,-137558.0,7752836.0
2008-12-31,185781000.0,56059000.0,24639000.0,,409580.0,9686000.0,,-199000.0,,0.0,5213512.0,,,,5990000.0,,,0.0,,0.0,0.0,110494000.0,18639000.0,,185781000.0,0.0,0.0,5410000.0,1611000.0,2670000.0,-121.0,2949000.0,-27272000.0,4114000.0,,9893000.0,42694000.0,0.0,12198000.0,31335000.0,,0.0,,,6081000.0,96276000.0,102357000.0,0.0,,42694000.0,1641866.0,0.0,0.0,,,,,17381994.0,0.0,0.0,,0.0,6081000.0,,0.0,1106000.0,0.0,10728000.0,3987146.0,,,,9124.0,17372749.0,0.0,,,-35217.0,2439179.0
2009-03-31,187954000.0,52717000.0,21320000.0,,-13000.0,9136000.0,,0.0,,0.0,5212680.49,,,,5200000.0,,,0.0,,0.0,0.0,115170000.0,17837000.0,,187954000.0,0.0,0.0,4313000.0,988000.0,2841000.0,0.0,2735000.0,-27982000.0,4861000.0,,10021000.0,42527000.0,0.0,12940000.0,31271000.0,,0.0,,,6016000.0,98613000.0,104629000.0,0.0,,42527000.0,485000.0,0.0,0.0,,,,,12916000.0,0.0,0.0,,0.0,6016000.0,,0.0,13000.0,0.0,10591000.0,885000.0,,,,3801000.0,9115000.0,0.0,,,108000.0,3151000.0
2009-06-30,171268590.0,41039151.0,16332857.0,,-50021.0,8204776.0,,0.0,,0.0,5212691.08,,,,-321150.0,,,0.0,,1999.0,0.0,111097194.0,12013519.0,,171268097.0,0.0,0.0,3897772.0,772281.0,2091378.0,295722.0,0.0,-28865120.0,3144009.0,,8276899.0,38303736.0,0.0,13636735.0,30560007.0,,0.0,,,4478132.0,94559569.0,99037701.0,0.0,,38303736.0,427055.0,0.0,0.0,,,,,10691504.0,0.0,0.0,,0.0,4478132.0,,0.0,50021.0,0.0,10199050.0,734955.0,,,,5107907.0,5879319.0,0.0,,,-109343.0,1464967.0
2009-09-30,175305739.0,42286729.0,15560596.0,,-30262.0,6934086.0,,0.0,,0.0,5212724.29,,,,-2265330.0,,,0.0,,24195.0,0.0,111824376.0,16337598.0,,175305572.0,0.0,0.0,3758459.0,1376209.0,4316736.0,128555.0,0.0,-29708406.0,4782918.0,,8435510.0,35261112.0,0.0,13507366.0,30417251.0,,0.0,,,4598841.0,97165312.0,101764153.0,0.0,,35261112.0,577020.0,0.0,0.0,,,,,13208029.0,0.0,0.0,,0.0,4598841.0,,0.0,30262.0,0.0,10366480.0,648618.0,,,,4930296.0,8406288.0,0.0,,,-97949.0,2986829.0
2009-12-31,175739060.224,38257233.92,13220598.784000002,0.0,5888848.896000001,5913024.0,0.0,0.0,0.0,13234759.68,7604665.856000001,0.0,0.0,285894.016,0.0,0.0,0.0,0.0,64037.0,7254734.847999999,4589890.048,115160408.064,10126859.264,0.0,175739060.224,17418428.415999997,0.0,3848855.04,622710.0160000001,5951438.847999999,33468.0,2907282.9439999997,2254914.048,1799760.0,0.0,56776224.768,36126191.616,103491.0,11759325.184,0.0,0.0,8787220.48,0.0,0.0,5807426.0479999995,95736979.456,47434190.848000005,4426240.0,0.0,46801510.4,0.0,-2924972.0319999997,0.0,0.0,0.0,12047888.384000001,-366694.016,11681193.984000001,-7199700.992000001,4481494.016,-115624.992,-588789.12,0.0,-1186465.92,-331505.408,22447.0,-459647.87200000003,15494043.648,-15953692.672,-331137.984,-331137.984,0.0,1490770.9440000001,1205813.248,0.0,0.0,0.0,-68488.992,2628093.952
2010-03-31,184338169.85599998,39787491.328,20266872.832000002,0.0,7255917.056,6395000.832,0.0,0.0,0.0,5869704.192000001,10769717.248,0.0,0.0,303984.0,0.0,0.0,0.0,0.0,81203.0,10384530.432,4579462.143999999,106428022.784,22773475.328,0.0,184338169.85599998,19464916.992,0.0,4101376.0,459124.992,8099469.824,30642.0,3010580.992,2393595.904,1370125.0559999999,0.0,59074203.648,36074287.104,102704.0,13489074.175999999,0.0,0.0,9408140.287999999,0.0,0.0,5793199.103999999,100005855.23200001,47434190.848000005,4426240.0,0.0,46801510.4,8780408.832,-7436500.992000001,0.0,0.0,0.0,13029349.375999998,-446027.008,12583321.6,-6635200.0,5948122.112000001,-86855.0,-478632.0,0.0,-256440.992,-1101644.0320000001,7214.0,-1336700.0320000001,367841.984,-1704541.9519999998,-224448.0,-224448.0,0.0,2470616.0640000002,353447.008,0.0,0.0,0.0,55281.0,2879344.128
2010-06-30,199471972.352,46563696.64,11847271.424,0.0,11057996.8,7369144.832,0.0,0.0,0.0,16289283.072,8857529.344,0.0,0.0,248712.992,0.0,0.0,0.0,0.0,24735.0,8584080.896,4147641.088,115799465.984,24103632.895999998,0.0,199471972.352,23652800.512,0.0,5196466.176,573110.0160000001,8120791.04,35844.0,711148.032,7348764.16,1666678.0159999998,0.0,64491937.791999996,36004585.471999995,103000.0,18979760.128,0.0,0.0,9404588.032,0.0,0.0,5715051.007999999,105612173.312,49999998.976,3337657.088,0.0,45271556.096,15577762.816,-8574800.896,0.0,0.0,0.0,18980976.64,-510862.016,18470115.327999998,-7732374.016,10737740.8,-123359.0,-540494.0160000001,0.0,-407396.992,-658619.0079999999,36954.0,-1015796.9920000001,642564.9920000001,-1658361.9840000002,-11870.0,-11870.0,0.0,8017159.168,-1298342.0159999998,0.0,0.0,0.0,-84034.0,6634783.232000001
2010-09-30,209939415.04,54095454.208000004,16949476.352,0.0,13344035.84,7773317.12,0.0,0.0,0.0,16028627.968,8869291.008,0.0,0.0,258454.0,0.0,0.0,0.0,0.0,859.0,8609978.367999999,4699889.152,117948071.936,24326696.96,0.0,209939415.04,26867795.968000002,0.0,6140598.784,1744797.9519999998,7239507.967999999,12711.0,711148.032,9036786.688,1982243.968,0.0,64678428.672,38160388.096,109474.0,17389975.552,0.0,0.0,9018591.232,0.0,0.0,4167152.128,114226020.35200001,49999998.976,4022690.048,0.0,43784744.96,25968877.568000004,-9550286.848,0.0,0.0,0.0,26376232.96,-697907.968,25678323.711999997,-9003915.264,16674409.472000001,-133481.0,-646736.0,0.0,251618.0,-1530675.968,-56183.0,64725.0,148510.0,-83785.0,14610.0,14610.0,0.0,14638285.824000001,-3970253.0560000003,0.0,0.0,0.0,-114345.0,10553688.064
2010-12-31,214662119.42400002,54267830.272,13468957.695999999,0.0,14052471.808,7592024.063999999,0.0,2795557.12,0.0,16358822.912,8088196.096,0.0,0.0,274464.0,0.0,0.0,2439984.128,254366.0,8032.0,5111349.76,3945462.0160000003,130086830.08,18273787.904,0.0,214662119.42400002,31384172.544,0.0,5803708.927999999,1751239.04,6010869.248,24251.0,8104036.864,0.0,9690065.92,0.0,66951081.984,37779484.672,3362.0,0.0,12947140.608,0.0,16221091.84,0.0,0.0,4208859.904,112118007.04,49999998.976,3993820.9280000003,0.0,67661791.232,0.0,-25383.0,-9512224.768,0.0,0.0,0.0,0.0,26493247.488,-10384578.56,16108666.88,-234269.984,-957105.152,0.0,-155678.016,-1918831.872,-36066.0,-475626.75200000004,1977378.9440000001,-2453006.336,0.0,0.0,0.0,12552798.207999999,4915148.288,0.0,0.0,0.0,-208342.97600000002,10002237.44
2011-03-31,217320210.432,46568992.768,19138881.536,0.0,12815632.384000001,8310414.847999999,0.0,2926240.0,0.0,3377824.0,10044401.663999999,0.0,0.0,499396.0,0.0,0.0,2597278.976,422444.992,15807.0,6509474.816000001,9963231.232,132008067.07200001,18735517.696,0.0,217320210.432,21962891.264000002,0.0,6739356.16,1634214.0159999998,3667357.952,34319.0,6435079.168,0.0,3452567.04,0.0,68372295.68,37625077.76,236.0,0.0,14115011.584,0.0,16631972.864,0.0,0.0,4286925.056,122698102.528,49999998.976,3977716.992,0.0,67661791.232,11290983.424,-15554.0,-10216841.216,0.0,0.0,0.0,0.0,22985283.584000003,-9513771.008,13471511.552000001,-108020.0,-648033.9839999999,0.0,2621154.048,-1418348.032,17674.0,-267883.00800000003,881068.9920000001,-1148952.064,0.0,0.0,0.0,13668055.04,0.0,0.0,0.0,0.0,90096.0,11290983.424
2011-06-30,222235607.04,50617757.696,21323360.255999997,0.0,13350412.287999999,8762906.624,0.0,3524295.936,0.0,3656780.0319999997,8714355.712000001,0.0,0.0,476590.016,0.0,0.0,1781352.96,398192.992,24718.0,6033502.208,9772688.384,134593150.976,18537641.984,0.0,222235607.04,25651017.728,1654360.96,7142336.0,6895872.0,4136476.9280000003,14120.0,3286054.912,0.0,2521797.12,0.0,62034599.936000004,36869132.288,19052.0,0.0,9556979.712000001,0.0,15589437.44,0.0,0.0,4107403.008,130442584.32,74999996.41600001,2077331.968,0.0,44529000.448,21566341.12,212418.0,-12942515.2,0.0,0.0,0.0,0.0,25063251.968000002,-9396840.447999999,15666410.496,-87226.0,-656942.0160000001,0.0,0.0,-1757255.04,81176.0,924910.9759999999,2211077.12,-1286166.0159999998,0.0,0.0,0.0,14171074.56,-2852316.9280000003,-1138706.9440000001,0.0,0.0,95308.0,10275358.72
2011-09-30,239097331.712,50422067.2,14674488.32,0.0,16645069.824000001,9983148.032,0.0,3999774.9760000003,0.0,5119586.816000001,11011599.36,0.0,0.0,534796.0,0.0,0.0,3815612.9280000003,278408.99199999997,15711.0,6367070.208,10810285.056,148098744.32,18754627.584000003,0.0,239097331.712,23473448.96,2098625.024,8732002.304,2486735.1040000003,4087700.992,34031.0,3292733.952,0.0,2741618.9439999997,0.0,69937242.112,41831686.144,0.0,0.0,10703255.552000001,0.0,17402292.224,0.0,0.0,4626467.84,141060174.848,74999996.41600001,2010715.0080000001,0.0,41208877.056,24604377.088000003,470305.984,-2234096.128,0.0,0.0,0.0,0.0,28009191.424000002,-10443229.184,17565964.288,-281897.984,-857430.016,0.0,0.0,-1982413.9519999998,28414.0,-6129122.816000001,1006169.984,-7135292.927999999,0.0,0.0,0.0,8343513.0879999995,-1990712.96,1497244.032,0.0,0.0,42892.0,7892936.192000001
2011-12-31,241783111.68,42095214.592,7457928.192000001,0.0,16304722.944,10351084.544,0.0,4317177.856000001,0.0,3664302.08,10913071.104,0.0,0.0,399297.984,0.0,0.0,3691552.0,505571.008,904036.9920000001,5412613.12,10917109.76,158105387.008,19752321.024,0.0,241783111.68,22225074.176,2527258.1119999997,9156706.304,2037588.9919999999,3871650.048,32098.0,2207100.9280000003,0.0,2392672.0,0.0,72867667.968,42752774.144,229632.0,0.0,10772546.56,0.0,19112718.336,0.0,0.0,3214969.088,143475406.592,74999996.41600001,1085105.024,0.0,68187447.296,0.0,219556.0,-1016710.9759999999,0.0,0.0,0.0,0.0,27137679.36,-11135033.344,16002650.112,-176117.02399999998,-1429091.84,0.0,-128978.944,-2656985.088,-178791.008,-1150451.2,552000.512,-1702452.2240000002,0.0,0.0,0.0,10282237.952,4843030.016,-358537.088,0.0,0.0,185203.008,8354443.2639999995
2012-03-31,242568101.88799998,40794046.464,9010805.76,0.0,14324738.048,10155594.752,0.0,3622274.048,0.0,3680634.1119999997,10909032.447999999,0.0,0.0,382696.992,0.0,0.0,3917462.0160000003,454052.0,932774.9759999999,5222046.208000001,15816422.4,157088923.648,17959669.76,0.0,242568101.88799998,19872120.832000002,1380148.9919999999,8493405.184,1132588.0320000001,4329546.752,36208.0,2207100.9280000003,0.0,2293122.048,0.0,70547087.36,41189224.448,143184.0,0.0,10453979.136,0.0,18760699.904,0.0,0.0,3036422.912,149112462.592,74999996.41600001,1030531.968,0.0,68187455.488,6720399.872,233044.992,-2058977.024,0.0,0.0,0.0,0.0,19591174.144,-10049383.424,9541790.72,-91010.0,-843393.0240000001,0.0,0.0,-1717874.9440000001,437020.0,221388.992,1480155.0080000001,-1258765.952,0.0,0.0,0.0,7547921.92,-1435730.0480000002,505136.992,0.0,0.0,103071.0,6720399.872
2012-06-30,253501358.08,41205526.528000005,8117668.864,0.0,14670203.904000001,10501883.904,0.0,4309765.12,0.0,3606003.9680000003,10959810.56,0.0,0.0,456824.992,0.0,0.0,3774883.0719999997,702411.0079999999,851291.0079999999,5174401.024,16037262.336,167217184.768,18081570.816,0.0,253501358.08,18403796.992,1976060.032,8908928.0,841596.032,3998433.0239999997,38061.0,0.0,2315170.048,325550.016,0.0,74481549.31199999,46609764.352,157992.992,9216461.824,8072259.072000001,0.0,10425075.712000001,0.0,0.0,3115109.8880000003,157500895.744,74999996.41600001,-458168.992,0.0,70266478.592,8760166.4,-1089328.0,5021746.176,0.0,0.0,0.0,0.0,23404892.16,-11670292.48,11734598.656,-255119.008,-951606.016,0.0,0.0,-2699561.9839999997,309600.0,-5144382.976,421320.0,-5565703.168,0.0,0.0,0.0,2993529.088,-99724.0,2286459.904,0.0,0.0,133401.0,5313666.048
2012-09-30,272265084.928,50607919.103999995,16105086.976,1387282.9440000001,14020866.048,10434050.048,0.0,3627826.9439999997,0.0,5032807.936000001,12040270.848,0.0,0.0,362017.984,0.0,0.0,5013850.112,349224.0,1101755.008,5213424.1280000005,16601314.304000001,174360150.01599997,18655436.8,0.0,272265084.928,20958267.392,2151717.12,9227404.287999999,2438909.952,4134848.0,400040.0,0.0,2173201.92,353912.0,78235.0,84719345.66399999,54487994.368,164679.008,10177301.504,8215300.096,0.0,11674062.848,0.0,0.0,3079984.896,163507480.83200002,74999996.41600001,-454391.008,0.0,70266478.592,12088250.367999999,-1056190.0159999998,7663344.128,0.0,0.0,0.0,0.0,21759664.128000002,-12364942.336,9394722.816,-95977.0,-956865.0240000001,0.0,0.0,-2902199.04,313868.99199999997,-1844736.0,320230.016,-2164965.8880000003,0.0,0.0,0.0,3908815.104,-2184591.872,1438023.936,0.0,0.0,165836.0,3328082.9439999997
2012-12-31,266921639.936,46039617.536000006,11917717.504,0.0,14670865.408,10319973.376,0.0,4619900.928,0.0,4511160.8319999995,15560930.304000001,0.0,0.0,501726.016,0.0,0.0,8134033.92,0.0,832571.0079999999,6092598.784,13044459.52,173454622.72,18822027.264000002,0.0,266921639.936,25668298.751999997,3024651.008,9255149.568,1974208.0,7092877.824,423336.0,0.0,0.0,3571524.0960000004,326551.00800000003,85620146.176,54762975.232,146440.0,0.0,7753892.864,0.0,22956832.768000003,0.0,0.0,3245026.048,152388195.584,74999996.41600001,-789636.9920000001,0.0,70611673.088,0.0,-1126627.9679999999,8692782.08,0.0,0.0,0.0,0.0,28755755.008,-17912766.464,10842980.352,-121043.008,-1066208.0,-12213468.16,0.0,-3844170.752,180100.09600000002,-1637377.024,397639.936,-2035016.7040000001,0.0,0.0,0.0,-7859182.08,3720046.08,-4229620.7360000005,0.0,0.0,98453.984,-5628452.864
2013-03-31,268785156.09599996,46178553.856000006,12197111.808,0.0,13152253.952,10884789.248,0.0,4660873.216,0.0,5283522.048,16043283.455999998,0.0,0.0,519172.992,0.0,0.0,8578269.184,0.0,819380.9920000001,6126459.904,12922618.88,174850850.81599998,18789840.895999998,0.0,268785156.09599996,22992971.776,1718215.936,8265281.024,2087410.9440000001,6559690.24,392308.992,0.0,0.0,3613498.1119999997,356567.008,89274277.888,53874446.336,115743.0,0.0,7074105.856000001,0.0,28209985.536,0.0,0.0,3096316.9280000003,153421575.16799998,74999996.41600001,-789636.9920000001,0.0,70611673.088,6349189.12,-4235025.92,6485369.856000001,0.0,0.0,0.0,0.0,21800964.096,-11438127.104,10362838.016,-77031.0,-669339.0079999999,0.0,0.0,-1339101.0559999999,341539.008,-666003.0079999999,1278062.976,-1944066.0480000002,0.0,0.0,0.0,7952903.168,-2196291.0719999997,329940.99199999997,0.0,0.0,114078.0,6200630.784
