,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,819471.0,719673.0,71187.0,,0.0,0.0,,0.0,0.0,2362.0,0.0,,,69638.0,0.0,9526.0,,590926.0,0.0,33645.0,0.0,30160.0,0.0,,819471.0,326366.0,0.0,7417.0,25701.0,0.0,174424.0,,0.0,0.0,,8260.0,,448987.0,0.0,30160.0,,785954.0,,,,33517.0,29915.0,,,,3602.0,,,,
2007-06-30,1364673.0,788324.0,77704.0,,0.0,0.0,,0.0,0.0,-166.0,0.0,,,541622.0,0.0,9336.0,,172717.0,0.0,712079.0,0.0,31461.0,0.0,,1364673.0,240954.0,0.0,8940.0,27728.0,0.0,177057.0,,0.0,0.0,,9126.0,,401460.0,0.0,31461.0,,652594.0,,,,712079.0,785915.0,,,,-73836.0,,,,
2007-09-30,1447991.0,905251.0,70821.0,,0.0,0.0,,0.0,0.0,1830.0,0.0,,,488433.0,0.0,12245.0,,374885.0,0.0,720921.0,0.0,32913.0,0.0,,1447991.0,260927.0,0.0,11305.0,29064.0,0.0,196352.0,,0.0,0.0,,9996.0,,452845.0,0.0,32913.0,,727070.0,,,,720921.0,785915.0,,,,-64994.0,,,,
2007-12-31,1456127.0,987669.0,75466.0,,0.0,0.0,,0.0,0.0,2160.0,0.0,,,133170.0,0.0,15245.0,,645358.0,43626.0,724448.0,0.0,0.0,0.0,,1456127.0,311915.0,0.0,17546.0,32151.0,0.0,240013.0,,236455.0,0.0,,131857.0,,287425.0,0.0,33666.0,,731679.0,,,,724448.0,785915.0,,,,-61467.0,,,,
2008-03-31,1574188.0,1038745.0,119121.0,,0.0,0.0,,0.0,0.0,1433.0,0.0,,,161497.0,0.0,32109.0,,705870.0,58481.0,730470.0,0.0,0.0,0.0,,1574188.0,306457.0,24304.0,20291.0,38031.0,0.0,219490.0,,243114.0,0.0,,131535.0,,327883.0,0.0,35360.0,,843718.0,,,,730470.0,785915.0,,,,-55445.0,,,,
2008-06-30,1655467.0,982058.0,167918.0,,0.0,0.0,,0.0,0.0,1957.0,0.0,,,194535.0,0.0,41350.0,,656909.0,71642.0,731049.0,0.0,0.0,0.0,,1655467.0,363718.0,66805.0,33140.0,43836.0,0.0,216681.0,,331020.0,0.0,,132021.0,,290456.0,0.0,39221.0,,924418.0,,,,731049.0,785915.0,,,,-54866.0,,,,
2008-09-30,1714766.0,868794.0,201781.0,,0.0,0.0,,0.0,0.0,2787.0,0.0,,,216134.0,0.0,45286.0,,507207.0,79066.0,709240.0,0.0,0.0,0.0,,1714766.0,314211.0,59699.0,26978.0,51196.0,0.0,174858.0,,472186.0,0.0,,128470.0,,306949.0,0.0,41446.0,,1005526.0,,,,709240.0,785915.0,,,,-76675.0,,,,
2008-12-31,1667026.0,894681.0,210909.0,,0.0,0.0,,0.0,0.0,10251.0,0.0,,,190505.0,0.0,52313.0,,555064.0,8614.0,618337.0,0.0,0.0,14697.0,,1667026.0,405441.0,87167.0,28190.0,58171.0,0.0,176710.0,,498216.0,14697.0,,125907.0,,236328.0,0.0,60313.0,,1048689.0,,,,618337.0,785915.0,,,,-167578.0,,,,
2009-03-31,1817525.0,966192.0,219344.0,,0.0,0.0,,0.0,0.0,1548.0,0.0,,,222973.0,0.0,29275.0,,516664.0,7999.0,763122.0,0.0,0.0,14974.0,,1817525.0,442864.0,141412.0,22795.0,60157.0,0.0,169105.0,,550375.0,14974.0,,124014.0,,244707.0,0.0,55012.0,,1054403.0,,,,763122.0,948551.0,,,,-185429.0,,,,
2009-06-30,1795618.0,950626.0,294290.0,,0.0,0.0,,0.0,0.0,1906.0,0.0,,,193723.0,0.0,28887.0,,464445.0,6601.0,757642.0,0.0,0.0,14984.0,,1795618.0,454298.0,174556.0,20586.0,64456.0,0.0,147266.0,,576137.0,14984.0,,121950.0,,236947.0,0.0,53547.0,,1037976.0,,,,757642.0,948551.0,,,,-190909.0,,,,
