,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-03-31,20304666.0,2912315.0,89495.0,,1567630.0,223009.0,,792349.0,0.0,0.0,0.0,0.0,,0.0,0.0,,323861.0,0.0,0.0,-3051.0,0.0,15965279.0,0.0,,20304666.0,4603163.0,475247.0,1039315.0,22884.0,1720787.0,0.0,1014505.0,330425.0,8858711.0,,0.0,775486.0,0.0,1119683.0,50149.0,,775486.0,,0.0,,14500521.0,149459.0,0.0,,0.0,0.0,,,1626.0,,,,2029704.0,323055.0,128835.0,0.0,5804145.0,,0.0,0.0,0.0,0.0,-1221.0,242032.0,,,,415745.0,0.0,0.0,,,,286910.0
2001-06-30,21433096.0,3069242.0,92827.0,,1649890.0,255744.0,,842981.0,0.0,0.0,0.0,0.0,,0.0,0.0,,425355.0,0.0,0.0,-2346.0,0.0,16854780.0,0.0,,21433096.0,4677674.0,516391.0,1079713.0,114255.0,1139220.0,603762.0,1030206.0,194127.0,9149680.0,,0.0,1489791.0,0.0,1207507.0,47872.0,,1489791.0,,0.0,,14791490.0,141448.0,0.0,,0.0,0.0,,,1626.0,,,,2215729.0,344821.0,147500.0,0.0,6641606.0,,0.0,0.0,0.0,0.0,-2043.0,290453.0,,,,456776.0,0.0,0.0,,,,309276.0
2001-12-31,22827913.0,3665493.0,206298.0,,1781382.0,454624.0,,1112807.0,0.0,0.002148,0.0,0.0,,0.0,0.0,,557084.0,0.0,0.0,-12774.0,0.0,17515212.0,0.0,,22827913.0,6125558.0,139953.0,999929.0,581370.0,2636228.0,0.0,1063742.0,704336.0,9059139.0,,0.0,1367804.0,0.0,1150922.0,43800.0,,1367804.0,,0.0,,14700949.0,180964.0,0.0,,0.0,0.0,,,1626.0,,,,2423006.0,374679.0,-157207.0,0.0,8126964.0,,1061962.0,0.0,0.0,144207.0,7627.0,746305.0,,,,-539053.0,0.0,0.0,,,,-381846.0
2002-03-31,22440914.0,3683286.0,131332.0,,1916268.0,420678.0,,1135094.0,63234.0,0.0,0.0,0.0,,0.0,0.0,,436703.0,0.0,0.0,-6731.0,0.0,17172486.0,0.0,,22440913.0,5602712.0,103858.0,992537.0,645307.0,2350801.0,0.0,1091366.0,418843.0,9271731.0,,0.0,1237769.0,0.0,1215573.0,41995.0,,1237769.0,,0.0,,14913541.0,199151.0,0.0,,0.0,0.0,,,1626.0,,,,2353695.0,397894.0,116751.0,0.0,7527372.0,,0.0,0.0,0.0,0.0,752.0,212117.0,,,,328868.0,0.0,0.0,,,,212117.0
2002-06-30,22298830.0,3679046.0,125766.0,,1888536.0,414127.0,,940765.0,54256.0,0.0006866999999999999,0.0,0.0,,0.0,0.0,,466954.0,0.0,0.0,11381.0,0.0,16980233.0,0.0,,22298830.0,5184008.0,113252.0,1008137.0,525465.0,2352342.0,0.0,1113449.0,71363.0,9117912.0,,0.0,1392078.0,0.0,1257418.0,40191.0,,1392078.0,,0.0,,15097612.0,189292.0,0.0,,0.0,0.0,,,1626.0,,,,2396895.0,413663.0,93114.0,0.0,7201218.0,,339000.0,0.0,0.0,0.0,-8116.0,183147.0,,,,276261.0,0.0,0.0,,,,183147.0
2002-09-30,23823572.0,5413119.0,357969.0,,1998657.0,405911.0,,1006227.0,40208.0,0.0,0.0,0.0,,0.0,0.0,,446195.0,0.0,0.0,10852.0,0.0,16494288.0,0.0,,23823572.0,5962451.0,125078.0,1024974.0,1054784.0,3078483.0,0.0,595021.0,84111.0,9112351.0,,0.0,2218064.0,0.0,1546053.0,38464.0,,2218064.0,,0.0,,15092051.0,177852.0,0.0,,0.0,0.0,,,1626.0,,,,2587371.0,340362.0,166327.0,0.0,8731521.0,,0.0,0.0,0.0,0.0,-15181.0,341355.0,,,,507682.0,0.0,0.0,,,,341355.0
2002-12-31,22360932.0,4703820.0,490640.0,,1982051.0,193499.0,,1089953.0,0.0,0.0011857500000000002,0.0,0.0,,0.0,0.0,,499919.0,0.0,0.0,-48501.0,0.0,16222866.0,0.0,,22360932.0,5167290.0,124747.0,939067.0,558527.0,2471429.0,0.0,777932.0,295588.0,8504563.0,,0.0,2114968.0,0.0,816281.0,36865.0,,2114968.0,,0.0,,14484263.0,237725.0,0.0,,0.0,0.0,,,1626.0,,,,2750153.0,367159.0,-128536.0,0.0,7876669.0,,585227.0,0.0,0.0,197422.0,6836.0,339253.0,,,,-374561.0,0.0,0.0,,,,-246025.0
2003-03-31,22931950.0,5748132.0,1904459.0,,2109926.0,164785.0,,1129708.0,0.0,0.00026784000000000004,0.0,0.0,,0.0,0.0,,544788.0,0.0,0.0,10884.0,0.0,15824685.0,0.0,,22931950.0,5061522.0,111763.0,908429.0,645588.0,2355278.0,0.0,778787.0,261677.0,8697831.0,,0.0,2483636.0,0.0,764115.0,35373.0,,2483636.0,,0.0,,14677531.0,201680.0,0.0,,0.0,0.0,,,1626.0,,,,2680741.0,411924.0,110826.0,0.0,8254419.0,,102648.0,0.0,0.0,210442.0,-231.0,220572.0,,,,331398.0,0.0,0.0,,,,220572.0
2003-06-30,20691197.0,4002431.0,356734.0,,2191256.0,160025.0,,1195181.0,0.0,0.00187436,0.0,0.0,,0.0,0.0,,525903.0,0.0,0.0,10434.0,0.0,15427481.0,0.0,,20691197.0,3956272.0,151624.0,1005846.0,723303.0,1135873.0,0.0,264504.0,675122.0,8060490.0,,0.0,1959526.0,0.0,671532.0,33957.0,,1959526.0,,0.0,,14040190.0,189066.0,0.0,,0.0,0.0,,,1626.0,,,,2774801.0,466349.0,128645.0,0.0,6651007.0,,897000.0,0.0,0.0,222050.0,4560.0,259285.0,,,,387930.0,0.0,0.0,,,,259285.0
2003-09-30,20964832.0,4800032.0,849942.0,,2559052.0,143647.0,,1175832.0,0.0,0.0,0.0,0.0,,0.0,0.0,,541174.0,0.0,0.0,9503.0,0.0,14982059.0,0.0,,20964832.0,4919230.0,146514.0,1076340.0,887363.0,1981881.0,0.0,263188.0,563944.0,8508895.0,,0.0,814070.0,0.0,601482.0,32632.0,,814070.0,,0.0,,14488583.0,176451.0,0.0,,0.0,0.0,,,1614.0,,,,3153084.0,498827.0,228007.0,0.0,6476249.0,,0.0,0.0,0.0,225176.0,-909.0,448106.0,,,,676113.0,0.0,0.0,,,,448106.0
